PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,1409,-1.059322,0.8458837867,1
175,1441,8.512321472,-16.9605217,1
175,1473,0.4668110609,0.729837656,1
175,1505,-0.2299905419,0.7985567451,1
175,1537,-3.659078121,2.510694265,1
175,1569,-0.2962412238,0.5099537969,1
175,1601,-0.2368431091,0.4903526902,1
175,1633,-0.2673999667,0.6807348728,1
175,1665,-0.1165335178,0.6435474157,1
175,1697,-0.5443753004,0.9092072248,1
175,1729,-0.9188833237,0.7346957922,1
175,1761,-0.7157669067,0.2501548529,1
175,1793,-0.3395670056,1.075217843,1
175,1825,0.2071153075,1.715013981,1
175,1857,0.2724018991,0.5183224678,1
175,1889,-0.1043405533,0.164185524,1
175,1921,0.05128569156,-0.05330270529,1
175,1953,0.3230902851,-0.06967431307,1
175,1985,0.1607924998,-0.104209967,1
175,2017,0.06866177917,-0.291908443,1
207,33,0.1063867062,0.1791633964,1
207,65,-0.04064792395,-0.03031078354,1
207,97,-0.3091368079,-0.2245299816,1
207,129,-0.2076772004,-0.1896803379,1
207,161,-0.3067598045,-0.003940150142,1
207,193,-0.2482369095,-0.008339464664,1
207,225,-0.1609726548,-0.1703681648,1
207,257,-0.221175462,-0.1668237746,1
207,289,-0.133279264,-0.03618581593,1
207,321,-0.06860452145,0.132951647,1
207,353,-0.09282767028,-0.02539531887,1
207,385,0.02459135652,-0.063649863,1
207,417,0.2096989453,-0.1563687772,1
207,449,-0.09168374538,-0.2155635357,1
207,481,0.1571401507,0.06302428991,1
207,513,-0.02600333095,0.4082699716,1
207,545,-0.3820749223,0.2595006227,1
207,577,-1.29888165,-0.6995375156,1
207,609,-2.311074734,-1.564884901,1
207,641,-1.336465597,-1.372811437,1
207,673,-1.488847136,-1.818375945,1
207,705,-1.058605909,-1.042283058,1
207,737,0.3278930485,-0.1345574856,1
207,769,-0.1231185496,-0.6367211342,1
207,801,-0.6493554115,-1.074535131,1
207,833,-0.6592934132,-0.6432502866,1
207,865,-0.6770647764,-0.258487761,1
207,897,-1.79167366,-0.1591919065,1
207,929,-3.219492435,0.8722547293,1
207,961,-2.880723953,2.079610586,1
207,993,-1.291772127,0.3293553889,1
207,1025,-1.047451496,-0.2340247035,1
207,1057,-0.930383265,-0.5196322203,1
207,1089,-0.347163558,-0.8154999018,1
207,1121,-0.0176743269,-1.006348014,1
207,1153,-0.2390505672,-0.5879876614,1
207,1185,-0.2792944312,0.2999224067,1
207,1217,-0.441701591,-0.2554658949,1
207,1249,-0.5400779247,-0.5045315623,1
207,1281,-0.5744076967,0.5828012228,1
207,1313,-0.8773649931,0.8027402163,1
207,1345,-1.332263708,0.8484060764,1
207,1377,-1.696793556,0.8092639446,1
207,1409,-1.514266014,0.9416103959,1
207,1441,-1.019965887,0.7955379486,1
207,1473,-0.6483207941,0.7880181074,1
207,1505,-0.3685159087,0.90591079,1
207,1537,-0.1194435358,0.9227075577,1
207,1569,0.01223772764,0.4999549985,1
207,1601,0.2012635171,0.8653780222,1
207,1633,0.04657006264,1.860383034,1
207,1665,-0.4480427504,0.5869285464,1
207,1697,-0.6844879389,0.80602175,1
207,1729,-0.7377910614,0.2427461147,1
207,1761,-0.05750510097,-0.07043242455,1
207,1793,0.5486246347,0.686611414,1
207,1825,0.4267503023,0.8227389455,1
207,1857,0.186009407,0.5521345139,1
207,1889,-0.111389108,0.3564317226,1
207,1921,0.06056537479,0.03045457602,1
207,1953,-0.0291968435,-0.04465862364,1
207,1985,-0.2913527787,-0.02290285379,1
207,2017,-0.06802177429,-0.2381207943,1
239,33,0.3649687171,0.2197440267,1
239,65,0.2385155559,0.01564513519,1
239,97,-0.1503929198,-0.1459447891,1
239,129,-0.1264026314,-0.1940675229,1
239,161,-0.1596176475,-0.1455028653,1
