 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
78,836.162,102.757,433.439,198.023,117.289,36.833,28.905,64.572
79,484.326,48.690,101.798,196.458,89.003,28.875,21.356,63.479
80,764.028,134.129,215.650,201.286,115.624,38.632,25.181,48.527
81,394.527,88.444,383.319,198.073,79.713,24.966,20.120,22.891
82,855.300,76.220,172.245,209.793,114.913,37.986,28.669,35.789
83,1263.076,62.154,124.163,220.695,154.744,55.053,29.212,61.170
84,1295.462,85.390,254.683,224.998,161.141,60.527,27.251,83.465
85,943.627,134.245,513.569,216.644,121.726,45.019,26.688,77.765
86,1014.288,78.186,283.705,213.837,127.290,40.146,32.168,84.927
87,1095.255,88.859,405.829,223.094,141.850,53.784,25.928,90.505
88,577.070,44.227,76.900,214.786,96.577,33.720,21.790,79.367
89,811.136,154.824,460.794,215.151,113.858,35.151,29.381,68.709
90,557.932,139.024,538.781,216.131,92.140,31.038,22.887,94.172
91,800.831,41.509,561.122,225.044,120.427,42.873,23.783,68.992
92,687.478,81.300,229.028,221.663,106.872,34.498,25.373,58.676
93,811.136,48.310,95.723,227.308,126.701,43.164,23.927,65.010
94,1182.109,96.222,343.909,229.712,145.160,50.350,29.893,60.067
95,976.013,105.739,376.631,229.871,122.559,42.688,29.111,84.439
96,902.407,89.925,483.765,230.340,118.589,40.705,28.227,65.663
97,865.604,86.398,191.843,229.895,113.025,36.500,30.195,57.866
98,1014.288,160.184,299.725,239.259,137.464,49.512,26.083,55.267
99,1061.396,51.333,144.620,239.023,131.605,48.818,27.683,58.203
100,1046.675,74.066,436.218,237.144,128.295,42.651,31.246,107.389
101,362.141,38.947,63.857,237.369,87.165,26.717,17.258,85.230
102,1107.032,59.588,527.652,251.081,134.570,47.269,29.819,74.368
103,918.601,74.718,163.845,255.829,128.884,48.153,24.289,63.606
104,799.359,100.667,215.163,249.009,112.314,33.754,30.153,39.603
105,609.456,53.889,73.730,257.661,107.705,40.749,19.043,74.902
106,1263.076,88.307,312.940,268.715,160.897,52.040,30.903,66.122
