 ,Area,Mean,X,Y,Perim.
82,612.400,66.065,125.020,195.809,99.714
83,1160.028,246.755,386.212,208.393,144.277
84,819.969,91.219,307.759,199.197,110.426
85,989.262,108.308,517.925,203.200,123.320
86,549.099,109.684,560.722,204.286,95.450
87,285.591,99.515,578.560,195.762,72.433
88,965.708,118.485,169.817,208.765,128.173
89,400.416,132.154,468.270,196.435,77.286
90,1341.098,118.732,283.041,217.642,158.176
91,973.069,157.390,412.594,212.739,130.722
92,624.177,130.066,448.146,211.390,101.136
93,928.905,50.368,87.828,221.971,141.017
94,1354.347,142.428,230.853,220.101,155.039
95,1190.942,157.363,194.229,222.915,139.423
96,1130.585,154.238,489.586,220.711,134.032
97,640.371,55.798,68.418,218.034,106.994
98,872.965,151.255,129.154,222.180,121.726
99,529.962,167.328,429.565,228.237,102.435
100,749.307,230.155,538.457,224.234,112.314
101,213.457,247.172,465.613,216.801,55.985
102,1052.563,81.873,104.171,240.692,142.022
103,809.664,105.322,328.156,227.478,114.568
104,491.687,107.967,575.163,226.387,88.586
105,840.578,164.371,359.011,227.398,111.137
106,1162.972,131.905,147.076,245.830,144.155
107,1115.864,150.855,248.424,242.081,145.332
108,493.159,123.499,556.787,239.527,88.586
109,401.888,246.451,462.899,236.686,78.880
110,1305.767,212.919,509.954,251.030,145.038
111,1423.537,153.781,297.540,258.499,162.146
112,647.731,103.143,170.227,253.452,104.273
113,412.193,137.975,447.897,246.761,81.723
114,918.601,36.143,59.693,256.109,124.691
115,1388.206,186.968,399.125,260.558,162.979
116,356.252,97.893,589.427,253.862,92.140
117,1553.083,175.332,361.983,264.936,168.126
118,440.163,178.579,476.507,253.230,91.013
119,923.017,132.019,266.542,261.770,123.442
120,407.776,82.430,575.009,258.472,91.135
121,840.578,235.012,195.905,260.911,117.878
122,716.921,223.368,540.182,260.172,109.421
123,684.534,166.766,331.488,257.687,100.131
124,630.066,162.533,426.841,262.956,111.309
125,1236.578,92.035,121.786,273.312,143.738
126,976.013,91.442,83.507,272.053,129.595
127,1118.808,222.884,215.206,276.780,141.312
128,406.304,78.181,561.709,269.552,83.561
129,285.591,198.747,485.711,269.792,65.864
130,677.174,129.176,446.442,275.859,106.283
131,532.906,223.688,470.194,281.662,94.689
132,725.753,124.225,525.533,284.624,104.862
133,737.530,68.637,41.060,291.624,109.421
134,759.612,106.767,154.189,290.792,122.559
135,506.408,43.823,587.499,289.825,94.272
136,1031.954,169.785,240.719,294.580,126.752
137,1363.180,249.595,307.913,294.130,162.024
138,656.564,167.285,496.752,290.130,100.719
139,1164.444,149.021,175.332,302.113,152.440
140,443.107,74.462,62.163,292.155,85.571
141,771.389,141.677,99.287,300.535,111.015
142,421.025,86.521,546.175,292.479,84.860
