PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 39, filenames: A:[39]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[40]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
117,852,1.701087117,-0.01817953587,1
117,868,1.120204687,-0.1996845007,1
117,884,0.8502116203,-0.5260465145,1
117,900,2.427484274,-0.7929410338,1
117,916,3.676152706,-0.5343740582,1
117,932,NaN,NaN,2
117,948,2.384370327,-0.3091991842,1
117,964,1.972497821,-0.3381040692,1
117,980,2.998811722,-0.3707609177,1
117,996,NaN,NaN,2
117,1012,1.413176537,0.3210746944,1
117,1028,0.607657671,1.16986382,1
117,1044,-0.1797216833,1.374700069,1
117,1060,-0.8372049928,1.188388467,1
117,1076,NaN,NaN,2
117,1092,-0.4872192442,0.8478974104,1
117,1108,-0.1695156991,1.52296102,1
117,1124,NaN,NaN,2
133,20,-0.009344637394,0.04515200853,1
133,36,-0.406644702,0.0277929306,1
133,52,-0.2087601423,0.1735605001,1
133,68,0.007659465075,0.2222639173,1
133,84,-0.03746367991,0.06011283398,1
133,100,0.1783152223,-0.2910916507,1
133,116,0.03672230244,-0.2129541039,1
133,132,NaN,NaN,2
133,148,NaN,NaN,2
133,164,3.022009611,-2.085605621,1
133,180,2.203534126,-3.091319323,1
133,196,2.175506115,-3.789873123,1
133,212,2.704632282,-3.323738575,1
133,228,2.143554688,-3.091727734,1
133,244,1.316240668,-3.726309776,1
133,260,NaN,NaN,2
133,276,NaN,NaN,2
133,292,0.5738081932,-2.424240589,1
133,308,1.226041436,-2.028549194,1
133,324,2.138312101,-1.891937613,1
133,340,2.259013891,-1.330269933,1
133,356,2.536075115,-1.633345485,1
133,372,NaN,NaN,2
133,388,3.134832621,-2.468839407,1
133,404,1.142215014,-3.204535007,1
133,420,0.6842186451,-3.764852762,1
133,436,0.2901941538,-2.600259066,1
133,452,0.379491955,-1.739022732,1
133,468,-0.02689570189,-1.201530218,1
133,484,-0.6525457501,-1.587900758,1
133,500,0.1428437829,-1.305123329,1
133,516,0.2081156373,-2.817722559,1
133,532,0.6393700838,-2.274501324,1
133,548,0.643550992,-1.448483586,1
133,564,0.6387841702,-0.5518172383,1
133,580,1.700338721,-0.1361040622,1
133,596,1.826718092,0.09404708445,1
133,612,0.03397536278,0.1564061791,1
133,628,-0.1474965811,-0.141941607,1
133,644,-0.432707876,-0.3305813372,1
133,660,-0.5870137811,0.3489728868,1
133,676,0.1839942485,0.5338153839,1
133,692,NaN,NaN,2
133,708,0.0472804904,-0.7926990986,1
133,724,-0.8620251417,-0.455576241,1
133,740,-1.711519718,-0.6581485271,1
133,756,NaN,NaN,2
133,772,-1.205990791,-1.450625896,1
133,788,NaN,NaN,2
133,804,NaN,NaN,2
133,820,0.9236342907,-0.2560435534,1
133,836,NaN,NaN,2
133,852,NaN,NaN,2
133,868,0.7195885181,0.370487541,1
133,884,0.2287237644,-0.2918282151,1
133,900,NaN,NaN,2
133,916,3.312183619,-0.9813629389,1
133,932,3.726082325,-0.4890336394,1
133,948,1.391222,-0.7368476987,1
133,964,1.229045153,-0.4810347557,1
133,980,2.968974113,-0.3390884101,1
133,996,2.458479404,-0.4750238061,1
133,1012,1.296924353,-0.2731260657,1
133,1028,0.3718437552,0.4420166016,1
133,1044,-0.8382359147,0.8285251856,1
133,1060,-0.8854022026,1.20230794,1
133,1076,-0.5274027586,0.7462582588,1
133,1092,-0.03239453584,0.6929460764,1
133,1108,0.315838933,1.345249891,1
133,1124,-0.07926273346,1.387689114,1
149,20,0.1589364409,-0.3068130016,1
149,36,-0.2449259311,0.8380473852,1
149,52,-0.3595645428,0.4962899089,1
149,68,-0.03826207668,0.08176392317,1
149,84,0.3663129807,0.04517626762,1
149,100,0.383759141,-0.3320873082,1
149,116,0.4633046687,-0.4386298656,1
149,132,1.300124288,-0.9376497269,1
149,148,2.570628643,-4.300963402,1
149,164,3.088163614,-3.487738609,1
149,180,2.824779987,-2.932213306,1
149,196,2.15440774,-3.1269207,1
149,212,2.293527603,-2.997560024,1
149,228,2.638239861,-2.46064496,1
149,244,1.848830462,-2.241847038,1
149,260,1.619240761,-2.243034601,1
149,276,NaN,NaN,2
149,292,NaN,NaN,2
149,308,0.5595077276,-1.954760551,1
149,324,2.864601135,-1.175393581,1
149,340,2.369315863,-1.003989339,1
149,356,3.03687048,-1.567713976,1
149,372,NaN,NaN,2
149,388,1.882026672,-2.687603474,1
149,404,1.284055829,-3.395770788,1
149,420,0.8021059036,-3.525568962,1
149,436,0.02426451445,-2.326518059,1
149,452,-0.04679459706,-1.543589711,1
149,468,-0.01306305826,-0.8946834803,1
149,484,-0.4785659313,-1.155400991,1
149,500,NaN,NaN,2
149,516,NaN,NaN,2
149,532,NaN,NaN,2
149,548,1.129271269,-2.103930235,1
149,564,1.17841363,-0.5393611193,1
149,580,1.682099462,0.1790225506,1
149,596,3.057329178,0.00911103189,1
149,612,1.509935617,-0.06759721041,1
149,628,0.4678812027,-0.1335808188,1
149,644,-0.1087763608,-0.00554870069,1
149,660,-0.09484668076,-0.6016010642,1
149,676,-0.7819365263,1.336226344,1
149,692,0.4933088124,-0.0252853632,1
149,708,-0.1439838856,-0.7419890165,1
149,724,-0.5875988007,-0.4717358351,1
149,740,-0.8377030492,-0.5772010088,1
149,756,NaN,NaN,2
149,772,-0.1591078043,0.5720584989,1
149,788,0.4454721212,0.2620583177,1
149,804,0.7292454839,0.002743557096,1
149,820,1.156306267,-0.3689042926,1
149,836,NaN,NaN,2
149,852,NaN,NaN,2
149,868,1.718093514,0.7843052149,1
149,884,NaN,NaN,2
149,900,0.483164072,-1.173284769,1
149,916,1.899594665,-1.012991428,1
149,932,1.737432957,-1.237293482,1
149,948,0.756799221,-0.6490287185,1
149,964,1.363117218,-0.01729187369,1
149,980,1.536151409,-0.2125805616,1
149,996,1.866053581,-0.8292101026,1
149,1012,1.063890815,-0.6786318421,1
149,1028,0.2439228892,-0.0476026237,1
149,1044,-0.09687295556,0.5763866305,1
149,1060,-0.3901286423,0.8270851374,1
149,1076,-0.1682385206,0.6168267727,1
149,1092,0.5257641673,0.2969891429,1
149,1108,1.303084135,0.07480347157,1
149,1124,NaN,NaN,2
165,20,NaN,NaN,2
165,36,0.3426531553,0.2325200289,1
165,52,-0.003012850881,0.3372310996,1
165,68,0.1126409695,0.147930488,1
165,84,0.1045847535,0.1520966291,1
165,100,0.02100926638,-0.0905456543,1
165,116,0.5489521027,-0.7980409861,1
165,132,NaN,NaN,2
165,148,2.404763222,-3.983617544,1
165,164,3.32633853,-3.582458258,1
165,180,3.41341877,-2.205028057,1
165,196,2.639441967,-2.075585604,1
165,212,2.488737583,-2.072727919,1
165,228,2.541181326,-1.505549312,1
165,244,2.680145979,-1.583165765,1
165,260,NaN,NaN,2
165,276,2.449220896,-2.226590633,1
165,292,NaN,NaN,2
165,308,1.781246543,-1.85941577,1
165,324,NaN,NaN,2
165,340,NaN,NaN,2
165,356,2.66181159,-1.867685318,1
165,372,3.005134344,-2.301006079,1
165,388,1.858114362,-2.955286264,1
165,404,1.121112585,-3.324540138,1
165,420,0.3468469381,-3.448258638,1
165,436,-0.1229462922,-2.308754921,1
165,452,0.2733565271,-2.043398857,1
165,468,0.3309811354,-0.7640615702,1
165,484,-0.2280385196,-0.5596189499,1
165,500,-0.2212561667,-0.8967386484,1
165,516,NaN,NaN,2
165,532,NaN,NaN,2
165,548,1.580053091,-1.443519235,1
165,564,1.542070031,-0.7821494341,1
165,580,1.809240937,-0.2463586628,1
165,596,NaN,NaN,2
165,612,NaN,NaN,2
165,628,1.248044252,0.1509035528,1
165,644,0.159694612,0.05022349954,1
165,660,-0.03947462142,-0.09183633327,1
165,676,NaN,NaN,2
165,692,0.2851584256,-0.2502295971,1
165,708,-0.06066598743,-1.437012911,1
165,724,-0.5607382655,-1.956426024,1
165,740,-0.5411714315,-1.175223589,1
165,756,-0.1252726912,-0.05422362685,1
165,772,0.6068954468,1.171636581,1
165,788,1.01140213,1.412569761,1
165,804,0.7573265433,0.5797125101,1
165,820,1.037816525,-0.05227023363,1
165,836,1.219304919,0.1452072859,1
165,852,1.918012023,0.6238963008,1
165,868,1.647231936,0.6523710489,1
165,884,0.5097178221,1.465212584,1
165,900,0.02589434385,-0.8769127727,1
165,916,1.4267416,-0.9481216669,1
165,932,1.884191155,-1.022466421,1
165,948,NaN,NaN,2
165,964,NaN,NaN,2
165,980,1.530605197,1.594605207,1
165,996,0.7321637869,0.3733474612,1
165,1012,0.03236317635,0.2806920409,1
165,1028,-0.3781763315,0.488116622,1
165,1044,0.0400043577,0.6121841669,1
165,1060,0.08493199944,0.4150538743,1
