PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,897,-4.198676586,-2.384865761,1
239,929,-3.992314577,-2.057951927,1
239,961,-2.836264849,-2.139415741,1
239,993,-2.451259851,-2.705915451,1
239,1025,-2.481261253,-2.590545177,1
239,1057,-2.188520193,-2.212545156,1
239,1089,-2.776582241,-1.762785435,1
239,1121,-3.038463354,-1.0046736,1
239,1153,-2.927434206,-0.7716504931,1
239,1185,-2.961167812,-0.1430512369,1
239,1217,-3.185981035,0.6500505805,1
239,1249,-3.399701118,0.5379084945,1
239,1281,-4.577986717,0.1119582206,1
239,1313,-4.02761364,-0.2542046309,1
239,1345,-3.341995239,-0.1378536671,1
239,1377,-3.148278713,0.01369389892,1
239,1409,-2.908737659,0.01758885384,1
239,1441,-2.73204565,-0.2182734907,1
239,1473,-1.154572725,-0.5136628747,1
239,1505,-0.07950341702,-0.7478936911,1
239,1537,-0.7998872995,-0.9056489468,1
239,1569,-0.6861472726,-1.345876932,1
239,1601,-0.6713057756,-2.981030703,1
239,1633,-0.6006488204,-3.290959358,1
239,1665,0.8433824778,-2.79150939,1
239,1697,0.5875349641,-3.122244596,1
239,1729,0.05003398657,-2.52427721,1
239,1761,0.4147693515,-1.487849951,1
239,1793,0.8391263485,-1.056639194,1
239,1825,1.502472639,-1.237849712,1
239,1857,1.871312737,-1.28290844,1
239,1889,1.580512404,0.002679243684,1
239,1921,1.313823462,0.5886939764,1
239,1953,2.024870872,0.3157576621,1
239,1985,1.472976923,0.4337137938,1
239,2017,1.065788269,-1.873054504,1
271,33,4.480883598,4.605047226,1
271,65,3.15221715,-4.333662987,1
271,97,2.171559811,-4.109917164,1
271,129,1.850708246,-4.183186054,1
271,161,1.416998863,-5.07912159,1
271,193,0.8131836653,-3.149316311,1
271,225,1.073668957,-1.938325882,1
271,257,1.412214518,-1.764182568,1
271,289,1.805605888,-1.33601141,1
271,321,2.152664661,-1.682323217,1
271,353,2.286637068,-2.163522959,1
271,385,3.172579765,-1.609503269,1
271,417,3.231954098,-1.569325447,1
271,449,0.9566571712,-1.93517971,1
271,481,0.689601779,-1.927875042,1
271,513,1.244415998,-2.500243664,1
271,545,0.8865196705,-2.635244608,1
271,577,0.3871418238,-2.279574394,1
271,609,0.4715310335,-1.991992712,1
271,641,0.2427867651,-1.75821352,1
271,673,0.3372742534,-2.564455509,1
271,705,0.5808434486,-2.807984114,1
271,737,0.6163135767,-2.59231925,1
271,769,0.5490341187,-2.939529657,1
271,801,0.7809808254,-3.470567703,1
271,833,0.5018837452,-3.569945335,1
271,865,-0.7595188618,-3.068058491,1
271,897,-2.317220211,-2.748869419,1
271,929,-4.216145039,-2.196533203,1
271,961,-3.693445921,-1.962577581,1
271,993,-2.362410545,-2.638446093,1
271,1025,-1.756908417,-2.221294165,1
271,1057,-1.825170517,-2.247134209,1
271,1089,-2.503956795,-1.933136702,1
271,1121,-2.693586826,-1.351821542,1
271,1153,-3.003008604,-0.5825000405,1
271,1185,-3.077155828,0.1911633909,1
271,1217,-3.040856838,0.5862622261,1
271,1249,-2.651278257,0.8909176588,1
271,1281,-3.439907551,1.363888502,1
271,1313,-3.622067928,0.5894334912,1
271,1345,-3.314790249,-0.1574815363,1
271,1377,-3.118703842,0.02934412658,1
271,1409,-2.822202682,0.7386064529,1
271,1441,-2.334763765,0.2646741271,1
271,1473,-1.429764986,-0.2774147391,1
271,1505,-1.031017661,-1.322818875,1
271,1537,-1.256012678,-1.544202685,1
271,1569,-1.314564228,-1.818031907,1
271,1601,-0.6911122203,-2.348359108,1
271,1633,-0.2322289944,-2.620453119,1
271,1665,-0.04540735483,-2.882617474,1
271,1697,-0.1142523289,-2.891872883,1
271,1729,0.5773732066,-2.286015511,1
271,1761,2.058907032,-1.443873048,1
271,1793,2.105353117,-1.433519363,1
271,1825,2.129429102,-1.749845028,1
271,1857,2.003240108,-1.640026093,1
271,1889,1.446698785,-1.147720337,1
271,1921,0.7482067347,-0.55499053,1
271,1953,1.073631048,0.05546703935,1
271,1985,1.053392649,-0.5026238561,1
271,2017,1.004951358,-1.301762819,1
303,33,2.315837383,5.619969845,1
303,65,2.633159161,-2.423839092,1
303,97,2.001756907,-3.84777832,1
303,129,2.366891384,-4.02407217,1
303,161,4.363127232,-4.142819405,1
303,193,1.822256327,-2.773781776,1
303,225,1.587931395,-2.054646254,1
303,257,1.809626222,-1.618996143,1
303,289,2.156773567,-1.87047863,1
303,321,2.457911491,-1.955960751,1
303,353,0.7876780033,-0.7908102274,1
303,385,2.167002678,-0.7289872169,1
303,417,2.602339268,-2.046567202,1
303,449,1.543685198,-2.825824261,1
303,481,1.04129076,-2.948064327,1
303,513,1.31861949,-2.681979895,1
303,545,1.596654177,-3.250076532,1
303,577,1.283235431,-2.879066467,1
303,609,1.065147281,-2.707125902,1
303,641,0.5964195728,-3.30761838,1
303,673,1.194832325,-2.944036961,1
303,705,1.519532204,-2.725868225,1
303,737,0.8538552523,-2.028906107,1
303,769,0.8537857533,-2.287354708,1
303,801,1.804043651,-2.806091785,1
303,833,2.269062281,-3.03553009,1
303,865,1.250176191,-2.930461168,1
303,897,-0.3191455603,-2.595226765,1
303,929,-2.77061677,-2.600493193,1
303,961,-3.360034943,-2.630120993,1
303,993,-2.137484074,-2.503236055,1
303,1025,-0.4358472824,-1.287141562,1
303,1057,-0.957700491,-1.400927067,1
303,1089,-1.722534299,-1.696051955,1
303,1121,-1.682350874,-1.099887848,1
303,1153,-2.972740412,-0.3919034004,1
303,1185,-3.241041899,-0.275075376,1
303,1217,-3.278756857,0.3514530063,1
303,1249,-3.3339324,0.7632050514,1
303,1281,-3.040326118,1.722883105,1
303,1313,-3.230920792,0.6293811798,1
303,1345,-3.60691309,0.05279044807,1
303,1377,-3.362406969,-0.02969963849,1
303,1409,-2.765930414,0.352588743,1
303,1441,-2.328743458,-0.004406988621,1
303,1473,-1.686794281,-0.6250991225,1
303,1505,-1.523183107,-1.858893633,1
303,1537,-2.008633137,-2.102614403,1
303,1569,-1.786528826,-2.002461433,1
303,1601,-0.176685214,-1.457105517,1
303,1633,-0.4054204226,-2.256480694,1
303,1665,-1.286902666,-2.755319834,1
303,1697,-0.397839427,-2.376344204,1
303,1729,0.7297785282,-1.447707415,1
303,1761,3.126239777,-1.042021036,1
303,1793,4.326886177,-0.7197203636,1
303,1825,2.469044685,-0.314424634,1
303,1857,2.031785965,-1.090317011,1
303,1889,1.55175674,-1.63171351,1
303,1921,0.1993673444,-1.774976492,1
303,1953,0.3774726391,-0.7408524752,1
303,1985,0.7805463076,-0.8001628518,1
