 ,Area,Mean,Min,Max,Ch,Frame
301,16340.532,8.596,3,171,1,151
302,16340.532,8.769,1,175,2,151
303,16340.532,8.566,3,181,1,152
304,16340.532,8.718,1,172,2,152
305,16340.532,8.590,3,169,1,153
306,16340.532,8.720,1,170,2,153
307,16340.532,8.594,3,143,1,154
308,16340.532,8.677,1,166,2,154
309,16340.532,8.583,3,163,1,155
310,16340.532,8.708,1,168,2,155
311,16340.532,8.537,3,153,1,156
312,16340.532,8.670,1,175,2,156
313,16340.532,8.605,3,149,1,157
314,16340.532,8.705,1,164,2,157
315,16340.532,8.541,3,148,1,158
316,16340.532,8.786,1,158,2,158
317,16340.532,8.596,3,153,1,159
318,16340.532,8.782,1,182,2,159
319,16340.532,8.524,3,148,1,160
320,16340.532,8.718,1,165,2,160
321,16340.532,8.493,3,166,1,161
322,16340.532,8.788,1,160,2,161
323,16340.532,8.537,3,167,1,162
324,16340.532,8.722,1,168,2,162
325,16340.532,8.607,3,144,1,163
326,16340.532,8.768,1,174,2,163
327,16340.532,8.530,3,172,1,164
328,16340.532,8.786,1,161,2,164
329,16340.532,8.547,3,159,1,165
330,16340.532,8.811,1,181,2,165
331,16340.532,8.537,3,157,1,166
332,16340.532,8.828,1,176,2,166
333,16340.532,8.478,3,152,1,167
334,16340.532,8.745,1,169,2,167
335,16340.532,8.441,3,170,1,168
336,16340.532,8.783,1,177,2,168
337,16340.532,8.482,3,159,1,169
338,16340.532,8.778,1,172,2,169
339,16340.532,8.532,3,198,1,170
340,16340.532,8.801,1,175,2,170
341,16340.532,8.529,3,159,1,171
342,16340.532,8.839,1,158,2,171
343,16340.532,8.508,3,139,1,172
344,16340.532,8.754,1,158,2,172
345,16340.532,8.527,3,137,1,173
346,16340.532,8.757,1,164,2,173
347,16340.532,8.498,3,187,1,174
348,16340.532,8.707,1,171,2,174
349,16340.532,8.498,3,141,1,175
350,16340.532,8.669,1,167,2,175
351,16340.532,8.507,3,160,1,176
352,16340.532,8.711,1,161,2,176
353,16340.532,8.458,3,141,1,177
354,16340.532,8.703,1,176,2,177
355,16340.532,8.516,3,143,1,178
356,16340.532,8.727,1,171,2,178
357,16340.532,8.476,3,152,1,179
358,16340.532,8.724,1,170,2,179
359,16340.532,8.456,3,168,1,180
360,16340.532,8.721,1,164,2,180
361,16340.532,8.499,3,163,1,181
362,16340.532,8.731,1,175,2,181
363,16340.532,8.525,3,145,1,182
364,16340.532,8.755,1,165,2,182
365,16340.532,8.486,3,171,1,183
366,16340.532,8.755,1,167,2,183
367,16340.532,8.484,3,179,1,184
368,16340.532,8.722,1,175,2,184
369,16340.532,8.459,3,171,1,185
370,16340.532,8.726,1,168,2,185
371,16340.532,8.509,3,152,1,186
372,16340.532,8.788,1,167,2,186
373,16340.532,8.464,3,161,1,187
374,16340.532,8.760,1,194,2,187
375,16340.532,8.498,3,170,1,188
376,16340.532,8.757,1,178,2,188
377,16340.532,8.538,3,152,1,189
378,16340.532,8.731,1,174,2,189
379,16340.532,8.488,3,166,1,190
380,16340.532,8.675,1,182,2,190
381,16340.532,8.480,3,154,1,191
382,16340.532,8.737,1,165,2,191
383,16340.532,8.457,3,169,1,192
384,16340.532,8.688,1,160,2,192
385,16340.532,8.506,3,168,1,193
386,16340.532,8.697,1,162,2,193
387,16340.532,8.503,3,185,1,194
388,16340.532,8.642,1,185,2,194
389,16340.532,8.488,3,176,1,195
390,16340.532,8.805,1,167,2,195
391,16340.532,8.512,3,175,1,196
392,16340.532,8.720,1,181,2,196
393,16340.532,8.548,3,173,1,197
394,16340.532,8.755,1,190,2,197
395,16340.532,8.524,3,170,1,198
396,16340.532,8.806,1,163,2,198
397,16340.532,8.483,3,162,1,199
398,16340.532,8.813,1,166,2,199
399,16340.532,8.534,3,167,1,200
400,16340.532,8.800,1,179,2,200
401,16340.532,8.531,3,164,1,201
402,16340.532,8.743,1,170,2,201
403,16340.532,8.521,3,179,1,202
404,16340.532,8.725,1,165,2,202
405,16340.532,8.452,3,183,1,203
406,16340.532,8.700,1,179,2,203
407,16340.532,8.521,3,188,1,204
408,16340.532,8.662,1,176,2,204
409,16340.532,8.493,3,190,1,205
410,16340.532,8.737,1,183,2,205
411,16340.532,8.533,3,190,1,206
412,16340.532,8.778,1,182,2,206
413,16340.532,8.530,3,201,1,207
414,16340.532,8.732,1,175,2,207
415,16340.532,8.578,3,179,1,208
416,16340.532,8.735,1,173,2,208
417,16340.532,8.523,3,178,1,209
418,16340.532,8.721,1,167,2,209
419,16340.532,8.502,3,189,1,210
420,16340.532,8.735,1,174,2,210
421,16340.532,8.521,3,193,1,211
422,16340.532,8.749,1,176,2,211
423,16340.532,8.573,3,179,1,212
424,16340.532,8.795,1,181,2,212
425,16340.532,8.542,3,191,1,213
426,16340.532,8.756,1,184,2,213
427,16340.532,8.568,3,198,1,214
428,16340.532,8.780,1,195,2,214
429,16340.532,8.552,3,200,1,215
430,16340.532,8.720,1,185,2,215
431,16340.532,8.540,3,178,1,216
432,16340.532,8.839,1,173,2,216
433,16340.532,8.523,3,206,1,217
434,16340.532,8.822,1,186,2,217
435,16340.532,8.563,3,202,1,218
436,16340.532,8.819,1,181,2,218
437,16340.532,8.546,3,193,1,219
438,16340.532,8.840,1,172,2,219
439,16340.532,8.564,3,214,1,220
440,16340.532,8.750,1,174,2,220
441,16340.532,8.541,3,193,1,221
442,16340.532,8.790,1,185,2,221
443,16340.532,8.508,3,189,1,222
444,16340.532,8.721,1,182,2,222
445,16340.532,8.549,3,182,1,223
446,16340.532,8.814,1,191,2,223
