PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,449,-1.052126288,-1.791246772,1
239,481,-1.38942337,-2.096347809,1
239,513,-1.448621988,-1.879267573,1
239,545,-1.437054992,-0.9574986696,1
239,577,-1.246785641,-0.1371141672,1
239,609,-0.8417825103,0.0813652873,1
239,641,-0.6113578677,-1.346300602,1
239,673,-0.961728394,-1.827685118,1
239,705,-0.7525684834,-1.11708796,1
239,737,-0.2598029375,-0.1278400421,1
239,769,-0.2401569486,-0.7124506235,1
239,801,-0.5514297485,-1.027630925,1
239,833,-1.047856808,-1.610325456,1
239,865,-1.000213861,-1.497167349,1
239,897,-0.6856440306,-0.8264314532,1
239,929,-0.7548936605,-1.156577826,1
239,961,-1.064078093,-0.3266842365,1
239,993,-0.8693965077,0.2479488254,1
239,1025,-0.4764425755,-0.5104218721,1
239,1057,-0.006954848766,-0.7571405172,1
239,1089,0.656471014,-0.6557845473,1
239,1121,0.8508327007,-0.3658085465,1
239,1153,0.8840588927,0.5347669125,1
239,1185,0.9891661406,-0.5247585177,1
239,1217,0.8377681971,-1.155733585,1
239,1249,1.368378758,-1.213801384,1
239,1281,1.779540181,-1.327244282,1
239,1313,1.699905634,-1.427341938,1
239,1345,1.296137452,-1.728871226,1
239,1377,1.237000585,-1.675571084,1
239,1409,0.6791968346,-1.404786348,1
239,1441,0.5087646246,-0.7794058323,1
239,1473,0.2301090956,-0.05586954951,1
239,1505,0.09257161617,-0.08890995383,1
239,1537,0.3987848759,-0.04934075475,1
239,1569,0.3223315477,-0.01865792274,1
239,1601,0.07084667683,-0.4834775627,1
239,1633,-0.4040628672,-0.5343975425,1
239,1665,0.1923419237,-0.4447929263,1
239,1697,0.3526995182,-0.2829763889,1
239,1729,0.2583145499,-0.3597662449,1
239,1761,0.7565438747,-0.2003738582,1
239,1793,0.6585181952,-0.02144332975,1
239,1825,0.6900664568,0.3293292522,1
239,1857,1.07930994,-0.05866032839,1
239,1889,0.7475711703,0.7941102386,1
239,1921,0.3968464732,0.9022679329,1
239,1953,0.1253162026,1.00620544,1
239,1985,-0.140252769,0.8362410069,1
239,2017,-0.5657792091,-2.050658464,1
271,33,-1.373563886,0.07055550814,1
271,65,-1.295678854,-0.02898007631,1
271,97,-1.134099007,0.1939180344,1
271,129,-2.024880409,0.4093446136,1
271,161,-2.72268939,-0.2156460136,1
271,193,-2.217303038,-0.5078958869,1
271,225,-2.124506235,-0.4064323902,1
271,257,-2.330605984,-1.190896273,1
271,289,-2.856965303,-2.220575809,1
271,321,-1.567587137,-7.146639824,1
271,353,-2.285985947,-5.698899269,1
271,385,-1.858250141,-5.41541481,1
271,417,-2.37446928,-4.003041744,1
271,449,-1.072058916,-2.524688244,1
271,481,-1.186407089,-2.24999404,1
271,513,-1.191105723,-1.892556906,1
271,545,-7.310064316,-0.427323699,1
271,577,-1.150272369,0.4440972805,1
271,609,-0.9471261501,0.7926031351,1
271,641,-0.9589398503,-0.9555690885,1
271,673,-0.540980041,-1.453542471,1
271,705,-0.4106871486,-1.031471252,1
271,737,-0.2509983182,-0.7442325354,1
271,769,-0.5249710083,-0.376883924,1
271,801,-0.4653141499,-0.7979789972,1
271,833,-1.695798159,-1.667782426,1
271,865,-2.542542696,-2.469396591,1
271,897,-1.018871069,-1.352680206,1
271,929,-2.20117569,-2.069368601,1
271,961,-0.9787124395,-1.173670173,1
271,993,-0.5418622494,-0.2705764771,1
271,1025,-0.8598136902,-0.9761817455,1
271,1057,-0.3216426373,-0.782925725,1
271,1089,0.6374675632,-0.8390880227,1
271,1121,0.978284955,-0.7276531458,1
271,1153,0.9524020553,-0.3597911596,1
271,1185,0.6303584576,-0.9957846403,1
271,1217,0.5789459944,-0.8741158247,1
271,1249,0.9200540781,-0.7587527037,1
271,1281,1.038039923,-1.169807076,1
271,1313,0.3968408108,-1.399588346,1
271,1345,1.420660496,-3.55802846,1
271,1377,1.784865141,-2.988631248,1
271,1409,0.4607899189,-1.221047401,1
271,1441,-0.1182460189,-0.4326913953,1
271,1473,0.726750493,0.1223134398,1
271,1505,0.3810132742,-0.09725311399,1
271,1537,0.1115652323,-0.269285202,1
271,1569,0.34110111,-0.250779748,1
271,1601,0.9490290284,-1.250349283,1
271,1633,0.7907769084,-0.168796584,1
271,1665,0.5159953833,0.2974965572,1
271,1697,0.7994597554,-0.1959084123,1
271,1729,0.02837640047,-0.2589739263,1
271,1761,0.89262712,0.006610896438,1
271,1793,0.6946035624,0.04716321453,1
271,1825,0.5247963667,0.06289128959,1
271,1857,0.9192836285,0.3090247512,1
271,1889,0.5832936764,1.329712868,1
271,1921,0.3721248507,1.780236721,1
271,1953,-0.2406653762,2.790619135,1
271,1985,-1.213648319,2.258601904,1
271,2017,-0.1160062551,-2.125378609,1
303,33,-2.335156918,0.7969574928,1
303,65,-1.63631773,-0.04738593102,1
303,97,-1.501102209,-0.336894989,1
303,129,-2.062730789,0.2364525497,1
303,161,-2.728487968,0.6218531728,1
