PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs025_TgUtrmcherry.avi & B:[5]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,1761,12.08132935,-13.72192192,1
239,1793,10.08656979,-13.2101202,1
239,1825,9.551168442,-13.03599358,1
239,1857,9.844747543,-9.784231186,1
239,1889,9.323996544,-8.334080696,1
239,1921,8.163978577,-7.857990265,1
239,1953,7.23875761,-7.554153919,1
239,1985,6.338516235,-10.44445992,1
239,2017,0.5156531334,-2.127686024,1
271,33,-22.47067833,4.779442787,1
271,65,0.6590065956,-7.754619598,1
271,97,-3.395061016,-5.66481781,1
271,129,-3.03846097,-5.202706814,1
271,161,-3.562037468,-4.96922636,1
271,193,-4.010510445,-4.661976814,1
271,225,-4.290203094,-5.31105423,1
271,257,-4.579238892,-6.617686749,1
271,289,-3.296859026,-6.478074074,1
271,321,0.6956973076,-6.457993507,1
271,353,-3.289969683,-3.919570923,1
271,385,-3.694987059,-2.786144018,1
271,417,-2.551207304,-3.018734932,1
271,449,-1.499811172,-2.709414482,1
271,481,-1.502709866,-2.752936363,1
271,513,-1.123324871,-2.696095467,1
271,545,-0.9716427326,-2.387910366,1
271,577,-1.26999557,-1.93479681,1
271,609,-1.320784926,-1.72236979,1
271,641,1.066955924,-4.582966328,1
271,673,-0.2580378056,-1.0683043,1
271,705,0.1485071182,-0.352788806,1
271,737,0.2925907373,0.04090833664,1
271,769,-0.02420917153,0.7343759537,1
271,801,-0.03948378563,1.300012589,1
271,833,1.873744011,4.701301575,1
271,865,6.776871681,7.25055027,1
271,897,10.38183975,8.428299904,1
271,929,13.22599792,7.767926216,1
271,961,8.079764366,5.455461502,1
271,993,8.710906029,4.900544643,1
271,1025,12.19338512,6.689182758,1
271,1057,13.83093262,6.854141235,1
271,1089,20.48306656,1.14977777,1
271,1121,20.76106644,-0.7669420242,1
271,1153,20.94883347,-1.673404694,1
271,1185,22.05301857,-2.676423311,1
271,1217,24.69306946,-4.458740711,1
271,1249,26.82369995,-7.399710178,1
271,1281,27.3430481,-11.28635406,1
271,1313,28.12090111,-10.6168375,1
271,1345,30.84883881,-12.75555706,1
271,1377,27.61792564,-14.36401558,1
