PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
367,1409,4.699970245,-8.509093285,1
367,1441,5.519262314,-8.566995621,1
367,1473,4.826778889,-9.10854435,1
367,1505,4.466985703,-9.807538986,1
367,1537,4.483500004,-10.53647995,1
367,1569,3.962081432,-11.30192757,1
367,1601,3.297225475,-10.95756817,1
367,1633,2.036613703,-9.46641922,1
367,1665,1.89005971,-9.143720627,1
367,1697,1.645658731,-10.41929913,1
367,1729,0.3059399724,-10.46808815,1
367,1761,-1.085604906,-10.36952782,1
367,1793,-0.7760158181,-8.860640526,1
367,1825,-1.039920926,-8.124939919,1
367,1857,-0.3189014792,-8.265787125,1
367,1889,0.7501498461,-7.755439758,1
367,1921,0.680419147,-8.583658218,1
367,1953,0.4834188819,-9.669594765,1
367,1985,0.2020872384,-10.11818314,1
367,2017,-1.078645706,-6.982270718,1
399,33,32.35533905,12.33650017,1
399,65,16.44423103,11.27370644,1
399,97,-10.70336819,-7.886619091,1
399,129,-8.692393303,-11.10749531,1
399,161,-8.377801895,-11.98853302,1
399,193,-7.44169569,-11.19390202,1
399,225,-7.645951748,-10.02759075,1
399,257,-7.786400795,-13.50067234,1
399,289,-7.727304459,-12.14258289,1
399,321,-7.689442635,-9.878383636,1
399,353,-6.900514603,-9.07675457,1
399,385,-6.549701214,-9.104431152,1
399,417,-6.304413319,-9.953176498,1
399,449,-8.299955368,-9.306126595,1
399,481,-8.460124016,-9.477892876,1
399,513,-6.400827408,-9.915334702,1
399,545,-6.061132431,-9.35585022,1
399,577,-5.860383987,-8.093002319,1
399,609,-5.624622345,-7.61678791,1
399,641,-5.663107395,-7.387205601,1
399,673,-3.966194153,-7.431779385,1
399,705,-4.127387047,-7.768365383,1
399,737,-4.200796604,-7.290416241,1
399,769,-2.40729332,-7.099527836,1
399,801,-1.481853485,-6.524652481,1
399,833,-1.11151123,-5.780759811,1
399,865,-0.5541789532,-4.858952522,1
399,897,-0.1140480042,-7.278875351,1
399,929,0.06784576178,-9.061551094,1
399,961,-0.3897106647,-10.34503937,1
399,993,-0.7159750462,-10.59836006,1
399,1025,-0.2996002734,-10.30150032,1
399,1057,0.1529789269,-9.81731987,1
399,1089,0.7947375774,-8.677155495,1
399,1121,0.3906879425,-7.060045242,1
399,1153,2.384203911,-7.647167683,1
399,1185,3.271960735,-7.802716732,1
399,1217,3.608002901,-7.768465996,1
399,1249,4.469116688,-8.66536808,1
399,1281,5.903114319,-9.091269493,1
399,1313,7.171668053,-9.0625,1
399,1345,7.311823368,-8.241314888,1
399,1377,6.646209717,-8.312046051,1
399,1409,5.495127678,-9.092497826,1
399,1441,5.078314304,-9.185641289,1
399,1473,4.808992863,-9.877352715,1
399,1505,4.364933968,-10.79437351,1
399,1537,3.840805531,-11.53948784,1
399,1569,2.654467583,-12.36205769,1
399,1601,1.884200096,-10.49828529,1
399,1633,1.845097303,-8.124480247,1
399,1665,1.602381825,-9.163767815,1
399,1697,1.517354488,-10.63946819,1
399,1729,0.5714006424,-10.25279808,1
399,1761,-0.1501588821,-9.812308311,1
399,1793,-0.5328006148,-9.227765083,1
399,1825,-0.6723619103,-8.522257805,1
399,1857,0.4057273269,-8.138190269,1
399,1889,2.312361479,-7.612772942,1
399,1921,1.63459003,-8.324756622,1
399,1953,0.7340685129,-9.313494682,1
399,1985,0.2522719502,-9.015585899,1
399,2017,-0.269479394,-7.095049858,1
431,33,34.83220673,12.92116356,1
431,65,16.020401,-3.831753731,1
431,97,-12.41188335,-10.66963387,1
431,129,-12.07352829,-12.49071693,1
431,161,-8.904155731,-11.36085415,1
431,193,-7.227841377,-10.68572998,1
431,225,-7.208755016,-9.646277428,1
431,257,-8.506141663,-9.944395065,1
431,289,-7.905994415,-10.70944691,1
431,321,-6.760779381,-10.30762291,1
431,353,-6.069283009,-9.90282917,1
431,385,-5.528716564,-9.695800781,1
431,417,-5.439344883,-10.87601185,1
431,449,-6.523125172,-12.93985653,1
431,481,-6.983605385,-11.32386494,1
431,513,-6.469601631,-9.559685707,1
431,545,-6.259668827,-7.756071091,1
431,577,-6.260186672,-6.363345146,1
431,609,-6.07766819,-6.883113861,1
431,641,-5.887531281,-7.891433239,1
431,673,-5.123393536,-10.53312588,1
431,705,-3.393166065,-10.19471741,1
431,737,-3.134152651,-8.546539307,1
431,769,-2.308375359,-7.777941704,1
431,801,-1.579028487,-7.108019352,1
431,833,-1.449469447,-5.896423817,1
431,865,-1.030007005,-6.636573792,1
431,897,-0.3180470467,-8.548517227,1
431,929,-0.503529191,-9.695201874,1
431,961,-0.5002714396,-10.60813618,1
431,993,0.1391833872,-9.833756447,1
431,1025,1.506192088,-10.29811287,1
431,1057,1.137747169,-10.01833725,1
431,1089,0.3148522377,-8.764490128,1
431,1121,0.8849322796,-7.00201416,1
431,1153,2.20744276,-7.682151318,1
431,1185,3.602904797,-7.717859268,1
431,1217,4.465366364,-7.400201797,1
431,1249,5.461645603,-8.632491112,1
431,1281,6.487345695,-9.293741226,1
431,1313,5.863377571,-8.641663551,1
431,1345,6.250086784,-8.153120041,1
431,1377,6.402920246,-9.761511803,1
431,1409,5.661858559,-9.778862,1
431,1441,5.067490578,-10.02402687,1
431,1473,4.395067215,-10.40818691,1
431,1505,3.878041983,-11.40760517,1
431,1537,3.657451153,-12.32220268,1
431,1569,2.569216013,-11.95621014,1
431,1601,1.140390396,-10.27549076,1
431,1633,1.059690356,-9.359665871,1
431,1665,1.314449787,-9.70895195,1
431,1697,0.8935124874,-10.38739777,1
431,1729,0.951431036,-9.768567085,1
431,1761,0.8033555746,-9.424758911,1
431,1793,0.1150479913,-9.500644684,1
431,1825,-0.2621671557,-9.398745537,1
431,1857,0.8126846552,-7.916607857,1
431,1889,1.584339023,-8.231482506,1
431,1921,1.347841978,-8.530571938,1
431,1953,0.4217078686,-8.065896988,1
431,1985,0.1499945819,-7.174475193,1
431,2017,-0.2691102028,-7.099630356,1
463,33,2.462356567,4.925317764,1
463,65,10.00156403,-9.676994324,1
463,97,-10.635993,-11.35409641,1
463,129,-8.596840858,-10.43874264,1
463,161,-7.982579231,-9.284732819,1
463,193,-6.926049232,-9.908840179,1
463,225,-6.65777874,-18.6291275,1
463,257,-7.107908249,-9.923277855,1
463,289,-6.329783916,-9.947050095,1
463,321,-6.340341091,-10.2030983,1
463,353,-6.10731411,-10.06508446,1
463,385,-4.702244759,-10.24698734,1
463,417,-5.975878239,-11.01661777,1
463,449,-6.608169079,-12.32276058,1
463,481,-6.085871696,-12.20110703,1
463,513,-4.599464417,-5.715316772,1
463,545,-5.182922363,-5.429134369,1
463,577,-5.676787853,-4.984351635,1
463,609,-5.388338089,-6.017784595,1
463,641,-4.963495255,-7.047824383,1
463,673,-4.547874451,-10.04944611,1
463,705,-3.322668791,-9.041425705,1
463,737,-2.995663881,-8.308168411,1
463,769,-2.157019138,-8.144016266,1
463,801,-1.71956718,-8.106798172,1
463,833,-1.899856091,-6.872828007,1
463,865,-1.165039778,-7.260752201,1
463,897,-0.4386097789,-8.556911469,1
463,929,-1.056768775,-9.458046913,1
463,961,-0.7115052342,-10.13530064,1
463,993,-0.3780699968,-8.674712181,1
463,1025,0.3268647194,-9.081943512,1
463,1057,1.262607098,-9.49683094,1
463,1089,2.231622458,-8.899412155,1
463,1121,3.003241539,-7.700201988,1
463,1153,3.193581104,-7.407714844,1
463,1185,4.180929184,-7.573227882,1
463,1217,5.272791862,-8.090421677,1
463,1249,6.380525112,-9.467208862,1
463,1281,7.185876846,-10.0242939,1
463,1313,6.145980358,-9.996829987,1
463,1345,5.828047276,-11.51281834,1
463,1377,6.239657879,-11.61363602,1
463,1409,6.346943378,-10.69388962,1
463,1441,5.728445053,-10.20700455,1
463,1473,4.547935963,-10.60151482,1
463,1505,3.866845608,-10.9898386,1
463,1537,3.432140589,-12.03147793,1
463,1569,2.756776333,-11.32315922,1
463,1601,2.254934549,-10.16646481,1
463,1633,2.064419508,-9.578759193,1
463,1665,1.897251606,-9.10965538,1
463,1697,1.539381385,-9.245128632,1
463,1729,1.711160302,-8.720496178,1
463,1761,1.667972326,-9.361335754,1
463,1793,1.22049582,-9.000161171,1
463,1825,0.9176881313,-8.249312401,1
463,1857,0.7545490265,-7.755976677,1
463,1889,1.375439048,-8.017962456,1
463,1921,0.9601837993,-8.708530426,1
463,1953,0.3802849054,-7.538377762,1
463,1985,0.25476107,-6.219621181,1
463,2017,-0.4318599999,-7.709565163,1
495,33,-0.4934196472,1.339434624,1
495,65,-17.74830246,-9.944181442,1
495,97,-9.796628952,-12.53901768,1
495,129,-6.269020081,-10.21678543,1
495,161,0.5128116608,-0.941037178,1
495,193,0.5369987488,-1.622398376,1
495,225,-8.591510773,-9.335076332,1
495,257,-6.415575504,-10.04045105,1
495,289,-5.918221951,-10.17512035,1
495,321,-6.335494041,-10.00297928,1
495,353,-5.888481617,-10.19529152,1
495,385,0.4171581268,-26.03278732,1
495,417,-6.22299242,-11.58437824,1
495,449,-7.295101166,-11.82405853,1
495,481,-6.281891346,-9.349840164,1
495,513,-5.755782127,-7.263814926,1
495,545,-5.260005474,-6.626693726,1
495,577,-4.239919662,-6.056966782,1
495,609,-3.282980442,-6.28676796,1
495,641,-3.848126888,-6.695786476,1
495,673,-3.879962921,-7.518406391,1
495,705,-3.309841871,-7.725216866,1
495,737,-2.80388999,-7.509074688,1
495,769,-1.547178507,-8.228941917,1
495,801,0.5586004257,-8.859518051,1
495,833,-0.5278621912,-7.769308567,1
495,865,-0.433842063,-7.932433128,1
495,897,-0.6779432297,-8.381714821,1
495,929,-1.159142494,-8.796979904,1
495,961,-1.06682694,-8.955594063,1
495,993,-0.2415592372,-8.454393387,1
495,1025,0.7154176831,-8.79336834,1
495,1057,1.6796031,-9.362298012,1
495,1089,2.618588686,-9.195965767,1
495,1121,3.588459492,-7.94311142,1
495,1153,3.961505413,-7.337397575,1
495,1185,4.57345295,-7.259479523,1
495,1217,5.419243813,-8.490117073,1
495,1249,6.249761581,-9.300336838,1
495,1281,7.247386932,-10.33188629,1
495,1313,7.877786636,-11.99559212,1
495,1345,7.498494625,-12.87614155,1
495,1377,7.250109196,-12.32236958,1
495,1409,7.017573357,-11.9417963,1
495,1441,6.146224976,-11.0266428,1
495,1473,4.134444714,-10.93833923,1
495,1505,2.709044456,-10.73696709,1
495,1537,3.192249537,-11.67279625,1
495,1569,2.910408258,-11.1249876,1
495,1601,2.433132648,-10.26806259,1
495,1633,2.013739586,-9.200511932,1
495,1665,1.728906751,-8.668099403,1
495,1697,2.687362194,-8.943095207,1
495,1729,2.366788387,-9.091323853,1
495,1761,1.95747292,-8.986739159,1
495,1793,1.688442707,-8.052329063,1
495,1825,1.429787874,-7.536363602,1
495,1857,0.9748221636,-7.696364403,1
495,1889,1.421407938,-7.816452026,1
495,1921,1.264745831,-8.492776871,1
495,1953,1.093187809,-7.130616665,1
495,1985,1.194541335,-6.529158592,1
495,2017,0.2468805611,-8.393378258,1
527,33,0.2910995483,0.8245048523,1
527,65,-8.846208572,-10.86803246,1
527,97,-9.044967651,-12.10498524,1
527,129,-7.504803181,-10.99997711,1
527,161,-6.325436592,-9.039761543,1
527,193,-5.308726311,-8.399841309,1
527,225,-5.797960281,-9.812695503,1
527,257,-5.762678623,-10.43624687,1
527,289,0.03347635269,-1.223988533,1
527,321,-5.347424507,-9.350156784,1
527,353,-5.195267677,-9.890086174,1
527,385,-5.092804432,-9.766246796,1
527,417,-5.778394699,-10.90205956,1
527,449,-6.860044956,-11.403409,1
527,481,-8.070053101,-9.016171455,1
527,513,-7.10737133,-7.615341187,1
527,545,-4.256672859,-5.385705471,1
527,577,-3.010824203,-5.908586979,1
527,609,-2.747346401,-6.493668079,1
527,641,-3.366504669,-6.431260109,1
527,673,-5.985574245,-6.525063992,1
527,705,-3.923590422,-6.933839798,1
527,737,-2.270799637,-7.51571846,1
527,769,0.08875584602,-9.525177002,1
527,801,1.229907274,-9.652272224,1
527,833,1.241297364,-8.736761093,1
527,865,-0.1947088838,-8.644083023,1
527,897,-0.8066827059,-8.754607201,1
527,929,-0.9645951986,-9.039589882,1
527,961,-1.122456908,-8.96898365,1
527,993,0.4543767273,-7.801612854,1
527,1025,1.482988596,-8.595101357,1
527,1057,1.888202906,-9.179609299,1
527,1089,2.377905607,-9.462860107,1
527,1121,3.405787468,-8.968113899,1
527,1153,4.500603199,-8.503961563,1
527,1185,5.21407795,-8.254128456,1
527,1217,6.372618198,-8.266093254,1
527,1249,7.093819141,-9.298624039,1
527,1281,7.689960957,-10.59260464,1
527,1313,7.907804489,-11.8130455,1
527,1345,8.13570118,-12.16580486,1
527,1377,8.000695229,-12.66880512,1
527,1409,7.003545284,-12.83149338,1
527,1441,5.71565485,-11.97312546,1
527,1473,3.340576649,-11.32508183,1
527,1505,2.523893595,-10.80490398,1
527,1537,3.589454651,-11.75566578,1
527,1569,2.818693876,-10.97764778,1
527,1601,1.425872087,-10.22287273,1
527,1633,1.274150372,-9.237922668,1
527,1665,1.820287347,-9.653244019,1
527,1697,1.951421142,-9.685338974,1
527,1729,2.876743793,-9.155059814,1
527,1761,2.981361866,-8.413118362,1
527,1793,2.028022528,-7.744203568,1
527,1825,1.464885592,-8.019859314,1
527,1857,1.348639727,-7.910326958,1
527,1889,2.960952044,-7.36179781,1
527,1921,2.081268787,-6.924496174,1
527,1953,1.231108069,-6.596698284,1
527,1985,2.124671936,-7.410830975,1
527,2017,1.947999358,-8.673382759,1
559,33,-0.1105525494,0.06662273407,1
559,65,-8.998545647,-11.9675436,1
559,97,-8.355358124,-11.50302315,1
559,129,-7.346637249,-11.39923763,1
559,161,-6.484097958,-10.67100811,1
559,193,-5.527245998,-9.93721962,1
559,225,-5.295679569,-10.66667366,1
559,257,-5.598260403,-10.98787689,1
559,289,-4.856149197,-9.686090469,1
559,321,-4.605499268,-9.678429604,1
559,353,-5.004488468,-9.530726433,1
559,385,-5.18545723,-9.343840599,1
559,417,-5.420463562,-10.94070625,1
559,449,-6.896338463,-11.12253857,1
559,481,-9.267363548,-7.797937393,1
559,513,-8.838214874,-7.29211092,1
559,545,-4.544372082,-5.6023283,1
559,577,-3.332869053,-5.930710793,1
559,609,-2.796339989,-6.550294876,1
559,641,4.702834606,1.230817795,1
559,673,-4.444695473,-4.678443432,1
559,705,-3.091438293,-6.836904049,1
559,737,-1.307695866,-8.215765953,1
559,769,0.2971881628,-10.18312359,1
559,801,0.7485666275,-11.08349228,1
559,833,0.9120441675,-10.84316921,1
559,865,0.0183622539,-9.234384537,1
559,897,-0.3246721327,-9.316953659,1
559,929,-0.6224867702,-9.58353138,1
559,961,-0.04975694418,-9.081941605,1
559,993,1.230237365,-6.801584244,1
559,1025,2.058576584,-7.561640739,1
559,1057,2.513174772,-8.591856003,1
559,1089,2.586267948,-9.231348991,1
559,1121,3.21911788,-9.486865044,1
559,1153,4.470196724,-9.599788666,1
559,1185,5.922232628,-7.9495821,1
559,1217,8.508012772,-6.916797638,1
559,1249,7.759273052,-9.837635994,1
559,1281,8.258972168,-11.49194908,1
559,1313,8.277914047,-12.23755169,1
559,1345,7.99660778,-12.65505791,1
559,1377,7.991532803,-13.21477127,1
559,1409,7.230921745,-14.6040144,1
559,1441,5.998200417,-12.74265194,1
559,1473,4.87106657,-11.18934441,1
559,1505,3.918195486,-10.79378986,1
559,1537,3.326253891,-10.80207729,1
559,1569,2.78295517,-10.69074345,1
559,1601,2.223697424,-10.41463375,1
559,1633,2.066596508,-10.22282219,1
559,1665,2.237382412,-10.29666328,1
559,1697,2.137849331,-10.10349751,1
559,1729,2.3183043,-9.341220856,1
559,1761,2.041946411,-8.53096199,1
559,1793,1.520272017,-7.787637711,1
559,1825,1.066674948,-8.246469498,1
559,1857,0.8714694977,-8.640684128,1
559,1889,1.340643883,-7.500758171,1
559,1921,1.244947433,-6.562088013,1
559,1953,0.8783960342,-6.813260078,1
559,1985,1.822649002,-8.334367752,1
559,2017,1.865939379,-9.444008827,1
591,33,-6.099934101,1.791231155,1
591,65,-7.520579338,-11.57056427,1
591,97,-7.850713253,-11.61313629,1
591,129,-7.765501976,-11.15271759,1
591,161,-7.388153076,-10.73509121,1
591,193,-7.298943043,-12.0529108,1
591,225,-6.521350384,-13.00806141,1
591,257,-5.506719589,-11.6311655,1
591,289,-4.937970638,-11.04261112,1
591,321,-4.418701172,-10.45945644,1
591,353,-4.627862453,-9.203399658,1
591,385,-4.614248276,-9.055722237,1
591,417,-3.596197128,-10.01822472,1
591,449,-2.871751785,-9.663309097,1
591,481,-4.381989479,-7.200226784,1
591,513,-5.535915375,-6.845668316,1
591,545,-5.219415665,-6.523109436,1
591,577,-3.685077429,-4.278026581,1
591,609,-2.344692945,-6.683662415,1
591,641,-0.1205551624,-6.577240944,1
591,673,11.28954887,-9.210229874,1
591,705,-2.470484257,-8.554172516,1
591,737,-2.092989922,-9.118542671,1
591,769,-2.247708797,-9.754693985,1
591,801,-1.19198966,-11.84302235,1
591,833,0.1878672838,-12.22712326,1
591,865,1.02962029,-9.985956192,1
591,897,0.9037134051,-10.45273972,1
591,929,0.6746118665,-10.68568134,1
591,961,3.986300945,-7.679062843,1
591,993,3.659649611,-6.593097687,1
591,1025,3.565077305,-6.921220779,1
591,1057,3.175983429,-7.933130264,1
591,1089,3.478560448,-8.898924828,1
591,1121,4.243947983,-9.806406975,1
591,1153,5.180801868,-9.568894386,1
591,1185,7.39709568,-6.309298515,1
591,1217,10.00916672,-7.344425201,1
591,1249,9.546032906,-10.73530865,1
591,1281,9.052382469,-11.70590305,1
591,1313,8.598308563,-12.396348,1
591,1345,8.114348412,-12.80535793,1
591,1377,8.350704193,-14.94107437,1
591,1409,8.403911591,-16.26903534,1
591,1441,7.708546638,-13.3648262,1
591,1473,6.144052505,-11.06508923,1
591,1505,4.559185505,-10.68312454,1
591,1537,3.502311707,-10.62446976,1
591,1569,2.540008783,-10.89715195,1
591,1601,2.579868317,-11.75833702,1
591,1633,2.395848274,-11.17575741,1
591,1665,2.24676466,-10.91124725,1
591,1697,2.55926466,-10.67866421,1
591,1729,1.432555676,-9.70872879,1
591,1761,1.431983709,-8.778785706,1
591,1793,1.512639999,-8.185614586,1
591,1825,1.159069777,-8.281147957,1
591,1857,0.5484316945,-8.171743393,1
591,1889,0.6432492733,-7.167774677,1
591,1921,0.9346057773,-6.291750431,1
591,1953,0.7012603879,-6.860818863,1
591,1985,0.07318341732,-7.10941124,1
591,2017,0.9725933671,-10.19985867,1
623,33,-8.019844055,1.247386932,1
623,65,-7.41272068,-10.05554676,1
623,97,-7.531484604,-11.3117981,1
623,129,-7.6343503,-11.02522755,1
623,161,-7.281833172,-10.93689251,1
623,193,-7.488675594,-12.65981197,1
623,225,-7.039430141,-11.54960823,1
623,257,-5.403675079,-9.954950333,1
623,289,-4.736515522,-9.45503521,1
623,321,-3.862020493,-9.267917633,1
623,353,-3.51819849,-8.769333839,1
623,385,-3.684855461,-8.618265152,1
623,417,-3.743536472,-9.2631464,1
623,449,-3.367631435,-9.315861702,1
623,481,-2.981228828,-8.700357437,1
623,513,-2.534537077,-8.023436546,1
623,545,-2.287503004,-7.351097107,1
623,577,-2.463170052,-6.738097191,1
623,609,-1.244416952,-7.471107006,1
623,641,-0.001016616821,-8.148399353,1
623,673,-1.375032425,-9.123394966,1
623,705,-2.755357027,-9.249448776,1
623,737,-2.867126465,-9.273088455,1
623,769,-2.091599464,-9.56303215,1
623,801,-2.249120474,-12.20245361,1
623,833,-1.118267536,-12.65874863,1
623,865,0.6350269318,-10.88883305,1
623,897,0.3910599351,-10.81637096,1
623,929,3.10480547,-9.642335892,1
623,961,5.401312828,-6.092424393,1
623,993,3.487331867,-5.650514603,1
623,1025,3.354435205,-7.251430988,1
623,1057,4.619420052,-8.092451096,1
623,1089,5.367200851,-9.442584038,1
623,1121,5.61422348,-10.11095619,1
623,1153,6.240172386,-7.895241737,1
623,1185,7.301142693,-6.240684509,1
623,1217,9.583472252,-9.467808723,1
623,1249,9.730380058,-11.38613033,1
623,1281,8.573426247,-11.4917593,1
623,1313,8.238773346,-11.90316772,1
623,1345,8.766499519,-12.33639431,1
623,1377,9.361124039,-13.15113354,1
623,1409,8.464826584,-12.53779888,1
623,1441,7.226198673,-11.41257858,1
623,1473,5.392256737,-10.39579582,1
623,1505,4.147480011,-10.43492794,1
623,1537,3.509860277,-10.80672741,1
623,1569,3.115486383,-10.91269875,1
623,1601,2.84884572,-12.6466713,1
623,1633,2.563663006,-12.07101154,1
623,1665,2.83999157,-11.35560226,1
623,1697,3.374792099,-11.06738472,1
623,1729,2.121569395,-9.558686256,1
623,1761,0.9799540043,-8.743754387,1
623,1793,0.9276832342,-8.02345562,1
623,1825,0.8410269022,-8.196292877,1
623,1857,0.08868229389,-7.95220232,1
623,1889,0.3979406953,-6.04018116,1
623,1921,0.9074190855,-5.513504028,1
623,1953,0.2349874973,-6.76693964,1
623,1985,-1.428133249,-7.384594917,1
623,2017,0.1529906988,-10.20537376,1
655,33,-4.403738022,0.2941493988,1
655,65,-7.063858032,-8.641940117,1
655,97,-7.122423649,-11.45074844,1
655,129,-7.569770813,-11.03811932,1
655,161,-7.687400341,-10.69800186,1
655,193,-7.049017906,-10.43137455,1
655,225,-5.582664013,-10.26220512,1
655,257,-4.447723389,-8.553185463,1
655,289,-3.741923332,-8.246991158,1
655,321,-3.798736572,-8.104592323,1
655,353,-3.374393702,-8.25699234,1
655,385,-3.037862301,-8.768445015,1
655,417,-3.443652868,-9.340870857,1
655,449,-3.454918146,-9.509001732,1
655,481,-2.6384058,-9.182919502,1
655,513,-0.9409012794,-8.517640114,1
655,545,-0.6766228676,-7.574692726,1
655,577,-2.30837512,-6.48466301,1
655,609,-3.522133827,-7.131688118,1
655,641,-3.136275291,-7.711676598,1
655,673,-3.908662796,-8.687199593,1
655,705,-4.953392982,-9.125250816,1
655,737,-3.215153217,-9.044383049,1
655,769,-2.92860508,-9.795467377,1
655,801,-2.824719191,-11.84727573,1
655,833,-2.242066383,-13.1170845,1
655,865,-0.8105101585,-11.39378166,1
655,897,-1.054688811,-9.658858299,1
655,929,1.135613918,-8.423942566,1
655,961,5.083239555,-5.946379662,1
655,993,5.528150558,-6.487335205,1
655,1025,5.122776985,-8.189121246,1
655,1057,4.166162491,-8.671606064,1
655,1089,5.27114296,-9.418996811,1
655,1121,5.931258202,-9.529407501,1
655,1153,6.254928589,-7.787413597,1
655,1185,6.485160351,9.739920616,1
655,1217,8.190811157,-10.14212799,1
655,1249,8.560809135,-10.72335339,1
655,1281,8.325023651,-11.26188183,1
655,1313,8.115291595,-12.03536797,1
655,1345,8.212778091,-11.7135582,1
655,1377,7.49913311,-11.55440044,1
655,1409,6.291608334,-11.44270611,1
655,1441,5.438169956,-10.80527115,1
655,1473,4.789415359,-9.877374649,1
655,1505,3.611184359,-9.849564552,1
655,1537,3.312447786,-9.416077614,1
655,1569,3.313613892,-10.47791576,1
655,1601,2.482149124,-11.54172897,1
655,1633,2.481421471,-11.51530838,1
655,1665,3.080255032,-11.49385738,1
655,1697,2.694881201,-10.82848072,1
655,1729,1.427732468,-9.075182915,1
655,1761,0.681252718,-8.423153877,1
655,1793,0.7712030411,-8.316650391,1
655,1825,0.5088478923,-8.340643883,1
655,1857,0.441871047,-7.711378098,1
655,1889,1.484274507,-6.707791328,1
655,1921,1.568226337,-5.88011837,1
655,1953,0.4125492573,-6.167041302,1
655,1985,-0.9961242676,-8.542042732,1
655,2017,0.8838644028,-9.123727798,1
687,33,-6.929654598,0.0748167038,1
687,65,-7.753578663,-11.89607525,1
687,97,5.756661415,-11.96029854,1
687,129,-7.22273159,-10.9968195,1
687,161,-7.098423481,-10.53258419,1
687,193,-6.473749638,-10.38313866,1
687,225,-5.028279781,-10.49095345,1
687,257,-3.495100975,-9.161824226,1
687,289,-3.285395145,-7.895643234,1
687,321,-3.049249887,-6.741823196,1
687,353,-2.799232006,-8.264647484,1
687,385,-2.897908926,-8.383273125,1
687,417,-3.239281893,-8.86260891,1
687,449,-3.455640316,-10.16544533,1
687,481,-3.078863621,-9.830767632,1
687,513,-3.004831553,-10.06188488,1
687,545,-2.444963932,-8.452176094,1
687,577,-2.630758762,-6.130706787,1
687,609,-4.17800045,-6.875164986,1
687,641,-4.390889168,-7.258696556,1
687,673,-5.430949688,-8.40473938,1
687,705,-5.457113266,-8.681838036,1
687,737,-4.489258289,-8.638757706,1
687,769,-4.12203598,-8.906207085,1
687,801,-4.19770813,-10.7515192,1
687,833,-3.414479017,-12.73352528,1
687,865,-2.580422401,-11.71373749,1
687,897,-2.173463106,-9.719528198,1
687,929,-1.498135805,-8.695928574,1
687,961,-0.9634411335,-8.567614555,1
687,993,0.270334959,-9.026529312,1
687,1025,2.007749557,-9.296090126,1
687,1057,3.899377823,-8.763902664,1
687,1089,5.301221848,-8.500552177,1
687,1121,5.89619875,-9.16699791,1
687,1153,4.552754402,-8.645549774,1
687,1185,5.770075798,-10.83574104,1
687,1217,7.31946373,-11.78760433,1
687,1249,7.818805695,-11.31647301,1
687,1281,7.299773216,-11.6210537,1
687,1313,7.058426857,-12.33683109,1
687,1345,6.957897663,-11.46823406,1
687,1377,6.104094505,-11.92759991,1
687,1409,5.43569994,-11.24393082,1
687,1441,4.654693127,-10.53252316,1
687,1473,3.434908628,-10.82503891,1
687,1505,2.931498528,-10.35326004,1
687,1537,3.649446487,-9.56956768,1
687,1569,2.897902727,-10.34873199,1
687,1601,1.641012192,-10.29734802,1
687,1633,2.150207758,-10.704175,1
687,1665,2.255563259,-11.19365788,1
687,1697,1.875737667,-10.68138695,1
687,1729,0.707154274,-9.233094215,1
687,1761,0.1184963584,-8.546588898,1
687,1793,0.9908827543,-8.749873161,1
687,1825,0.06647533178,-8.933177948,1
687,1857,0.1364040375,-8.421820641,1
687,1889,0.5829046965,-8.281697273,1
687,1921,0.6835070848,-8.176265717,1
687,1953,0.8451333046,-7.930512905,1
687,1985,1.1768502,-8.734357834,1
687,2017,2.078385353,-8.45098114,1
719,33,7.118260384,0.02544116974,1
719,65,-7.501819611,-12.31251907,1
719,97,-8.137368202,-12.49455452,1
719,129,-6.898368835,-11.55088711,1
719,161,-6.566895485,-11.11793709,1
719,193,-6.376966476,-10.6994648,1
719,225,-5.440243244,-10.25469589,1
719,257,-4.514501572,-9.664587021,1
719,289,-3.226160526,-8.222132683,1
719,321,-2.296785116,-7.015724182,1
719,353,-1.776328802,-8.104358673,1
719,385,-2.548382044,-7.710565567,1
719,417,-2.998744011,-8.757930756,1
719,449,-3.561205626,-10.80043888,1
719,481,-5.283425808,-10.1023283,1
719,513,-8.257165909,-11.89738178,1
719,545,-4.466930866,-11.39644527,1
719,577,1.354483128,-7.993919373,1
719,609,-1.698587179,-7.376883507,1
719,641,-3.819432259,-8.798548698,1
719,673,-5.10287571,-8.710515022,1
719,705,-5.683398247,-8.727813721,1
719,737,-5.612286091,-8.70985508,1
719,769,-5.262764454,-7.598383904,1
719,801,-5.149512291,-9.691508293,1
719,833,-4.557835579,-11.0439806,1
719,865,-4.359426498,-10.67234707,1
719,897,-4.51919651,-10.10675621,1
719,929,-3.677501678,-10.07314491,1
719,961,-3.157711506,-9.628882408,1
719,993,-1.462566853,-9.138421059,1
719,1025,1.236480951,-9.571775436,1
719,1057,3.501728058,-9.466517448,1
719,1089,4.987598419,-9.305932045,1
719,1121,5.879497528,-8.200761795,1
719,1153,5.447451115,-12.79783726,1
719,1185,6.168935299,-14.05626965,1
719,1217,7.448525906,-13.65180969,1
719,1249,11.2385788,-15.09074879,1
