 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
65,607.984,287.891,523.343,168.819,103.146,35.849,21.593,86.807,37.924,430,124,97.352,23.053
66,500.520,287.891,127.526,166.694,87.287,25.692,24.804,130.159,27.694,94,134,151.189,24.960
67,373.918,287.891,352.738,168.163,84.444,30.517,15.600,33.734,30.623,282,149,56.310,17.752
68,476.966,287.891,156.947,171.391,90.424,28.076,21.631,58.009,29.966,123,150,58.241,24.266
69,279.702,287.891,260.210,166.613,66.280,20.589,17.297,58.085,22.372,208,146,40.601,18.200
70,490.215,287.891,308.947,169.767,90.008,32.574,19.161,3.955,34.167,240,143,6.116,20.626
71,429.858,287.891,217.494,175.535,88.414,31.747,17.240,71.982,33.994,171,156,55.176,17.906
72,337.115,287.891,238.977,172.573,73.560,25.090,17.108,63.685,27.266,191,152,57.724,18.033
73,197.264,287.891,282.954,168.840,54.563,18.216,13.788,4.105,18.836,226,142,14.931,13.346
74,394.527,287.891,197.067,181.729,82.555,34.268,14.659,85.136,33.316,160,163,79.509,14.560
75,348.892,287.891,103.093,177.724,74.443,22.831,19.457,56.113,25.013,82,157,67.166,19.733
76,822.913,287.891,427.626,189.616,124.153,43.820,23.911,89.535,46.170,352,177,86.987,27.906
77,303.256,287.891,454.378,181.207,67.996,22.710,17.002,109.606,23.558,369,142,124.509,16.986
78,334.170,287.891,324.223,184.842,79.591,30.113,14.130,62.585,31.848,264,166,72.255,15.309
79,416.609,287.891,474.483,182.774,78.829,26.314,20.158,99.988,27.932,384,141,124.380,19.413
80,291.479,287.891,178.215,181.819,65.275,20.409,18.184,85.217,21.873,142,157,56.310,18.200
81,724.281,287.891,389.726,187.735,103.857,31.396,29.372,119.999,34.253,315,142,112.932,29.543
82,474.021,287.891,361.596,187.739,85.987,26.486,22.787,39.489,28.429,289,162,39.806,24.262
83,563.821,287.891,497.211,190.085,99.003,28.011,25.628,72.227,32.556,403,145,116.565,24.888
84,496.103,287.891,266.519,188.518,92.140,31.611,19.982,27.078,33.316,209,164,33.111,20.052
85,329.754,287.891,296.275,187.304,74.981,27.455,15.292,2.629,27.373,234,152,167.196,15.773
86,544.683,287.891,135.881,198.248,96.404,33.700,20.579,96.474,33.646,106,151,115.641,21.840
