PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
244,211,0.4438649416,-0.6203467846,1
244,227,0.3430406749,-0.8393706083,1
244,243,NaN,NaN,2
244,259,0.5486402512,-0.05506461486,1
244,275,-0.1828483492,0.3507405818,1
244,291,NaN,NaN,2
244,307,NaN,NaN,2
244,323,NaN,NaN,2
244,339,-0.1941893101,0.6293464899,1
244,355,NaN,NaN,2
244,371,NaN,NaN,2
244,387,-0.1652808189,0.4224357903,1
244,403,-0.003734897822,0.4971797168,1
260,19,NaN,NaN,2
260,35,NaN,NaN,2
260,51,1.234712601,3.159374714,1
260,67,1.056743741,2.763689518,1
260,83,1.028068304,2.617426634,1
260,99,0.70443964,2.381206274,1
260,115,0.9276949167,2.17837429,1
260,131,1.402874827,2.075193167,1
260,147,1.251050472,1.787813663,1
260,163,0.7852344513,1.413574576,1
260,179,1.205339432,0.4401699901,1
260,195,1.091780305,-0.2189538777,1
260,211,0.0609716773,-0.8212564588,1
260,227,-0.0008860230446,-0.8714553118,1
260,243,NaN,NaN,2
260,259,NaN,NaN,2
260,275,NaN,NaN,2
260,291,NaN,NaN,2
260,307,NaN,NaN,2
260,323,NaN,NaN,2
260,339,-1.270745993,0.9534857869,1
260,355,NaN,NaN,2
260,371,-0.4438676536,0.4734901786,1
260,387,-0.315261215,0.5207310915,1
260,403,0.07631585747,0.5597336292,1
276,19,NaN,NaN,2
276,35,NaN,NaN,2
276,51,1.09425199,3.191110373,1
276,67,0.7474853396,2.78306818,1
276,83,0.6505914927,2.553871155,1
276,99,0.7006493807,2.319813728,1
276,115,0.945795238,2.100452185,1
276,131,1.258745313,1.707894087,1
276,147,1.363714576,1.34702611,1
276,163,1.316147923,1.244010568,1
276,179,0.9764226675,0.7373247147,1
276,195,0.7481087446,0.3879311085,1
276,211,0.2218814492,-0.7894158363,1
276,227,NaN,NaN,2
276,243,NaN,NaN,2
276,259,0.2022362649,0.3291068673,1
276,275,NaN,NaN,2
276,291,NaN,NaN,2
276,307,NaN,NaN,2
276,323,NaN,NaN,2
276,339,-1.465336561,0.755130291,1
276,355,NaN,NaN,2
276,371,-0.989187479,0.3981101513,1
276,387,-0.2183959484,0.4759382308,1
276,403,-0.1415312886,0.3401287794,1
292,19,0.4947030544,3.016760111,1
292,35,0.94052279,2.839915037,1
292,51,1.331471205,2.920632839,1
292,67,0.9720878005,2.723347664,1
292,83,0.8790907264,2.478270292,1
292,99,0.7525727749,2.387658119,1
292,115,0.7017874718,1.920283556,1
292,131,1.337772608,1.357815266,1
292,147,1.468631864,1.173460603,1
292,163,1.408200383,1.43125689,1
292,179,0.7677023411,1.238690853,1
292,195,0.3585174084,0.5650349259,1
292,211,NaN,NaN,2
292,227,NaN,NaN,2
292,243,0.2478425503,-0.0401673317,1
292,259,0.8086633682,-0.09967083484,1
292,275,1.461606026,1.306074142,1
292,291,NaN,NaN,2
292,307,0.1693258882,0.1526762098,1
292,323,0.0810213685,-0.002408400178,1
292,339,-0.3075726628,-0.0298191309,1
292,355,NaN,NaN,2
292,371,-0.531596303,-0.04542948306,1
292,387,-0.1990977228,-0.06426744163,1
292,403,-0.2406191528,0.4229661226,1
308,19,0.1512155682,2.498135805,1
308,35,0.5435228944,2.796029568,1
308,51,0.7475655079,2.752607346,1
308,67,0.7993040085,2.554013014,1
308,83,0.7676638365,2.476258039,1
308,99,0.6016494632,2.390525341,1
308,115,0.5834745765,1.951143265,1
308,131,1.151894569,1.727384806,1
308,147,1.316846609,1.518325686,1
308,163,1.467467904,1.523330927,1
308,179,1.153377175,1.359983563,1
308,195,0.7178965807,0.1764517426,1
308,211,NaN,NaN,2
308,227,NaN,NaN,2
308,243,0.007416311651,0.1175309569,1
308,259,0.05392366648,0.1086009368,1
308,275,NaN,NaN,2
308,291,0.810726583,-0.2471002489,1
308,307,0.1437889636,-0.5252447128,1
308,323,-0.05593913794,-0.4314656258,1
308,339,0.01361336187,-0.1937193274,1
308,355,-0.2119449675,0.09738875926,1
308,371,-0.4599298239,-0.321513176,1
308,387,-0.3593407273,-0.2739376128,1
308,403,-1.275563478,0.1303042024,1
324,19,0.249094069,2.484046936,1
324,35,0.4077000022,2.73559761,1
324,51,0.697743237,2.623613119,1
324,67,0.7351828814,2.501748323,1
324,83,0.641002059,2.534915447,1
324,99,0.7554507256,2.601595879,1
324,115,1.056540489,2.203739166,1
324,131,1.270913601,1.719944119,1
324,147,1.347844243,1.363681912,1
324,163,1.64672029,1.350675702,1
324,179,2.401028156,1.179109693,1
