PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
468,115,0.5457438231,-0.7143615484,1
468,131,0.5080013275,-0.9834430218,1
468,147,0.3419015408,-1.253238201,1
468,163,0.06375819445,-1.327195644,1
468,179,-0.6759278178,-0.1356534958,1
468,195,-0.7443122864,-1.142419457,1
468,211,-0.1224623919,-0.4573358893,1
468,227,0.0468968451,-0.1851140261,1
468,243,-0.01087076962,-0.06431438029,1
468,259,NaN,NaN,2
468,275,-0.134844631,-0.5524926782,1
468,291,NaN,NaN,2
468,307,NaN,NaN,2
468,323,NaN,NaN,2
468,339,NaN,NaN,2
468,355,0.1022356972,-0.2732564509,1
468,371,NaN,NaN,2
468,387,0.2075425833,0.003641530871,1
468,403,0.3842688799,0.2233860493,1
484,19,0.02897754312,0.1060081869,1
484,35,0.03256559372,0.250540942,1
484,51,0.1478112936,0.3519191444,1
484,67,0.3038429618,0.1674098074,1
484,83,0.4382917285,-0.06424796581,1
484,99,0.401165247,-0.286585182,1
484,115,0.2612326145,-0.6650935411,1
484,131,0.2716366351,-1.023342848,1
484,147,0.2184433043,-1.407079339,1
484,163,0.09394288063,-1.442145228,1
484,179,0.1580687761,-1.145196915,1
484,195,NaN,NaN,2
484,211,NaN,NaN,2
484,227,NaN,NaN,2
484,243,NaN,NaN,2
484,259,-0.171072185,-0.02323250473,1
484,275,-0.144894585,-0.09638464451,1
484,291,NaN,NaN,2
484,307,NaN,NaN,2
484,323,NaN,NaN,2
484,339,-0.5580664277,0.09458933771,1
484,355,-0.3182224631,-0.1802152097,1
484,371,-0.1288017631,0.07936587185,1
484,387,0.02225327492,-0.04401400685,1
484,403,0.3165158629,0.1929125786,1
500,19,0.002330228686,-0.06623815745,1
500,35,-0.4476378858,0.2382475734,1
500,51,-0.01596300304,0.4799708724,1
500,67,0.4602354169,0.392084986,1
500,83,0.4212540686,0.0177616626,1
500,99,0.2584471405,-0.3466134369,1
500,115,0.0749438405,-0.4505232871,1
500,131,-0.1147584468,-0.7284412384,1
500,147,-0.09886202216,-1.343631506,1
500,163,0.1343297511,-1.564236879,1
500,179,0.1017108113,-0.7885220647,1
500,195,-0.2590734363,-0.1476254016,1
500,211,-0.282369107,0.00949677825,1
500,227,NaN,NaN,2
500,243,0.4690233469,-2.103534222,1
500,259,-0.1112238467,-0.191920802,1
500,275,-0.07441214472,-0.2391538173,1
500,291,-0.05166917667,-0.2974091768,1
500,307,-0.08181125671,-0.4986921847,1
500,323,NaN,NaN,2
500,339,NaN,NaN,2
500,355,NaN,NaN,2
500,371,NaN,NaN,2
500,387,NaN,NaN,2
500,403,0.2345545888,0.218953371,1
516,19,0.05038765073,-0.02981366217,1
516,35,-0.177825138,0.3218616843,1
516,51,0.3058629036,0.6639714241,1
516,67,0.6825402975,0.5182197094,1
516,83,0.5286831856,-0.05732166767,1
516,99,0.4150419533,-0.2814212739,1
516,115,0.1842849255,-0.3520871401,1
516,131,-0.004316285253,-0.6555655003,1
516,147,0.1724071801,-1.096449137,1
516,163,0.5846844912,-1.226458192,1
516,179,0.2845984697,-0.5501356125,1
516,195,0.2747989893,-0.05361787975,1
516,211,NaN,NaN,2
516,227,NaN,NaN,2
516,243,-0.049135454,-0.8264955282,1
516,259,-0.1077472046,-0.1645581275,1
516,275,-0.0850366503,0.01021273434,1
516,291,-0.1147830039,0.06310890615,1
516,307,-0.1895620972,-0.006373658776,1
516,323,-0.04243865609,0.4141378403,1
516,339,-0.1577209085,0.6145567894,1
516,355,-0.03866001964,0.3921265304,1
516,371,NaN,NaN,2
516,387,-0.8597478271,-0.297108531,1
516,403,0.1489048004,0.5972534418,1
532,19,0.1622936428,0.1525373608,1
532,35,0.2865766287,0.4949233532,1
532,51,0.6839540005,0.7250832319,1
532,67,0.9202432632,0.3650958538,1
532,83,0.7162299156,0.05814133212,1
532,99,0.5365657806,-0.2566120028,1
532,115,0.2060836554,-0.5163605213,1
532,131,-0.02776664495,-0.8109680414,1
532,147,0.3290959597,-1.033410072,1
532,163,0.7897647619,-1.28850615,1
532,179,0.4205814302,-0.7816402912,1
532,195,NaN,NaN,2
532,211,-1.480909348,0.6981885433,1
532,227,-0.02204750478,-0.2113024443,1
532,243,0.3447746038,-0.4119240046,1
532,259,0.2702445388,-0.278275013,1
532,275,0.09164439142,-0.2657499015,1
532,291,0.06440287828,0.005182653666,1
532,307,0.0481968075,-0.1812053323,1
532,323,0.5181079507,-0.1867577136,1
532,339,-0.2393246889,0.2766132057,1
532,355,-0.05851003528,0.3283782303,1
532,371,0.05707062781,0.3363934159,1
532,387,-0.3748925328,0.17019701,1
532,403,NaN,NaN,2
548,19,0.2493951917,0.4167774618,1
548,35,0.7983145714,0.6136226058,1
548,51,1.085547566,0.5639406443,1
548,67,1.217266679,0.2499600649,1
548,83,0.9684453011,-0.0004692673683,1
548,99,0.5023052692,-0.4737595916,1
548,115,0.314155519,-0.8190354705,1
548,131,0.1763367355,-0.9185466766,1
548,147,0.3432449698,-1.119455576,1
548,163,0.873152256,-1.663379192,1
548,179,NaN,NaN,2
548,195,-0.06458246708,-0.1732513905,1
548,211,-0.350219965,0.4694850445,1
548,227,NaN,NaN,2
548,243,0.3792881966,-0.9278333783,1
548,259,-0.02025789022,-1.528046489,1
548,275,NaN,NaN,2
548,291,0.1050794423,-0.3344418406,1
548,307,-0.3468586504,-0.814545989,1
548,323,-0.3180944622,-1.119929671,1
548,339,-0.4770184755,-0.5756289959,1
548,355,-0.1163363755,-0.09881399572,1
548,371,0.3837701082,0.3502200842,1
548,387,0.2912174463,0.3386811614,1
548,403,0.08987355232,-0.4561144114,1
