PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 49, filenames: A:[49]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[50]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,417,-0.07613790035,-0.9190220833,1
303,449,-0.1904911399,-1.399371028,1
303,481,-1.133179188,-1.314116359,1
303,513,-1.359412313,-0.8449487686,1
303,545,-2.379766464,-2.853333235,1
303,577,-2.723570585,-3.555130005,1
303,609,-3.128418922,-4.299199104,1
303,641,-0.5138218999,-3.96596694,1
303,673,-0.2474913597,-1.071763635,1
303,705,-1.747117758,-2.142718315,1
303,737,-2.940681696,-2.580649614,1
303,769,-4.280232906,-2.618093967,1
303,801,-4.341429234,-1.226155281,1
303,833,-2.52296567,0.1987013221,1
303,865,-1.389526367,0.07045271993,1
303,897,-2.01180768,-0.02070757747,1
303,929,-1.07330513,0.4756469429,1
303,961,-2.728357315,0.9684082866,1
303,993,-4.493203163,1.0604918,1
303,1025,-4.480829239,2.362434149,1
303,1057,-3.354581118,2.916801691,1
303,1089,-3.423291683,3.796425343,1
303,1121,-2.821111917,3.488798618,1
303,1153,-1.691437721,2.926546335,1
303,1185,-3.560375929,4.450354576,1
303,1217,-6.195263386,4.727845192,1
303,1249,-21.42721176,-3.616958141,1
303,1281,-5.984928131,3.086335659,1
303,1313,-6.325046539,3.185298204,1
303,1345,-5.978327751,1.997127056,1
303,1377,-5.673112392,2.952743292,1
303,1409,-5.999451637,3.365180254,1
303,1441,-7.070867538,3.063370228,1
303,1473,-7.145883083,3.012979031,1
303,1505,-6.2768507,3.172899246,1
303,1537,-6.23322773,3.607897758,1
303,1569,-5.739591599,4.01984787,1
303,1601,-5.501844883,3.116202354,1
303,1633,-5.679305077,2.58923173,1
303,1665,-5.673705578,2.039141178,1
303,1697,-3.620084763,1.686139584,1
303,1729,-3.563584089,1.424154758,1
303,1761,-4.808423042,1.263498545,1
303,1793,-3.885300636,0.8499487638,1
303,1825,-4.281112671,-0.3054131269,1
303,1857,-5.355035782,0.6232908964,1
303,1889,-4.588719368,2.414290428,1
303,1921,-3.019793749,2.05852747,1
303,1953,-2.374449015,2.470586061,1
303,1985,-1.159797072,1.544435263,1
303,2017,-0.2393035889,-1.965397596,1
335,33,-3.233175516,2.464802027,1
335,65,0.3545595109,-0.7497027516,1
335,97,0.6054961681,-1.302902937,1
335,129,1.207927227,-2.229071617,1
335,161,0.7361853719,-2.554481506,1
335,193,-0.1013297141,-2.967827082,1
335,225,-0.2224951535,-3.117808104,1
335,257,-0.6300292015,-1.676907778,1
335,289,-4.485713005,-1.528870344,1
335,321,-4.743255615,-2.450781822,1
335,353,-2.211052418,-1.098779678,1
335,385,-0.5986392498,-0.6846550703,1
335,417,-0.2325614691,-0.5717238188,1
335,449,-0.5645655394,-1.346738458,1
335,481,-1.019574046,-1.798054457,1
335,513,-1.858444333,-3.747737885,1
335,545,-2.740524769,-5.573221207,1
335,577,-2.983119488,-3.557243586,1
