PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[10]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
1503,961,-2.674313545,3.689712524,1
1503,1025,-2.574636936,2.598299265,1
1503,1089,-2.921129942,0.819824934,1
1503,1153,-2.23491478,0.02800111473,1
1503,1217,-1.393932462,-0.845936656,1
1503,1281,-0.6462256908,-0.6904618144,1
1503,1345,-0.1648816764,0.3021738231,1
1503,1409,0.4044534564,0.2136704326,1
1503,1473,1.097841263,0.2315371782,1
1503,1537,1.321014166,0.4239737988,1
1503,1601,1.224652767,-0.6464472413,1
1503,1665,1.259470105,-1.162081599,1
1503,1729,1.678830147,-1.361364603,1
1503,1793,2.744225979,-2.364038944,1
1503,1857,3.120204449,-2.816416264,1
1503,1921,3.140311241,-2.912820578,1
1503,1985,2.916953802,-2.489245176,1
1567,65,-5.102917671,12.76559258,1
1567,129,-7.125770569,13.02635956,1
1567,193,-10.42901897,13.73075294,1
1567,257,-10.86778641,13.93552399,1
1567,321,-12.11974621,14.41480637,1
1567,385,-13.14118576,14.12477398,1
1567,449,-13.55722046,12.71056461,1
1567,513,-14.06001377,11.75972939,1
1567,577,-11.36480522,8.382899284,1
1567,641,-15.7069521,8.127361298,1
1567,705,-11.76176929,4.200923443,1
1567,769,-10.13770103,3.0330019,1
1567,833,-7.038588524,2.590959549,1
1567,897,-5.519473553,1.830535889,1
1567,961,-5.107217789,2.041648388,1
1567,1025,-3.245333672,1.297070026,1
1567,1089,-1.129183769,0.328628242,1
1567,1153,-1.314128995,-0.1875535548,1
1567,1217,-1.453952074,-0.9741527438,1
1567,1281,-0.5150611401,-1.099847078,1
1567,1345,0.6647868156,-0.7358717322,1
1567,1409,0.4694139957,-0.1882921457,1
1567,1473,0.8472900391,-0.07516789436,1
1567,1537,1.404463649,-0.7660945654,1
1567,1601,1.163826227,-0.9450791478,1
1567,1665,0.9966546297,-0.9738950729,1
1567,1729,1.467443109,-1.366459966,1
1567,1793,2.121452808,-2.194039822,1
1567,1857,2.642285109,-2.449997902,1
1567,1921,3.133630753,-2.591160536,1
1567,1985,2.65161109,-3.036787033,1
1631,65,-6.592383385,10.43646908,1
1631,129,-8.957173347,9.128873825,1
1631,193,-10.26521397,12.96945858,1
1631,257,-11.31181145,12.87217426,1
1631,321,-12.07799244,12.5636816,1
1631,385,-12.77442265,13.41914749,1
1631,449,-15.49517632,10.77149487,1
1631,513,-13.81732273,9.007740021,1
1631,577,-11.64848709,7.588954449,1
1631,641,-7.934975624,-5.758846283,1
1631,705,-13.84624481,3.211535454,1
1631,769,-11.79826927,2.527373075,1
1631,833,-7.68927002,2.612132549,1
1631,897,-6.161721706,1.802586317,1
1631,961,-5.322115421,1.593239188,1
1631,1025,-3.464508533,0.9101166725,1
1631,1089,-1.260319948,0.05655020475,1
1631,1153,-0.614923358,-0.1541804969,1
1631,1217,-1.17434597,-0.07213488221,1
1631,1281,-0.2476842999,-0.7784169912,1
1631,1345,0.4282348752,-0.5963526964,1
1631,1409,0.1532557011,0.1506758928,1
1631,1473,0.7194435596,-0.7138136625,1
1631,1537,0.7980108261,-0.4959478974,1
1631,1601,0.9006121159,-0.2634013891,1
1631,1665,1.635065079,-0.7397437096,1
1631,1729,1.497249246,-1.944010615,1
1631,1793,1.718264937,-2.387376547,1
1631,1857,2.18951726,-2.169682741,1
1631,1921,2.441693068,-2.53537035,1
1631,1985,2.233819962,-2.220297575,1
1695,65,-10.94338417,-1.063082695,1
1695,129,-10.95376396,1.217896461,1
1695,193,-9.707391739,11.41610718,1
1695,257,-10.39202595,10.87439823,1
1695,321,-11.41187,11.18485165,1
1695,385,-12.13953209,10.58740616,1
1695,449,-12.82616997,9.867068291,1
1695,513,-13.80187798,8.6563797,1
1695,577,NaN,NaN,2
1695,641,-5.467264175,-2.488070011,1
1695,705,-14.70576382,2.792662621,1
1695,769,-12.59991169,2.068981886,1
1695,833,-8.675731659,2.610247135,1
1695,897,-7.121099949,1.818878889,1
1695,961,-4.92370224,1.442933559,1
1695,1025,-3.139662027,0.3096087575,1
1695,1089,-2.244411945,0.01569271088,1
1695,1153,-1.579847336,-0.09904082119,1
1695,1217,-0.624085784,-0.3867719769,1
1695,1281,-0.09036171436,-0.5948499441,1
1695,1345,-0.08536607027,-0.2429196835,1
1695,1409,0.0854793191,-0.5376811624,1
1695,1473,2.218250751,-0.9187973738,1
1695,1537,1.428913951,-0.5818679333,1
1695,1601,1.00713408,-0.5551428795,1
1695,1665,1.403721094,-1.068811893,1
1695,1729,1.67055881,-1.611202717,1
1695,1793,1.911554694,-2.461834192,1
1695,1857,1.637849569,-2.791059494,1
1695,1921,1.752178073,-2.419508934,1
1695,1985,1.776095629,-1.148326993,1
1759,65,-11.77982903,0.5692043304,1
1759,129,NaN,NaN,2
1759,193,-8.906748772,11.35124588,1
1759,257,-9.628199577,11.14084816,1
1759,321,-10.62585163,10.5268898,1
1759,385,-11.7199707,9.400560379,1
1759,449,-12.16527367,8.656433105,1
1759,513,-11.99420357,7.419169426,1
1759,577,-11.79531765,5.824817657,1
1759,641,-11.82367325,4.129424095,1
1759,705,-13.95785427,3.362999439,1
1759,769,-12.13660145,2.606372595,1
1759,833,-8.026018143,2.389826059,1
1759,897,-6.911926746,1.938974738,1
1759,961,-5.297100067,1.291494846,1
1759,1025,-3.101153851,0.2375721335,1
1759,1089,-2.44909668,0.1062290668,1
1759,1153,-1.658743978,0.1781345606,1
1759,1217,-0.806022644,-0.3143184483,1
1759,1281,1.321776867,-0.735470891,1
1759,1345,0.5352605581,-1.60202384,1
1759,1409,1.316249371,-1.187329054,1
1759,1473,2.53847456,-0.9841149449,1
1759,1537,1.933150768,-0.977999866,1
1759,1601,1.435379148,-0.9246024489,1
1759,1665,1.633029103,-1.996501923,1
1759,1729,1.336597562,-2.667401552,1
1759,1793,1.331316829,-3.754581213,1
1759,1857,0.3337768316,-2.963278294,1
1759,1921,1.705937743,-2.691723347,1
1759,1985,2.26394558,-1.030637026,1
1823,65,-11.59124279,4.797369003,1
1823,129,-9.74533844,8.891255379,1
1823,193,-8.515710831,11.24104404,1
1823,257,-9.77977562,11.10022068,1
1823,321,-11.31099129,9.588624954,1
1823,385,-11.84115028,8.811794281,1
1823,449,-11.99701977,7.098287582,1
1823,513,-12.81786156,5.317248344,1
1823,577,-11.27360344,4.975522995,1
1823,641,-10.21606541,3.9060812,1
1823,705,-10.56405067,4.060988903,1
1823,769,-9.978531837,2.565129042,1
1823,833,-6.230317593,1.882668018,1
1823,897,-5.843016148,0.9169080257,1
1823,961,-4.956175327,0.4056200981,1
1823,1025,-3.12143302,0.09651988745,1
1823,1089,-2.438369036,0.137778461,1
1823,1153,-1.669462919,-0.1164306402,1
1823,1217,-0.7583155632,-0.6313171387,1
1823,1281,0.03851652145,-0.8047720194,1
1823,1345,2.109606028,-3.022468567,1
1823,1409,2.849448204,-1.77437377,1
1823,1473,3.253004551,-1.077799201,1
1823,1537,1.846097827,-1.345756888,1
1823,1601,1.401921272,-1.136095524,1
1823,1665,0.8489892483,-1.597773671,1
1823,1729,0.7509498596,-3.268602371,1
1823,1793,1.684791446,-3.138641357,1
1823,1857,1.616106987,-2.979643106,1
1823,1921,1.847464561,-2.020306587,1
1823,1985,2.330258846,-0.5895549655,1
1887,65,NaN,NaN,2
1887,129,-9.011443138,10.20467186,1
1887,193,-9.67471981,10.48787117,1
1887,257,-10.15809345,10.19630241,1
1887,321,-10.88452435,9.154313087,1
1887,385,-12.41865158,8.309524536,1
1887,449,-13.23538589,5.454478741,1
1887,513,-12.00740814,5.28892231,1
1887,577,-11.03520393,4.097607613,1
1887,641,-10.16781902,2.927367687,1
1887,705,-9.950256348,2.878276825,1
1887,769,-9.516055107,1.53933382,1
1887,833,-6.974194527,1.413119793,1
1887,897,-6.303874016,0.4902105331,1
1887,961,-5.135547638,-0.08867955208,1
1887,1025,-3.563279867,-0.3074934483,1
1887,1089,-2.778031111,-0.1900177598,1
1887,1153,-1.812132239,-0.5296789408,1
1887,1217,-1.09266305,-0.8797146082,1
1887,1281,-0.16078192,-1.301197171,1
1887,1345,1.482994437,0.007981300354,1
1887,1409,2.922890186,-0.8711123466,1
1887,1473,3.224762678,-0.5212032795,1
1887,1537,2.190535545,-1.263757944,1
1887,1601,0.7715197802,-1.143444657,1
1887,1665,0.4078400135,-1.679604888,1
1887,1729,1.350436449,-1.572005749,1
1887,1793,1.792346954,-1.468743324,1
1887,1857,1.383523226,-1.476490974,1
1887,1921,2.127752781,-1.328724146,1
1887,1985,2.276183605,-2.542509794,1
1951,65,-5.199872017,8.871622086,1
1951,129,-10.11783218,12.76244164,1
1951,193,-12.05495453,10.68081665,1
1951,257,-11.34087944,11.01070976,1
1951,321,-9.359290123,6.99965477,1
1951,385,-11.00366974,8.149400711,1
1951,449,-13.11475086,6.847485542,1
1951,513,-12.91171932,6.467590332,1
1951,577,-10.13613129,3.955214977,1
1951,641,-9.098186493,1.679136992,1
1951,705,-9.777600288,1.470960617,1
1951,769,-8.756863594,1.900874615,1
1951,833,-6.471862793,0.08333730698,1
1951,897,-4.921064377,0.2761366367,1
1951,961,-4.276059151,-0.3984003067,1
1951,1025,-3.718857765,-1.781350851,1
1951,1089,-2.348117352,-1.65760541,1
1951,1153,-1.33586812,-0.7508411407,1
1951,1217,-1.257662773,-1.352823377,1
1951,1281,-0.7220304012,-1.68421936,1
1951,1345,-0.3361101747,-2.591320038,1
1951,1409,0.2300106287,-0.3333880901,1
1951,1473,2.235478878,0.08780741692,1
1951,1537,2.721421719,0.5063340664,1
1951,1601,-0.05738192797,-1.772389889,1
1951,1665,0.7108941078,-1.720703125,1
1951,1729,1.959138632,-0.1804379225,1
1951,1793,2.481211185,1.059327602,1
1951,1857,2.421526909,1.192448378,1
1951,1921,2.470956087,-0.9873261452,1
1951,1985,1.922986269,-5.381756783,1
