PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[14]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
927,1345,2.324988127,-1.606940746,1
927,1409,2.923158646,-0.7760475278,1
927,1473,4.218847752,0.645146668,1
927,1537,2.679603815,-0.4286983311,1
927,1601,1.527060747,0.1060900986,1
927,1665,1.021126866,0.7982318997,1
927,1729,1.079906821,0.1498039961,1
927,1793,1.70634222,-0.1631165147,1
927,1857,1.71916616,0.09570193291,1
927,1921,1.424424291,1.624588728,1
927,1985,3.26194334,-0.7073586583,1
991,65,-2.840678692,-0.2826620638,1
991,129,0.3306150436,0.8363375664,1
991,193,0.4518723488,1.762655258,1
991,257,0.8026841879,1.872665644,1
991,321,0.7436954975,1.962040424,1
991,385,0.0765914917,2.489048004,1
991,449,-1.502178192,4.537213326,1
991,513,-2.557147026,8.075450897,1
991,577,-5.80494976,2.543950319,1
991,641,-2.352543831,1.909434557,1
991,705,0.8188626766,2.259888172,1
991,769,3.743417978,2.158974648,1
991,833,11.51625252,-1.092410564,1
991,897,NaN,NaN,2
991,961,NaN,NaN,2
991,1025,5.386091232,0.4941859245,1
991,1089,5.418576717,0.002769172192,1
991,1153,4.189809799,-2.547824621,1
991,1217,3.17523694,-3.407074451,1
991,1281,3.119680882,-2.18687439,1
991,1345,3.013083696,-1.732585549,1
991,1409,2.991477728,-0.6162179708,1
991,1473,2.727850914,-0.47977525,1
991,1537,2.102765322,0.1094667912,1
991,1601,1.256467342,0.1113941222,1
991,1665,0.8459787369,0.05518811941,1
991,1729,0.952504158,0.2163059115,1
991,1793,0.944547534,1.977601886,1
991,1857,1.140362501,1.044781089,1
991,1921,0.6476767063,1.321066022,1
991,1985,0.7912285328,-0.4738306999,1
1055,65,-3.714227676,-0.3106176853,1
1055,129,-0.5483605862,0.2007784247,1
1055,193,0.2228043079,1.910747766,1
1055,257,0.6972175837,2.018615007,1
1055,321,1.14324677,2.413256645,1
1055,385,1.273305893,3.129683018,1
1055,449,0.2779607773,2.786611319,1
1055,513,-2.953415632,7.450015068,1
1055,577,-8.075277328,2.536587954,1
1055,641,-10.99837208,-3.646671534,1
1055,705,-2.562340736,3.412780523,1
1055,769,-1.611865878,3.130917549,1
1055,833,3.065616608,1.394851685,1
1055,897,3.515838146,-4.392156601,1
1055,961,3.619014025,0.5703723431,1
1055,1025,1.397434711,0.1944622993,1
1055,1089,2.660002947,0.3112407029,1
1055,1153,3.815031528,0.2160810977,1
1055,1217,3.526787996,-0.9616758823,1
1055,1281,3.474148273,-1.37777853,1
1055,1345,3.663475513,-1.126895666,1
1055,1409,2.950892448,-0.4964592755,1
1055,1473,2.101698637,-0.3017003536,1
1055,1537,1.715291619,0.1241824925,1
1055,1601,0.8430657387,-0.1394948661,1
1055,1665,-0.3455649614,-0.06977403164,1
1055,1729,0.1968675852,0.581835866,1
1055,1793,0.5928918719,1.667973757,1
1055,1857,0.144257009,0.8042562008,1
1055,1921,-0.3684667349,0.4196768403,1
1055,1985,-1.475996017,-0.1963962317,1
1119,65,-1.160724163,-6.581179142,1
1119,129,-0.8771033287,-2.25814414,1
1119,193,-0.5532630086,0.4720977545,1
