PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,1153,52.74213028,26.98397064,1
239,1185,NaN,NaN,2
239,1217,57.57009125,26.26809883,1
239,1249,59.1133728,22.83216095,1
239,1281,NaN,NaN,2
239,1313,NaN,NaN,2
239,1345,NaN,NaN,2
239,1377,NaN,NaN,2
239,1409,NaN,NaN,2
239,1441,NaN,NaN,2
239,1473,NaN,NaN,2
239,1505,NaN,NaN,2
239,1537,NaN,NaN,2
239,1569,NaN,NaN,2
239,1601,NaN,NaN,2
239,1633,NaN,NaN,2
239,1665,NaN,NaN,2
239,1697,NaN,NaN,2
239,1729,NaN,NaN,2
239,1761,NaN,NaN,2
239,1793,13.19477463,1.815864086,1
239,1825,8.885489464,4.518361568,1
239,1857,NaN,NaN,2
239,1889,NaN,NaN,2
239,1921,NaN,NaN,2
239,1953,NaN,NaN,2
239,1985,0.2850155532,0.2246406078,1
239,2017,-1.493358612,-0.592607975,1
271,33,NaN,NaN,2
271,65,2.433392286,13.02851677,1
271,97,NaN,NaN,2
271,129,0.3652291298,34.66691208,1
271,161,0.6976126432,36.69295502,1
271,193,NaN,NaN,2
271,225,NaN,NaN,2
271,257,NaN,NaN,2
271,289,3.129210472,39.846035,1
271,321,3.128335476,37.31733322,1
271,353,2.117703915,37.46108246,1
271,385,3.892489433,38.15156555,1
271,417,5.937615395,36.81245804,1
271,449,7.459388256,37.75167847,1
271,481,NaN,NaN,2
271,513,NaN,NaN,2
271,545,11.92269993,38.92329407,1
271,577,16.19346619,44.3910408,1
271,609,NaN,NaN,2
271,641,NaN,NaN,2
271,673,20.30825996,39.32309723,1
271,705,21.70000076,40.55727768,1
271,737,NaN,NaN,2
271,769,27.04828262,38.95249557,1
271,801,29.68622971,37.02434921,1
271,833,34.87915039,36.68431854,1
271,865,34.03459167,39.11006546,1
271,897,NaN,NaN,2
