PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[14]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
207,1569,3.962701559,-4.976987839e-06,1
207,1601,3.463439465,0.1835846007,1
207,1633,10.17956924,-14.83509159,1
207,1665,4.022111893,-0.5154569745,1
207,1697,3.381390572,-0.9663468003,1
207,1729,2.318102837,-0.9833272099,1
207,1761,2.158405304,-1.429534435,1
207,1793,1.91977644,-1.137877703,1
207,1825,2.466029167,-0.4522455335,1
207,1857,4.483120441,0.1845631897,1
207,1889,3.858325958,0.2582755685,1
207,1921,2.990554571,1.121760488,1
207,1953,2.973211765,1.602142215,1
207,1985,2.622741222,1.379519343,1
207,2017,0.9253327847,0.1117083281,1
239,33,0.1497912705,0.5060689449,1
239,65,14.36693478,9.321624756,1
239,97,16.47768974,9.329707146,1
239,129,1.321127415,-0.6807860732,1
239,161,1.408125281,1.379088283,1
239,193,1.126992226,2.806178331,1
239,225,0.4370398521,1.094645619,1
239,257,-0.02007234097,0.1942074597,1
239,289,0.06246846914,-0.3387266099,1
239,321,0.8692645431,0.2012403011,1
239,353,2.142149448,0.9862090349,1
239,385,1.479957104,1.330528975,1
239,417,0.1351872385,1.05026257,1
239,449,0.269828558,-0.1049349308,1
239,481,0.3555781841,0.6677665114,1
239,513,0.474095583,1.113749862,1
239,545,-0.6327984333,1.064415693,1
239,577,-0.6042004824,0.6916433573,1
239,609,0.8229903579,0.7607009411,1
239,641,0.7619290352,0.7340573072,1
239,673,0.249771893,0.3833469748,1
239,705,0.5245094895,1.035098314,1
239,737,0.798432827,0.6641793847,1
239,769,1.93639338,0.5186218023,1
239,801,3.003605843,4.481505394,1
239,833,2.981331825,3.750335693,1
239,865,3.144486666,5.097959042,1
239,897,3.150712729,3.731575489,1
239,929,2.561739206,2.035274029,1
239,961,2.271722555,0.6712040901,1
239,993,5.342313766,-0.581032753,1
239,1025,4.709694386,-0.001961916685,1
239,1057,5.042443752,-0.1977282166,1
239,1089,1.562689304,1.209446788,1
239,1121,-0.406167984,0.01355394721,1
239,1153,4.538010597,-2.776367903,1
239,1185,-5.361999512,-15.7386322,1
239,1217,5.147247314,1.147997618,1
239,1249,5.819471359,0.840079546,1
239,1281,7.600862503,1.204906464,1
239,1313,8.032522202,0.9739778638,1
239,1345,6.9763484,0.5332813859,1
239,1377,14.68871307,-0.1199860871,1
239,1409,3.572259426,-1.650309801,1
239,1441,3.078018188,-0.5345542431,1
239,1473,4.065578938,-0.2259605527,1
239,1505,4.586042881,-0.6480481029,1
239,1537,4.001791,-0.474942565,1
239,1569,2.885939598,0.07660266012,1
239,1601,4.101846695,0.1059501171,1
239,1633,4.786376476,-0.04810227454,1
239,1665,-14.719841,5.397721291,1
239,1697,-16.16069221,-0.4622559547,1
239,1729,2.52963233,-0.6118069887,1
239,1761,2.044790506,-0.8301665187,1
239,1793,2.581304073,-0.6531338096,1
239,1825,3.62046814,0.1215438247,1
239,1857,2.839827776,-0.8236897588,1
239,1889,2.14752984,0.1542091668,1
239,1921,2.952624798,1.491190076,1
239,1953,3.02144599,1.889410853,1
239,1985,2.116790056,1.234901547,1
239,2017,0.02043181658,0.05871923268,1
271,33,-6.259921074,0.3414592743,1
271,65,9.133088112,12.05683899,1
271,97,9.540820122,13.27824593,1
271,129,-0.4335902929,-0.881016314,1
271,161,0.5069279671,0.9908006787,1
271,193,0.452118814,1.244069099,1
271,225,0.6856033802,0.05584228039,1
271,257,0.2673159242,-0.2361178398,1
271,289,1.234287739,-0.4047537148,1
271,321,2.652403116,0.550057888,1
271,353,1.108363986,0.9603244662,1
271,385,0.6333497763,1.453939199,1
271,417,-0.2810029984,1.090257645,1
271,449,0.2392809689,0.140476048,1
271,481,0.7011049986,0.4479130507,1
271,513,0.8370244503,0.5770757198,1
271,545,0.7912697196,0.5159440637,1
271,577,0.7570150495,0.288079679,1
271,609,0.4544714093,0.07671380043,1
271,641,0.2327634096,0.1946861148,1
271,673,-0.1022998989,0.1867082715,1
271,705,0.1476021409,0.5647928119,1
271,737,0.5310762525,0.6944853663,1
271,769,1.241278172,0.4459978938,1
271,801,1.723701954,1.506362677,1
271,833,2.117833614,2.756707668,1
271,865,2.750124693,2.926330805,1
271,897,2.850025177,2.454148531,1
271,929,3.622752666,2.735425472,1
271,961,3.253310442,1.247098684,1
271,993,4.506352425,0.5561363101,1
271,1025,5.981851578,-0.5378352404,1
271,1057,6.406270504,-0.9936853051,1
271,1089,6.02055645,-1.108695388,1
271,1121,-12.0068264,8.178702354,1
271,1153,7.347691536,0.6995868683,1
271,1185,7.056879997,1.853743076,1
271,1217,3.958911419,0.9560591578,1
271,1249,4.659529209,0.9796983004,1
271,1281,6.717528343,0.9782109261,1
271,1313,7.083409309,0.4429808855,1
271,1345,7.063329697,0.3207752109,1
271,1377,6.769763947,0.141304791,1
271,1409,5.608700275,-1.232241988,1
271,1441,3.955800533,-0.5565377474,1
271,1473,4.426451206,-0.3964473605,1
271,1505,6.546110153,-0.4882950187,1
271,1537,4.11553812,-0.02313441038,1
271,1569,2.453261852,0.2786123753,1
271,1601,2.905022144,0.4822086692,1
271,1633,3.803052425,0.5617800355,1
271,1665,4.128785133,0.08067515492,1
271,1697,3.999792099,0.02704143524,1
271,1729,3.731568813,-0.1396744251,1
271,1761,3.008900166,-0.4943321943,1
271,1793,2.534459352,-0.5196440816,1
271,1825,2.776325941,-0.3717852235,1
271,1857,3.094077587,-17.34192276,1
271,1889,2.407905817,0.3715526462,1
271,1921,3.019122839,1.086289644,1
271,1953,2.961212158,1.207238317,1
271,1985,1.515097857,1.378847718,1
271,2017,-0.8032004833,0.02491731942,1
303,33,-8.179044724,0.1686087102,1
303,65,-1.16618228,-0.09364828467,1
303,97,-1.682860017,0.3818255365,1
303,129,-1.984115958,0.3844735622,1
303,161,-1.431977272,0.6670608521,1
303,193,-0.5626809001,0.4701225758,1
303,225,0.06967654824,-0.3323552012,1
303,257,0.6731532812,-0.445464015,1
303,289,1.269563913,-1.22778523,1
303,321,2.12273097,-0.7878527045,1
303,353,0.8386596441,0.8612023592,1
303,385,0.334262073,2.265056133,1
303,417,-0.4429292679,1.908269882,1
303,449,0.1044014394,0.8608305454,1
303,481,1.265759468,-0.118490994,1
303,513,0.7947748899,0.3193496466,1
303,545,0.6645770073,0.453069061,1
303,577,0.6789503098,0.3460605145,1
303,609,0.5202900171,0.7255285978,1
303,641,0.5602161884,0.8216040134,1
303,673,0.1417555362,0.3729400933,1
303,705,0.07633194327,-0.1620661914,1
303,737,-0.47382164,-0.519814074,1
303,769,-0.3090885878,-0.06344658136,1
303,801,-0.1482658386,1.368416905,1
303,833,-1.54164052,5.157906532,1
303,865,0.2531678677,1.235074043,1
303,897,2.138835907,1.530863523,1
303,929,3.027443171,1.981616497,1
303,961,4.334569931,1.198107719,1
303,993,5.596475124,0.5865448117,1
303,1025,5.706240177,-0.1959460378,1
303,1057,6.314665794,-1.589548111,1
303,1089,6.726877689,-2.509735107,1
303,1121,7.13576889,-1.832704663,1
303,1153,8.560680389,-0.01869207621,1
303,1185,6.933098316,1.622306824,1
303,1217,5.137268543,0.9193046689,1
303,1249,6.047710419,0.8634302616,1
303,1281,7.156997204,1.033401728,1
303,1313,7.416786671,0.2275276482,1
303,1345,7.420918941,1.71434474,1
303,1377,7.68407774,1.765589952,1
303,1409,6.815791607,-0.05291062593,1
303,1441,6.635515213,-0.3664466143,1
303,1473,5.622188568,-0.2132596523,1
303,1505,5.720805645,-0.01948904991,1
303,1537,4.878049374,0.5990267992,1
303,1569,4.728391647,0.7993443608,1
303,1601,3.114758015,1.063057661,1
303,1633,2.40120697,0.04725837708,1
303,1665,4.441628456,-1.0426507,1
303,1697,5.115454197,-0.1802826822,1
303,1729,4.595117092,-0.7271111012,1
303,1761,3.727301836,-0.9643232822,1
303,1793,2.026979446,-0.959975481,1
303,1825,1.523929119,-0.9967631102,1
303,1857,4.878997803,-14.4430418,1
303,1889,3.445923328,0.3505288661,1
303,1921,2.946577549,1.067453146,1
303,1953,2.645282745,1.066802979,1
303,1985,1.691516638,3.988815784,1
303,2017,-0.7149810791,0.05654986203,1
335,33,-6.180242538,0.02742341161,1
335,65,-1.378697634,0.8038192987,1
335,97,-2.738830566,0.4654360414,1
335,129,-3.581158161,0.7923521399,1
335,161,-2.341912985,0.659437418,1
335,193,-1.077796221,0.3909788132,1
335,225,-0.3437342644,-0.1121309102,1
335,257,0.5415064096,-0.3687802553,1
335,289,0.9410740137,-1.149680376,1
335,321,0.8671753407,-2.51417613,1
335,353,-0.4686541557,2.094983578,1
335,385,-0.4588827491,2.951099873,1
335,417,0.5372938514,2.556617975,1
335,449,0.5490825772,1.032440543,1
335,481,0.3346419334,-0.4794695973,1
335,513,0.09818518162,0.1635878682,1
335,545,0.3717677593,0.4937700033,1
335,577,0.4990746975,0.5076084733,1
335,609,0.197024852,1.561243415,1
335,641,0.4900177717,1.341300607,1
335,673,0.2911754549,0.3610486984,1
335,705,-0.03570130467,-0.151476562,1
335,737,0.03177165985,-0.06076993048,1
335,769,0.3810446262,0.2223427594,1
335,801,0.1714506149,1.452104807,1
335,833,0.07742238045,2.757918358,1
335,865,0.07050681114,0.3384869099,1
335,897,0.6127597094,0.07607555389,1
335,929,3.077863693,0.8338313103,1
335,961,5.076504707,0.5318058729,1
335,993,5.53377676,0.1438648999,1
335,1025,4.088506699,-0.5593770742,1
335,1057,5.813643456,-1.876024961,1
335,1089,6.93539238,-2.836504936,1
335,1121,7.146478653,-2.665369511,1
335,1153,9.020533562,-0.6669766903,1
335,1185,6.89030838,0.7098139524,1
335,1217,5.572453022,0.5841880441,1
335,1249,5.917251587,0.6587236524,1
335,1281,6.371060371,0.5980427861,1
335,1313,6.956451893,0.1337985396,1
335,1345,8.896763802,1.000632644,1
335,1377,6.691267014,1.420064926,1
335,1409,6.119925499,0.1834058166,1
335,1441,6.318595409,0.07588604093,1
335,1473,5.796972275,-0.4023424387,1
335,1505,5.50828886,-0.2618873119,1
335,1537,5.684620857,-0.2622332871,1
335,1569,7.797696114,0.2902197838,1
335,1601,6.511162758,-0.6150394082,1
335,1633,6.273921967,-1.416361928,1
335,1665,6.717338562,-1.045540929,1
