x - $F_{YSL} = $0.1425μN,y - $F_{YSL} = $0.1425μN,x - _child1,y - _child1,x - _child2,y - _child2,x - $F_{YSL} = $0.285μN,y - $F_{YSL} = $0.285μN,x - _child4,y - _child4,x - _child5,y - _child5,x - $F_{YSL} = $0.57μN,y - $F_{YSL} = $0.57μN,x - _child7,y - _child7,x - _child8,y - _child8,x - $F_{YSL} = $1.14μN,y - $F_{YSL} = $1.14μN,x - _child10,y - _child10,x - _child11,y - _child11
-119.18437049927311,0.8096508652744276,-63.426853707414836,2.1031443620981296,-63.426853707414836,0.8949150144723352,-69.2636283462764,1.6193017305488482,-63.426853707414836,4.206288724196259,-63.426853707414836,0.8085237292987558,76.28477377077772,2.3892003751729334,-63.426853707414836,8.412577448392518,-63.426853707414836,0.8453088058799086,334.74971032597983,2.5030942992870564,-63.426853707414836,16.825154896785037,-63.426853707414836,0.9339786869416944
-117.60554497415666,0.8349858200448637,-60.72144288577155,2.1031443620981296,-60.72144288577155,0.9228811086745957,-64.28877282164231,1.6699716400897273,-60.72144288577155,4.206288724196259,-60.72144288577155,0.8337900958393419,88.66396903871993,2.3618800291514503,-60.72144288577155,8.412577448392518,-60.72144288577155,0.8717247060636558,355.5443637732954,2.4856052051112556,-60.72144288577155,16.825154896785037,-60.72144288577155,0.9631655209086224
-115.9708892103354,0.8603207748153068,-58.01603206412827,2.1031443620981296,-58.01603206412827,0.9508472028768561,-59.09059634218909,1.7206415496306064,-58.01603206412827,4.206288724196259,-58.01603206412827,0.859056462379928,101.06640700675345,2.3364172759862214,-58.01603206412827,8.412577448392518,-58.01603206412827,0.8981406062474029,376.4202842888195,2.468990544039727,-58.01603206412827,16.825154896785037,-58.01603206412827,0.9923523548755503
-114.27873950686251,0.8856557295857428,-55.31062124248497,2.1031443620981296,-55.31062124248497,0.9788132970791167,-53.662444104129506,1.7713114591714785,-55.31062124248497,4.206288724196259,-55.31062124248497,0.8843228289205143,113.4946136933599,2.312605202910163,-55.31062124248497,8.412577448392518,-55.31062124248497,0.9245565064311502,397.3753083616982,2.4531783565739715,-55.31062124248497,16.825154896785037,-55.31062124248497,1.0215391888424783
-112.52743216279109,0.9109906843561788,-52.605210420841686,2.1031443620981296,-52.605210420841686,1.0067793912813772,-47.997661303675685,1.8219813687123576,-52.605210420841686,4.206288724196259,-52.605210420841686,0.9095891954611004,125.9505381446777,2.290268142984587,-52.605210420841686,8.412577448392518,-52.605210420841686,0.9509724066148972,418.4073445518892,2.4381047647317757,-52.605210420841686,16.825154896785037,-52.605210420841686,1.0507260228094062
-110.7153034771742,0.9363256391266219,-49.8997995991984,2.1031443620981296,-49.8997995991984,1.0347454854836375,-42.08959313704004,1.872651278253251,-49.8997995991984,4.206288724196259,-49.8997995991984,0.9348555620016864,138.43567136033374,2.2692558328788976,-49.8997995991984,8.412577448392518,-49.8997995991984,0.9773883067986444,439.51437489655643,2.4237128369309318,-49.8997995991984,16.825154896785037,-49.8997995991984,1.079912856776334
-108.84068974906508,0.9616605938970579,-47.19438877755512,2.1031443620981296,-47.19438877755512,1.0627115796858981,-35.931584800434976,1.92332118779413,-47.19438877755512,4.206288724196259,-47.19438877755512,0.9601219285422725,150.95113851386634,2.2494388534240386,-47.19438877755512,8.412577448392518,-47.19438877755512,1.0038042069823916,460.6944549985127,2.4099516423150646,-47.19438877755512,16.825154896785037,-47.19438877755512,1.1090996907432622
-106.90192727751655,0.986995548667494,-44.488977955911835,2.1031443620981296,-44.488977955911835,1.0906776738881585,-29.51698149007281,1.9739910973350092,-44.488977955911835,4.206288724196259,-44.488977955911835,0.9853882950828586,163.49777110612496,2.2307050333171077,-44.488977955911835,8.412577448392518,-44.488977955911835,1.0302201071661385,481.94571317701855,2.396775458205667,-44.488977955911835,16.825154896785037,-44.488977955911835,1.13828652471019
-104.89735236158191,1.01233050343793,-41.78356713426854,2.1031443620981296,-41.78356713426854,1.118643768090419,-22.839128402166125,2.0246610068758812,-41.78356713426854,4.206288724196259,-41.78356713426854,1.0106546616234449,176.07616387645442,2.212956584611746,-41.78356713426854,8.412577448392518,-41.78356713426854,1.056636007349886,503.26634896160147,2.3841431021702846,-41.78356713426854,16.825154896785037,-41.78356713426854,1.1674733586771182
-102.82530130031418,1.037665458208373,-39.078156312625254,2.1031443620981296,-39.078156312625254,1.1466098622926795,-15.891370732926845,2.0753309164167604,-39.078156312625254,4.206288724196259,-39.078156312625254,1.035921028164031,188.68672002162555,2.196107800338382,-39.078156312625254,8.412577448392518,-39.078156312625254,1.0830519075336331,524.6546311364979,2.3720173661562143,-39.078156312625254,16.825154896785037,-39.078156312625254,1.196660192644046
