PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[15]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,673,4.373810291,-3.455984831,1
303,705,4.85798645,-3.72104907,1
303,737,5.000571251,-4.182254791,1
303,769,4.252523899,-4.456794739,1
303,801,3.72476387,-4.622932911,1
303,833,3.920165062,-5.068641663,1
303,865,3.837345123,-6.060970783,1
303,897,4.084783554,-6.214409351,1
303,929,4.050060272,-7.160638332,1
303,961,4.667284489,-5.49132061,1
303,993,4.311199665,-4.059988976,1
303,1025,2.454579353,-4.48179245,1
303,1057,1.847854614,-5.881867409,1
303,1089,1.919179678,-4.854698658,1
303,1121,2.056997538,-4.567967892,1
303,1153,2.595006227,-4.39935112,1
303,1185,2.956689596,-4.079054832,1
303,1217,3.053217411,-3.871806622,1
303,1249,3.193698168,-3.034641266,1
303,1281,2.417037964,-5.007124424,1
303,1313,1.794555187,-5.415277004,1
303,1345,2.569814205,-4.833012104,1
303,1377,2.405785322,-4.143698215,1
303,1409,1.852702141,-5.151023865,1
303,1441,1.536272287,-4.235901833,1
303,1473,2.511713028,-3.006325483,1
303,1505,2.588199139,-1.90173316,1
303,1537,1.108246565,-2.115929127,1
303,1569,2.61774087,-3.897638321,1
303,1601,3.005052328,-3.925970793,1
303,1633,2.57088995,-3.230502367,1
303,1665,2.562576294,-1.962727547,1
303,1697,1.964923143,-2.65576148,1
303,1729,1.601832151,-3.728527308,1
303,1761,1.382183194,-5.15603447,1
303,1793,1.20280838,-4.742395401,1
303,1825,0.5003091097,-3.068334818,1
303,1857,-0.08492875099,-3.379860163,1
303,1889,0.697085619,-4.464099884,1
303,1921,1.932235122,-2.704563856,1
303,1953,1.501489401,-1.030676603,1
303,1985,4.404137135,-0.4699063301,1
303,2017,5.298848152,-0.7902667522,1
335,33,1.975636721,3.923775673,1
335,65,0.5802506208,-6.591909409,1
335,97,-0.2443310469,-4.986507893,1
335,129,-0.6020749211,-5.385865211,1
335,161,-0.4787445068,-3.304070711,1
335,193,0.3334425092,-2.382800102,1
335,225,2.13975811,-2.574290991,1
335,257,1.659864783,-2.794359684,1
335,289,0.4328641891,-1.16134119,1
335,321,0.1047154665,-0.9434616566,1
335,353,0.6463310719,-1.30643332,1
335,385,1.199402809,-0.4425637722,1
335,417,4.285372734,-1.852303743,1
335,449,6.857713699,-4.095175743,1
335,481,5.859108448,-3.889604092,1
335,513,3.948792934,-3.670514345,1
335,545,3.378031015,-4.02876091,1
335,577,3.565707684,-3.355101109,1
335,609,3.525560856,-2.580153227,1
335,641,4.353889942,-1.667446375,1
335,673,5.014762402,-3.169858456,1
335,705,5.009585857,-3.586250305,1
335,737,5.207575321,-4.390412807,1
335,769,5.175523281,-4.716355324,1
335,801,5.232910156,-4.767483234,1
335,833,5.047811031,-5.487717628,1
335,865,4.785729408,-6.585727215,1
335,897,5.117807388,-6.343435764,1
335,929,4.496446609,-8.611226082,1
335,961,6.051296234,-5.344869614,1
335,993,5.418926239,-3.850155354,1
335,1025,3.830542564,-4.024586678,1
335,1057,3.156507015,-4.934781551,1
335,1089,2.744436502,-4.480204582,1
335,1121,2.562390804,-4.290985584,1
