PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 47, filenames: A:[47]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[48]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,65,-2.661747932,0.3863920867,1
303,97,-2.80252862,0.308093518,1
303,129,-2.138344765,1.102130055,1
303,161,-1.718089104,1.074316263,1
303,193,-1.685360909,1.499143839,1
303,225,-1.553187013,1.071442485,1
303,257,-2.018000603,0.7526615262,1
303,289,-1.307279825,0.09015738964,1
303,321,-2.411942482,-1.117457151,1
303,353,-3.754348993,-0.8000525236,1
303,385,NaN,NaN,2
303,417,-0.9775204659,-0.1713604927,1
303,449,-1.678165674,0.4324579239,1
303,481,-2.249823093,1.511245131,1
303,513,-4.426787376,3.662991047,1
303,545,-3.227331877,1.554688454,1
303,577,-3.30969882,0.7953916192,1
303,609,-2.475226879,-0.2964355946,1
303,641,-0.9688439965,-1.471989393,1
303,673,-0.07590484619,-2.066725731,1
303,705,0.1202201843,-1.619663358,1
303,737,-0.2513151169,-0.7099907994,1
303,769,-1.678057075,1.475947022,1
303,801,-1.939599633,1.863131762,1
303,833,-1.240344405,1.077593684,1
303,865,-1.027448416,-0.1694483757,1
303,897,-0.9421303272,0.5281763077,1
303,929,-1.261156201,3.543101788,1
303,961,-1.652560711,3.302746773,1
303,993,-0.2187444568,2.465715408,1
303,1025,-0.1335547566,1.845147848,1
303,1057,-0.5700288415,2.143443346,1
303,1089,-0.9982806444,1.504804134,1
303,1121,-1.27821815,0.88362813,1
303,1153,-1.315375447,-0.04937803745,1
303,1185,-0.6693470478,0.1781939268,1
303,1217,-0.4209547043,0.8878685236,1
303,1249,0.02730330825,0.8979256153,1
303,1281,-0.1371017098,0.501214087,1
303,1313,-0.2553565502,0.74767524,1
303,1345,-0.1294917464,0.678324759,1
303,1377,-0.4229376912,0.6829722524,1
303,1409,-0.4548404813,0.7552167773,1
303,1441,-0.7978717089,0.2251249552,1
303,1473,-1.067671061,-1.516279936,1
303,1505,-0.03635664284,-0.132183969,1
303,1537,0.2401189655,0.18733868,1
303,1569,0.1287802458,0.2069222182,1
303,1601,-0.4348503053,-0.08004270494,1
303,1633,-0.6487814188,-0.05738503486,1
303,1665,-0.371211648,-0.1575888246,1
303,1697,-0.07836957276,-0.3862465918,1
303,1729,0.4905474186,-0.673340857,1
303,1761,0.99443084,-1.165741682,1
303,1793,1.187005997,-1.505267978,1
303,1825,0.4919543266,-2.149862766,1
303,1857,-0.1527873427,-1.909405947,1
303,1889,NaN,NaN,2
303,1921,-1.047278404,-3.90784359,1
303,1953,-0.6310673356,-3.32785821,1
303,1985,-0.3867542148,-1.697311401,1
303,2017,-1.760893345,0.3250050545,1
335,33,-2.245480537,0.2715539634,1
335,65,-3.626777887,0.5922356844,1
335,97,-4.231258392,-0.1229582131,1
335,129,-4.258870125,0.2213154137,1
335,161,-3.153694868,1.137296677,1
335,193,-1.508303404,0.9426608086,1
335,225,-1.113924503,0.1886100173,1
335,257,-2.289062023,0.5175814629,1
335,289,-3.280772686,0.008998811245,1
335,321,-2.726520061,-1.498985529,1
335,353,-2.931874037,-0.7773017287,1
335,385,-3.895704985,-2.458315372,1
335,417,-3.079948187,-2.510209084,1
335,449,-1.616982698,-0.1710084081,1
335,481,-1.497802019,0.7986633182,1
335,513,-3.905246735,2.453196526,1
335,545,-3.300340176,1.223765373,1
335,577,-2.727596283,0.3409555256,1
335,609,-2.499930859,-0.1646467447,1
335,641,-1.37176466,-0.3126828372,1
335,673,-0.4327902794,-1.091237426,1
335,705,0.5631042719,-1.892557979,1
