 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
62,765.501,20.793,97.433,166.398,114.863,37.654,25.885,41.748,39.670,67,142,23.429,28.527
63,432.802,27.078,539.749,166.702,91.013,29.238,18.847,144.914,31.546,433,136,157.380,22.254
64,606.512,29.154,257.913,172.999,101.724,28.498,27.098,178.453,33.117,199,149,8.427,27.906
65,771.389,26.414,116.723,179.558,116.873,40.933,23.995,74.820,42.379,92,164,76.759,27.390
66,928.905,32.124,460.222,178.223,125.452,36.770,32.165,44.760,41.056,362,153,18.970,33.115
67,730.170,33.888,291.957,178.831,113.563,34.586,26.880,33.957,39.502,227,156,47.490,28.267
68,718.393,33.090,141.656,179.980,106.111,30.931,29.571,105.478,35.436,105,159,51.953,29.119
69,562.348,25.754,494.007,180.796,99.003,32.157,22.266,111.634,34.318,395,142,135.000,24.023
70,462.245,33.405,186.989,181.169,87.754,29.666,19.839,135.477,31.546,151,137,112.620,19.733
71,1165.916,30.678,416.085,186.724,135.575,40.675,36.496,161.883,44.165,327,143,159.075,38.687
72,1146.779,37.943,378.802,187.137,134.398,44.432,32.862,153.584,48.487,294,145,148.299,34.593
73,627.122,27.994,516.613,187.969,105.816,35.466,22.514,107.270,40.058,417,142,125.134,22.993
74,587.374,28.315,538.160,187.842,108.832,29.499,25.352,115.644,36.901,432,141,133.668,26.051
75,490.215,34.290,343.608,185.729,87.997,27.776,22.471,55.424,29.346,272,158,29.745,23.053
76,996.623,31.812,221.965,192.232,126.163,37.740,33.624,11.862,43.000,165,160,16.390,35.692
77,365.085,25.129,76.213,190.851,90.597,28.824,16.127,53.761,32.669,56,171,58.671,16.664
78,463.717,34.006,481.466,196.581,91.013,28.617,20.632,109.533,33.383,394,146,109.093,21.537
79,831.746,20.010,566.008,196.027,122.265,41.451,25.548,114.944,45.138,458,146,126.254,26.765
80,1313.128,31.045,170.765,203.813,151.729,44.051,37.954,108.334,50.509,131,151,114.102,40.700
81,1029.009,34.317,253.955,201.035,136.997,41.668,31.443,41.151,47.116,202,184,55.491,34.915
82,970.125,26.507,92.601,205.501,126.752,39.134,31.563,70.548,42.379,74,187,76.759,32.545
83,853.828,31.719,457.082,207.925,130.133,42.341,25.675,132.802,49.270,362,154,127.999,30.163
84,1086.422,33.081,314.740,207.076,131.138,40.977,33.757,42.483,45.608,244,182,28.610,35.166
85,634.482,35.568,285.410,205.326,102.557,31.981,25.260,115.304,35.849,227,157,113.962,26.487
86,450.468,39.551,358.350,204.220,84.616,24.742,23.181,147.072,28.142,284,165,172.569,21.448
87,945.099,34.431,137.125,211.582,124.691,38.945,30.898,86.369,42.880,108,193,64.885,30.223
