 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
56,756.668,32.806,202.261,141.782,111.137,35.271,27.315,5.353,38.560,152,108,155.854,28.443
57,824.385,28.147,238.201,148.715,120.477,35.502,29.566,131.035,40.204,195,140,84.806,27.663
58,338.587,33.162,475.332,150.049,85.571,34.086,12.647,71.787,33.006,388,137,72.897,13.170
59,1080.533,33.557,283.937,156.548,134.032,41.354,33.268,64.254,45.040,225,145,62.745,34.242
60,491.687,26.000,120.721,153.894,89.297,26.911,23.263,65.394,29.843,93,137,63.435,24.311
61,591.791,37.573,426.722,153.118,100.303,29.581,25.472,99.934,31.917,351,114,98.746,27.130
62,952.459,33.402,402.920,161.997,126.874,41.338,29.336,124.126,43.981,325,116,114.444,30.386
63,463.717,23.680,541.542,154.716,85.449,25.257,23.376,104.011,28.558,445,116,102.265,24.417
64,696.311,27.888,492.153,161.361,107.705,32.814,27.018,104.835,38.560,400,118,114.146,27.906
65,671.285,24.401,515.672,164.033,109.004,36.717,23.278,82.201,39.128,423,119,97.125,24.842
66,771.389,31.712,341.028,162.727,115.157,36.037,27.254,135.953,38.845,272,120,128.660,29.524
67,1020.177,25.409,215.149,169.395,127.585,37.539,34.602,36.949,41.270,167,153,65.695,36.833
68,469.605,29.063,445.457,163.875,86.454,28.838,20.733,64.284,29.745,365,147,78.232,20.335
69,616.817,28.370,185.113,168.000,98.587,29.493,26.628,60.037,32.124,149,151,79.114,27.930
70,808.192,28.047,256.086,173.973,121.899,36.653,28.075,85.502,43.561,208,162,77.125,30.380
71,896.519,37.848,373.054,171.004,125.280,38.403,29.724,131.598,44.547,296,127,119.358,32.456
72,613.873,19.591,97.706,169.739,98.709,31.489,24.821,70.847,32.782,70,149,51.009,24.960
73,443.107,30.693,143.640,166.681,83.439,24.449,23.076,66.242,27.721,116,149,66.801,23.332
74,593.263,34.162,302.260,176.028,97.704,33.290,22.690,68.921,34.997,242,157,56.310,24.747
75,752.251,35.985,324.579,181.577,112.730,37.590,25.480,104.082,40.204,264,132,95.194,27.933
76,819.969,32.954,459.551,183.171,121.554,40.828,25.571,80.511,44.745,378,132,102.529,26.693
77,797.887,28.385,535.158,182.849,115.157,35.957,28.253,89.462,39.910,437,134,109.537,29.583
78,789.054,34.522,163.541,183.395,115.746,35.574,28.241,121.001,39.614,130,135,117.350,28.498
79,973.069,26.156,121.301,184.159,130.600,37.220,33.287,38.317,41.696,82,155,8.366,32.983
80,1189.470,30.322,484.538,194.790,150.551,49.620,30.522,94.598,54.747,389,138,102.804,30.687
81,534.378,33.143,238.572,190.260,95.744,32.519,20.923,111.366,35.207,195,141,91.975,20.600
82,864.132,32.701,429.233,188.922,113.147,35.467,31.021,110.084,37.632,348,141,110.772,31.171
83,672.757,31.388,277.445,192.262,108.588,30.652,27.945,156.912,35.374,224,146,112.166,27.673
84,744.891,37.885,357.058,192.729,108.050,33.853,28.016,149.384,36.581,280,156,174.289,27.097
85,482.854,17.625,558.488,194.832,90.008,29.709,20.694,126.049,33.139,455,148,113.749,22.306
86,858.244,25.722,84.419,198.805,117.289,34.145,32.003,65.824,37.120,69,149,101.310,32.014
