LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_32,32,32,13,0,0,0,0,0,12.0,0.0,12.0,262.371403389894,384.7347891977248,1494.6453095949582,0.0,35.782627698096505,145.50507983199168,5.671514073160285,27.44776564102367,37.19285684217041,28013.923076923078,429.391532377158,268.095136465622,0.6110306878605116,21.8642836158245,0.6110306878605116,1.8881359622073206
Track_33,33,33,13,0,0,0,0,0,12.0,0.0,12.0,278.6909863867232,391.2879777196333,1075.6754681090251,0.0,28.95622397887403,103.58531704106016,6.0273714241991385,22.093326699777993,27.462496574390396,81267.38461538461,347.4746877464883,287.4943343510058,0.8020468719438103,23.224248865560266,0.8020468719438103,0.9767533173324928
Track_34,34,34,13,0,0,0,0,0,12.0,0.0,12.0,166.77238156434197,1502.1973790121442,968.2229186871864,0.0,27.431898817719677,96.37572761305442,4.171009673391386,22.885143043687254,23.489875755043396,60766.53846153846,329.1827858126362,189.12790533348962,0.50662546388214,13.897698463695164,0.5066254638821401,1.8029285267551811
Track_35,35,35,13,0,0,0,0,0,12.0,0.0,12.0,146.30999855854006,1367.5960175335304,1608.5103941005086,0.0,27.61041177802975,95.71167782271019,5.920512240773439,19.180908265788233,26.59990219204318,46631.61538461538,331.324941336357,146.30999855854006,0.44159065710060125,12.192499879878339,0.4415906571006013,1.9702514394598625
Track_36,36,36,13,0,0,0,0,0,12.0,0.0,12.0,70.28630541605213,828.8162729827903,1759.5235377783088,0.0,25.91944652716466,63.96218047814282,2.137180756421218,19.69463947187464,22.342164673991494,91822.69230769231,311.03335832597594,95.49643400988376,0.2259767434410979,5.8571921180043445,0.22597674344109792,1.2527290430994595
Track_37,37,37,12,0,0,0,0,0,11.0,1.0,12.0,5.011181080525373,1185.3783111023133,1813.6815150545963,0.0,36.915951056098265,101.29718501752303,3.0337818785611397,27.267412539662455,29.290017065458787,57313.333333333336,406.07546161708086,79.91098995441233,0.012340516860018478,0.45556191641139754,0.012340516860018478,2.076264120150141
Track_38,38,38,13,0,0,0,0,0,12.0,0.0,12.0,357.3563061219402,1514.8419913161172,1277.4422160345127,0.0,31.940919146191156,108.3889009133399,5.385525798898059,31.590646783818876,27.641406661610333,53289.0,383.2910297542939,357.3563061219402,0.9323367320936808,29.77969217682835,0.932336732093681,0.7010204438376063
Track_39,39,39,13,0,0,0,0,0,12.0,0.0,12.0,226.45717027205905,1228.8654883122597,1293.2987050152065,0.0,25.365491527163393,101.51208981031276,12.113746654489889,18.16512037168356,24.535805043101583,70414.23076923077,304.38589832596074,238.8016950949932,0.7439804915980391,18.87143085600492,0.7439804915980393,1.1396181264263197
Track_40,40,40,10,0,0,0,0,0,9.0,3.0,12.0,96.33017078208678,1872.3607623673402,1297.745965954511,0.0,28.31025142119566,56.649869833441784,9.292040679598184,21.817385644513767,16.725758835346177,60543.8,254.79226279076093,130.8922350252946,0.3780733752547051,10.703352309120753,0.378073375254705,1.7171967353184776
Track_41,41,41,3,0,0,0,0,0,2.0,0.0,2.0,127.8151907859891,773.1908312154748,1487.0607884430767,0.0,65.23470312310548,86.41876840341759,44.05063784279338,86.41876840341759,29.95879242561438,21282.333333333332,130.46940624621095,127.8151907859891,0.9796564149666395,63.90759539299455,0.9796564149666395,0.4276131939145195
