 ,Area,Mean,Min,Max,Angle,Slice,Length
222,4.326E-7,239.367,107,846,-88.862,222,0.002
223,4.326E-7,238.932,107,845,-88.862,223,0.002
224,4.326E-7,239.931,105,794,-88.862,224,0.002
225,4.326E-7,238.784,109,820,-88.862,225,0.002
226,4.326E-7,238.004,106,840,-88.862,226,0.002
227,4.326E-7,238.711,105,836,-88.862,227,0.002
228,4.326E-7,239.704,108,885,-88.862,228,0.002
229,4.326E-7,239.714,103,840,-88.862,229,0.002
230,4.326E-7,239.000,107,848,-88.862,230,0.002
231,4.326E-7,238.640,109,814,-88.862,231,0.002
232,4.326E-7,238.971,111,855,-88.862,232,0.002
233,4.326E-7,239.101,102,849,-88.862,233,0.002
234,4.326E-7,238.662,108,830,-88.862,234,0.002
235,4.326E-7,239.537,108,823,-88.862,235,0.002
236,4.326E-7,239.676,103,829,-88.862,236,0.002
237,4.326E-7,239.514,102,815,-88.862,237,0.002
238,4.326E-7,238.959,107,864,-88.862,238,0.002
239,4.326E-7,239.934,107,862,-88.862,239,0.002
240,4.326E-7,239.726,109,820,-88.862,240,0.002
241,4.326E-7,239.701,109,826,-88.862,241,0.002
242,4.326E-7,240.170,105,833,-88.862,242,0.002
243,4.326E-7,240.219,107,806,-88.862,243,0.002
244,4.326E-7,239.777,111,895,-88.862,244,0.002
245,4.326E-7,240.080,110,839,-88.862,245,0.002
246,4.326E-7,240.827,107,877,-88.862,246,0.002
247,4.326E-7,239.953,108,861,-88.862,247,0.002
248,4.326E-7,240.047,109,814,-88.862,248,0.002
249,4.326E-7,240.690,107,838,-88.862,249,0.002
250,4.326E-7,240.528,114,846,-88.862,250,0.002
251,4.326E-7,241.415,106,829,-88.862,251,0.002
252,4.326E-7,240.593,110,843,-88.862,252,0.002
253,4.326E-7,240.698,114,839,-88.862,253,0.002
254,4.326E-7,240.843,106,839,-88.862,254,0.002
255,4.326E-7,241.014,111,876,-88.862,255,0.002
256,4.326E-7,241.516,108,839,-88.862,256,0.002
257,4.326E-7,240.820,111,854,-88.862,257,0.002
258,4.326E-7,240.821,108,860,-88.862,258,0.002
259,4.326E-7,240.549,110,874,-88.862,259,0.002
260,4.326E-7,239.629,110,836,-88.862,260,0.002
261,4.326E-7,240.860,112,797,-88.862,261,0.002
262,4.326E-7,240.422,110,855,-88.862,262,0.002
263,4.326E-7,239.893,102,775,-88.862,263,0.002
264,4.326E-7,241.080,110,846,-88.862,264,0.002
265,4.326E-7,241.413,111,842,-88.862,265,0.002
266,4.326E-7,241.356,102,818,-88.862,266,0.002
267,4.326E-7,240.405,108,784,-88.862,267,0.002
268,4.326E-7,240.138,109,809,-88.862,268,0.002
269,4.326E-7,240.590,112,771,-88.862,269,0.002
270,4.326E-7,241.013,108,791,-88.862,270,0.002
271,4.326E-7,240.830,105,778,-88.862,271,0.002
272,4.326E-7,240.387,112,805,-88.862,272,0.002
273,4.326E-7,241.231,108,785,-88.862,273,0.002
274,4.326E-7,240.678,106,810,-88.862,274,0.002
275,4.326E-7,240.422,111,760,-88.862,275,0.002
276,4.326E-7,241.645,112,816,-88.862,276,0.002
277,4.326E-7,241.042,111,814,-88.862,277,0.002
278,4.326E-7,240.242,113,792,-88.862,278,0.002
279,4.326E-7,240.404,103,752,-88.862,279,0.002
280,4.326E-7,240.631,109,832,-88.862,280,0.002
281,4.326E-7,240.196,108,792,-88.862,281,0.002
282,4.326E-7,240.657,108,791,-88.862,282,0.002
283,4.326E-7,241.643,111,802,-88.862,283,0.002
284,4.326E-7,240.414,108,785,-88.862,284,0.002
285,4.326E-7,239.795,105,792,-88.862,285,0.002
286,4.326E-7,240.205,107,777,-88.862,286,0.002
287,4.326E-7,239.182,110,782,-88.862,287,0.002
288,4.326E-7,239.707,106,845,-88.862,288,0.002
289,4.326E-7,240.391,108,828,-88.862,289,0.002
290,4.326E-7,241.075,112,785,-88.862,290,0.002
291,4.326E-7,240.293,102,822,-88.862,291,0.002
292,4.326E-7,239.998,113,826,-88.862,292,0.002
293,4.326E-7,240.333,104,764,-88.862,293,0.002
294,4.326E-7,240.275,109,808,-88.862,294,0.002
295,4.326E-7,238.189,109,793,-88.862,295,0.002
296,4.326E-7,239.161,109,808,-88.862,296,0.002
297,4.326E-7,239.612,107,766,-88.862,297,0.002
298,4.326E-7,239.161,109,765,-88.862,298,0.002
299,4.326E-7,238.684,111,782,-88.862,299,0.002
300,4.326E-7,238.258,106,767,-88.862,300,0.002
301,4.326E-7,238.562,107,780,-88.862,301,0.002
