PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,161,0.003720104694,0.1559348106,1
239,193,0.3858756125,0.01769697666,1
239,225,-0.8234935403,10.96905327,1
239,257,6.814186096,6.38910675,1
239,289,10.02623272,7.98755455,1
239,321,-7.41335535,-7.536252022,1
239,353,-8.980740547,-8.330616951,1
239,385,-10.03053284,-8.486194611,1
239,417,-12.3618784,-9.502724648,1
239,449,-13.87389088,-10.33943748,1
239,481,-14.27300739,-10.14582157,1
239,513,-14.8476305,-9.927018166,1
239,545,-15.21623611,-9.956713676,1
239,577,-15.37920284,-9.807291985,1
239,609,-15.83858871,-9.768026352,1
239,641,-16.40603256,-9.99187851,1
239,673,-17.19840813,-9.162010193,1
239,705,-17.68432426,-7.627158165,1
239,737,-19.35516357,-7.234763145,1
239,769,-21.06999779,-6.567017555,1
239,801,-20.85469818,-5.83822155,1
239,833,-20.17868805,-5.418120861,1
239,865,-19.20240402,-5.098713875,1
239,897,-19.74212456,-4.646391392,1
239,929,-20.16280937,-4.155358791,1
239,961,-19.96866989,-3.219108105,1
239,993,-19.95277214,-2.291622877,1
239,1025,-20.56530571,-0.8755611181,1
239,1057,-21.26550674,-0.1254621595,1
239,1089,-21.14691353,0.1962890625,1
239,1121,-20.91311646,1.091357708,1
239,1153,-21.75944328,1.492144823,1
239,1185,-21.82960701,1.14456892,1
239,1217,-20.20824242,3.048458338,1
239,1249,-18.9428997,4.801235676,1
239,1281,-17.6576252,6.106801033,1
239,1313,-16.56311607,7.283666134,1
239,1345,-15.55374336,8.561507225,1
239,1377,-14.73311234,9.229722023,1
239,1409,-14.2995739,9.351963043,1
239,1441,-13.25443554,7.518766403,1
239,1473,-12.3038187,8.194849968,1
239,1505,-11.78645325,9.561312675,1
239,1537,-11.24026108,9.996222496,1
239,1569,-11.22950649,9.372591972,1
239,1601,-10.52398968,8.763616562,1
239,1633,-9.416612625,8.750029564,1
239,1665,-8.712300301,8.852458,1
239,1697,-8.935081482,8.427277565,1
239,1729,-8.814341545,8.340966225,1
239,1761,-8.694623947,8.832201004,1
239,1793,-8.835341454,8.87443161,1
239,1825,-8.307019234,8.76332283,1
239,1857,-7.818555832,8.688630104,1
239,1889,-7.382098198,9.103299141,1
239,1921,-7.060610294,8.956404686,1
239,1953,-6.62223959,8.093015671,1
239,1985,-6.495732307,6.603741169,1
239,2017,-6.758306503,-10.68066406,1
271,33,1.953286409,4.357633114,1
