PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[13]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
136,37,1.700334907,2.900584459,1
136,53,NaN,NaN,2
136,69,1.774693966,2.436084747,1
136,85,2.293467045,3.032444,1
136,101,2.524961472,3.055157423,1
136,117,4.241433144,2.618298054,1
136,133,NaN,NaN,2
136,149,3.4454,2.268708467,1
136,165,4.079390526,1.809721708,1
136,181,NaN,NaN,2
136,197,5.108066082,1.972243905,1
136,213,5.849107265,2.414164066,1
136,229,6.688076019,4.641451359,1
136,245,NaN,NaN,2
136,261,8.17246151,4.443799973,1
136,277,8.783558846,5.116251469,1
136,293,9.141206741,5.681540966,1
136,309,9.603013992,4.963502407,1
136,325,10.20581532,4.062627316,1
136,341,10.5150919,2.686926126,1
136,357,10.37222672,2.363305092,1
136,373,9.169466019,1.621299744,1
136,389,NaN,NaN,2
136,405,9.900313377,2.590658188,1
136,421,10.49491787,3.696744919,1
136,437,NaN,NaN,2
136,453,NaN,NaN,2
136,469,9.000675201,2.420517921,1
136,485,9.954996109,2.478649378,1
136,501,10.88137054,2.669795752,1
136,517,11.1129446,1.998677731,1
136,533,10.28094101,0.1338654757,1
136,549,10.68699455,0.2529688478,1
136,565,11.0779171,0.4249449968,1
136,581,10.18167973,1.54470706,1
136,597,9.260458946,1.458084583,1
136,613,9.301195145,0.6335704327,1
136,629,9.453974724,0.05722787976,1
136,645,NaN,NaN,2
136,661,NaN,NaN,2
136,677,NaN,NaN,2
136,693,6.304403782,-3.032009363,1
136,709,5.909811497,-3.831016541,1
136,725,5.729045868,-4.473583221,1
136,741,6.403124332,-3.506552458,1
136,757,6.033813477,-3.089006424,1
136,773,4.396358967,-2.708736897,1
136,789,4.160113811,-2.402612925,1
136,805,4.654196262,-2.812161446,1
136,821,4.375741959,-3.251915216,1
136,837,3.725860596,-2.922058582,1
136,853,2.984654903,-2.373306513,1
136,869,2.080444098,-1.543021321,1
136,885,0.8656804562,-1.420804739,1
136,901,0.9615058303,-1.169468164,1
136,917,NaN,NaN,2
136,933,NaN,NaN,2
136,949,0.9394488335,0.2586416006,1
136,965,0.8826992512,-0.8721120358,1
136,981,0.8172159195,-1.646991849,1
136,997,1.206396818,-1.254468679,1
136,1013,NaN,NaN,2
136,1029,0.7042714953,-0.05301296711,1
136,1045,0.4626553357,-0.4859158993,1
136,1061,0.8452317715,-0.3227280378,1
136,1077,0.6810239553,-0.6953244805,1
136,1093,-0.02024979144,-0.5637951493,1
136,1109,-0.04302091897,-0.4235091805,1
136,1125,-0.1166153699,-0.5857293606,1
136,1141,-0.2493365407,-0.9363309741,1
136,1157,-0.2484422922,-1.146282911,1
136,1173,-0.02271002531,-1.153296232,1
136,1189,NaN,NaN,2
136,1205,-1.446825743,-1.566784501,1
136,1221,-2.36619544,-0.6907991767,1
136,1237,-2.242424965,-0.1240311712,1
136,1253,-2.407158375,0.7217649221,1
136,1269,-2.148194313,1.722769499,1
136,1285,-1.651376724,0.5753974915,1
152,21,0.7080093622,2.530580759,1
152,37,0.6020491123,1.861826897,1
152,53,1.204109788,2.878127813,1
152,69,1.275727153,2.722783804,1
152,85,NaN,NaN,2
152,101,NaN,NaN,2
152,117,2.371584654,3.013716459,1
152,133,2.964348316,2.802769899,1
152,149,NaN,NaN,2
152,165,NaN,NaN,2
152,181,NaN,NaN,2
152,197,NaN,NaN,2
152,213,NaN,NaN,2
152,229,5.786446571,3.245030642,1
152,245,7.055692196,4.641803741,1
152,261,8.419971466,4.01837635,1
152,277,9.149431229,4.623599052,1
152,293,9.429359436,5.228269577,1
152,309,9.764258385,4.802523136,1
152,325,10.07996273,4.271207333,1
152,341,11.56557751,2.791199684,1
152,357,NaN,NaN,2
152,373,9.553378105,1.506730318,1
152,389,NaN,NaN,2
152,405,8.879650116,2.431430817,1
152,421,9.537451744,4.14581871,1
152,437,9.864391327,4.395198822,1
152,453,9.862852097,4.31832695,1
152,469,9.756209373,3.0528512,1
152,485,9.959320068,2.559273958,1
152,501,10.19470215,2.465381622,1
152,517,10.57445621,2.010201454,1
152,533,11.08911228,1.335803032,1
152,549,10.82147884,0.6248440146,1
152,565,10.6695776,0.4462834597,1
152,581,11.4959383,1.2869277,1
152,597,10.27702522,0.7765487432,1
152,613,8.305592537,0.5221729279,1
152,629,NaN,NaN,2
152,645,7.657197952,-0.2755067348,1
152,661,NaN,NaN,2
152,677,NaN,NaN,2
152,693,6.219152927,-2.066795111,1
152,709,6.052334785,-3.923639297,1
152,725,6.052926064,-3.913817644,1
152,741,6.20315361,-3.504909039,1
152,757,6.010945797,-3.615273952,1
152,773,NaN,NaN,2
152,789,3.065643311,-2.69690752,1
152,805,4.17270565,-3.451267719,1
152,821,NaN,NaN,2
152,837,3.656137228,-3.163708687,1
152,853,2.918206453,-2.307375431,1
152,869,NaN,NaN,2
152,885,1.044282556,-1.069940448,1
152,901,NaN,NaN,2
152,917,1.49993968,-0.4561956823,1
152,933,1.699430108,-0.6830701828,1
152,949,NaN,NaN,2
152,965,1.163324237,-0.6567978859,1
152,981,0.8747454882,-1.222568989,1
152,997,1.008978367,-0.7064015269,1
152,1013,0.8597561121,-0.04669231176,1
152,1029,0.5651007891,-0.4331886768,1
152,1045,0.4727925956,-1.113284826,1
152,1061,0.6696922779,-0.9686933756,1
152,1077,0.2056587934,-1.091374397,1
152,1093,-0.2862172723,-1.111025214,1
152,1109,-0.2139330506,-0.7138500214,1
152,1125,0.2481443882,-0.7375606298,1
152,1141,0.5149850845,-0.03729867935,1
152,1157,0.3441906869,-0.6209594011,1
152,1173,0.4243120551,-0.8053256869,1
152,1189,-0.2085318565,-2.558889389,1
152,1205,NaN,NaN,2
152,1221,-1.630704999,-1.300591469,1
152,1237,-1.816118717,-0.7547343373,1
152,1253,-2.684997082,0.7124087811,1
152,1269,-2.715263844,0.902018249,1
152,1285,-1.620297432,1.606864452,1
168,21,0.5870453119,1.85135448,1
168,37,1.394697547,1.155967593,1
