PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 41, filenames: A:[41]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[42]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,1857,-0.4478394985,-0.1679615378,1
271,1889,-0.5818578005,-0.7558728456,1
271,1921,0.01938766241,-0.6280934215,1
271,1953,0.1904100627,-0.2035572529,1
271,1985,0.1379569322,-0.03887841105,1
271,2017,-0.2235902548,0.01160357893,1
303,33,-0.6228738427,2.912778854,1
303,65,0.1462418288,-2.05761075,1
303,97,0.7470465302,-2.268083572,1
303,129,0.4899373651,-2.617949247,1
303,161,-17.40725899,-2.812691689,1
303,193,1.033752322,-2.650914431,1
303,225,0.8492856026,-3.563241482,1
303,257,1.228391886,-3.821591377,1
303,289,1.203491449,-5.270913124,1
303,321,0.2830454111,-4.349040508,1
303,353,0.3557344675,-3.85018301,1
303,385,0.3527356684,-4.099564075,1
303,417,-0.150179565,-3.146586418,1
303,449,-1.074106097,-3.039600372,1
303,481,-2.407791138,-2.82259655,1
303,513,-0.8848408461,-2.922307968,1
303,545,-13.1594429,8.192613602,1
303,577,1.7128371,-2.375580788,1
303,609,1.972908258,-2.901643991,1
303,641,2.258605957,-2.540341854,1
303,673,1.47743535,-2.488779306,1
303,705,1.358120084,-1.728901863,1
303,737,2.472109795,-1.315614223,1
303,769,3.34203887,-1.46186626,1
303,801,2.19310832,-1.561939955,1
303,833,1.361596704,-1.675922871,1
303,865,0.7108304501,-2.626552343,1
303,897,0.3280180097,-2.620246172,1
303,929,0.05076634884,-1.975090504,1
303,961,-0.1619480252,-1.64847374,1
303,993,1.064397454,-2.161303043,1
303,1025,1.463040709,-2.74951601,1
303,1057,-9.410023689,-11.64938354,1
303,1089,-11.73415184,-10.21755981,1
303,1121,0.8405047059,-0.2082465887,1
303,1153,-0.2113608718,1.105889559,1
303,1185,-1.516512275,0.01657247543,1
303,1217,-1.181727052,-2.113739014,1
303,1249,-0.09158092737,-1.195352793,1
303,1281,-0.07561069727,-0.6435221434,1
303,1313,-0.6846346855,-0.2018321753,1
303,1345,-2.253825665,-0.4194813967,1
303,1377,-3.83804512,-1.772763729,1
303,1409,-3.371989012,-0.008029285818,1
303,1441,-2.216319561,0.2780055404,1
303,1473,-1.814940333,0.2106781602,1
303,1505,-1.74302268,0.1101202294,1
303,1537,-1.6444664,-0.1376508176,1
303,1569,-2.15242672,-0.7951366901,1
303,1601,-2.140945911,-0.991977334,1
303,1633,-1.603711605,-1.354551673,1
303,1665,-1.445301533,-1.673636079,1
303,1697,-1.870511293,-1.546517849,1
303,1729,-3.00804472,-1.359233618,1
303,1761,-3.517198086,-2.775340796,1
303,1793,-2.303890467,-2.814177513,1
303,1825,-3.103607178,1.247361183,1
303,1857,-1.544018984,0.6791941524,1
303,1889,-0.9722335935,-0.1572440267,1
303,1921,-0.2566773891,-0.3417689204,1
303,1953,-0.08156381547,-0.02861711383,1
303,1985,0.1450358629,-0.2417798042,1
303,2017,-0.3849817216,0.07441785932,1
335,33,-0.4209406376,2.534605026,1
335,65,-0.2995167971,-2.65459156,1
335,97,0.5126442909,-2.021490097,1
335,129,0.5173335671,-2.660204172,1
335,161,1.182097197,-2.524976492,1
335,193,0.8124331236,-2.234627485,1
335,225,-0.01942050457,-3.014674664,1
335,257,0.9197683334,-3.409066677,1
335,289,3.710216761,-3.758629084,1
335,321,1.677628994,-4.114289284,1
335,353,-0.08676111698,-4.197572231,1
335,385,0.06784829497,-4.678602695,1
335,417,0.04491266608,-4.042742729,1
335,449,-0.1494315267,-3.943282604,1
335,481,-0.4700864553,-3.777956486,1
335,513,-0.5352502465,-2.816540003,1
335,545,-0.3326693177,-0.8596134186,1
335,577,0.5765670538,-2.324208498,1
335,609,1.484963536,-2.981227875,1
335,641,1.991874456,-2.522053719,1
335,673,1.332557678,-2.191823721,1
335,705,-8.004439354,-16.63840294,1
335,737,1.473311424,-2.121929169,1
335,769,2.257214546,-2.298187971,1
335,801,2.511653185,-2.318077087,1
335,833,2.02261591,-2.560307741,1
335,865,1.737786293,-3.325481176,1
335,897,1.542675018,-5.467832088,1
335,929,0.6349551678,-1.714151144,1
335,961,0.4263937473,-1.684618711,1
335,993,1.440392613,-2.155400515,1
335,1025,2.119071007,-2.636286259,1
335,1057,0.6024702787,-2.373478651,1
335,1089,0.6534603834,-1.651638269,1
335,1121,0.1512915492,-1.179848075,1
335,1153,-0.9808802009,-1.338055491,1
335,1185,-2.079161406,-2.779882908,1
335,1217,-0.8420751095,-2.637412548,1
335,1249,0.3813730478,-1.533187389,1
335,1281,0.02259063721,-0.5350925922,1
335,1313,-0.3185019493,-0.3081410229,1
335,1345,-1.236460328,-0.3914328814,1
335,1377,-1.784000158,-0.514615953,1
335,1409,-1.732317567,-0.04682832956,1
335,1441,-1.093798637,0.4841974378,1
335,1473,-0.9439356327,-0.1038810015,1
335,1505,-0.8637160063,-0.4120260179,1
335,1537,-1.092964888,-0.4496437013,1
335,1569,-2.171295166,-0.6798263192,1
335,1601,-1.511542439,-1.025399208,1
335,1633,-1.328777075,-1.301039457,1
335,1665,-2.006623745,-1.693591595,1
335,1697,-2.172261238,-2.166199446,1
335,1729,-1.164866924,-2.389861822,1
335,1761,-1.447702885,-3.788594723,1
335,1793,-0.8857588768,-3.481182098,1
335,1825,1.853059053,-21.37337685,1
335,1857,-4.634549141,1.067573786,1
335,1889,-1.243008614,0.3524960279,1
335,1921,-0.1064450741,-0.05424289405,1
335,1953,-0.3488602042,-0.1514465809,1
335,1985,-0.1651592553,-0.3452253938,1
335,2017,-0.4499926567,-0.02505753934,1
367,33,-0.4854294658,2.291318655,1
367,65,-0.4118057191,-0.6356902122,1
367,97,-0.2067215294,-1.565631509,1
367,129,-0.08560800552,-2.652443886,1
367,161,0.3280073702,-1.997724533,1
367,193,0.1251089573,-2.380225182,1
367,225,0.2680299282,-2.859143734,1
367,257,1.142136097,-2.71532774,1
367,289,2.004211426,-3.142291546,1
367,321,1.230126023,-2.810657978,1
367,353,0.3798594475,-3.496869087,1
367,385,-0.3797638416,-4.672417641,1
367,417,0.4632715583,-5.385222435,1
