PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
452,387,0.9994149804,0.05157017708,1
452,403,0.3775930405,-1.061015129,1
468,19,0.3705783486,0.7133418322,1
468,35,0.8239952326,0.3566826582,1
468,51,0.6784607172,-0.1935968399,1
468,67,NaN,NaN,2
468,83,NaN,NaN,2
468,99,NaN,NaN,2
468,115,NaN,NaN,2
468,131,0.440838784,-1.146632791,1
468,147,NaN,NaN,2
468,163,-0.4455216825,-2.395029545,1
468,179,-0.2117317617,-1.547042251,1
468,195,-0.1244350597,-1.583941698,1
468,211,0.02347847819,-1.915418148,1
468,227,0.3197615743,-1.922779322,1
468,243,0.8125297427,-1.513382196,1
468,259,0.6188517809,-1.201073885,1
468,275,-0.1331255585,-1.202879071,1
468,291,0.0751029253,-2.058699131,1
468,307,0.216566354,-1.646871209,1
468,323,0.3634403348,-1.427052021,1
468,339,0.3341635466,-1.254595757,1
468,355,-0.09813387692,-1.016020179,1
468,371,-0.1316637695,-0.539268136,1
468,387,-0.03674339503,-1.393686295,1
468,403,0.4212118983,-1.134028196,1
484,19,-0.1140473485,0.6592189074,1
484,35,0.1094287336,0.1365680397,1
484,51,0.1762908101,-0.01780833304,1
484,67,0.3806219399,-0.1409599185,1
484,83,0.4778605103,0.1668285429,1
484,99,-0.08406543732,0.5111398697,1
484,115,0.2093231976,-0.3578373194,1
484,131,0.3629743457,-1.032437086,1
484,147,0.02858641744,-1.685770392,1
484,163,0.03442860395,-2.504990578,1
484,179,0.3881759048,-2.352968216,1
484,195,0.804115355,-2.905958176,1
484,211,0.4124289751,-2.406806469,1
484,227,0.3750058711,-1.941377282,1
484,243,0.5963406563,-1.622719049,1
484,259,0.4524529278,-1.463980556,1
484,275,-0.1331661642,-1.614177704,1
484,291,NaN,NaN,2
484,307,0.1059998423,-1.63623929,1
484,323,0.328831166,-1.506227374,1
484,339,0.299133271,-1.26535058,1
484,355,-0.02800498903,-1.162424445,1
484,371,-0.2701944113,-1.005173206,1
484,387,-0.1391943991,-1.092395544,1
484,403,-0.19118011,-0.8821262717,1
500,19,-0.09959411621,0.5829024315,1
500,35,0.1808409393,0.2109220922,1
500,51,0.5472776294,0.4120470583,1
500,67,0.2930876017,0.3467836678,1
500,83,0.454720825,0.04168701172,1
500,99,0.9294649959,-0.246800825,1
500,115,0.05962370336,-0.2861324251,1
500,131,-0.1877597868,-0.8076636791,1
500,147,-0.07865099609,-1.328771591,1
500,163,0.1886276007,-1.896446943,1
500,179,0.5376732349,-2.391557932,1
500,195,0.7349416018,-3.391426802,1
500,211,0.3921273053,-2.692783833,1
500,227,-0.04221628606,-2.110712051,1
500,243,0.2286196798,-1.832359672,1
500,259,0.2136680633,-2.00358057,1
500,275,0.3008656502,-1.875727296,1
500,291,NaN,NaN,2
500,307,0.1428502649,-1.558173299,1
500,323,0.1525091082,-1.135860562,1
500,339,-0.1422050595,-0.9478462338,1
500,355,-0.3417202532,-1.012165904,1
500,371,-0.1912068278,-1.149510384,1
500,387,-0.1770556569,-0.9425296783,1
500,403,-0.9206710458,-0.6991637945,1
516,19,0.1560272574,0.6682384014,1
516,35,0.1221071482,0.4548278749,1
516,51,0.6985499859,0.8269760013,1
516,67,0.9028725028,0.5061858296,1
516,83,1.047738075,0.2068802863,1
516,99,1.113020182,-0.1725920737,1
516,115,0.1730197072,-0.2378515303,1
516,131,-0.2158257812,-0.6265550256,1
516,147,0.1311565638,-1.047614932,1
516,163,0.4736622572,-1.487877131,1
516,179,0.7962005734,-2.032509327,1
516,195,0.4390164018,-2.358513594,1
516,211,-0.09096428752,-2.419625759,1
516,227,-0.333739996,-2.427764416,1
516,243,-0.3233493268,-2.159688234,1
516,259,-0.1610095203,-2.292363167,1
516,275,0.1725863516,-2.228719473,1
516,291,0.05439954624,-1.610725045,1
516,307,0.03770055622,-1.344540358,1
516,323,0.05838140845,-0.4111738205,1
516,339,-0.2132008076,-0.4464276433,1
516,355,-0.3714750111,-0.6315179467,1
516,371,-0.1691616178,-1.132398725,1
516,387,0.129141897,-1.108826995,1
516,403,-0.2213234901,-1.3226583,1
532,19,-0.1882945895,0.6198610067,1
532,35,-0.3143983483,0.5437910557,1
532,51,0.2464785576,1.505527735,1
532,67,0.7597078085,0.5211753845,1
532,83,1.133050323,0.1147143021,1
532,99,0.8405228853,0.276293695,1
532,115,0.3582270741,-0.5027966499,1
532,131,0.5004609823,-0.7597513199,1
532,147,0.5971736312,-1.141416788,1
532,163,0.387707293,-1.41918385,1
532,179,0.3806782067,-1.915939093,1
532,195,0.9415182471,-0.6502075195,1
532,211,-0.1429215968,-1.825816631,1
532,227,-0.4256350398,-2.313889503,1
532,243,-0.5167188644,-2.357446909,1
532,259,-0.2619457841,-2.443600178,1
532,275,-0.0559297204,-2.480290413,1
532,291,0.02230301499,-1.836236,1
532,307,0.1334559619,-1.458234072,1
532,323,-0.0224417448,-1.254463434,1
532,339,-0.3456841707,-0.8058190346,1
532,355,-0.3089769185,-0.8212566972,1
532,371,-0.2918108106,-1.053529024,1
532,387,-0.1687270552,-1.160899162,1
532,403,-0.1947163194,-1.631047726,1
548,19,-0.626232028,0.6185644865,1
548,35,NaN,NaN,2
548,51,NaN,NaN,2
548,67,0.4526525736,0.4488463402,1
548,83,0.871573925,0.03422743082,1
548,99,1.26547718,-0.06664025784,1
548,115,1.331817508,-0.9419935942,1
548,131,1.193517923,-1.056944609,1
548,147,0.9747551084,-0.9728982449,1
548,163,0.4407344162,-1.400162697,1
548,179,-0.6372617483,-1.60196805,1
548,195,-0.5425266027,-0.3914772272,1
548,211,-0.6486022472,-1.16130209,1
548,227,-0.4386506081,-2.006222725,1
548,243,-0.6587907076,-2.277187347,1
548,259,-0.8546279669,-2.448156118,1
548,275,-0.7120370269,-2.31858778,1
548,291,-0.6546028852,-1.886205792,1
548,307,-0.5891456008,-1.655143976,1
548,323,-0.7418350577,-1.848014355,1
548,339,-0.9510596395,-1.764601707,1
548,355,-0.7226138115,-0.8779430389,1
548,371,-0.5315519571,-0.3597944975,1
548,387,-0.09747354686,-0.5480587482,1
548,403,0.5107710958,-1.460779905,1
