PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
292,51,NaN,NaN,2
292,67,1.216605306,1.546186447,1
292,83,1.507868171,0.9875780344,1
292,99,1.429020643,0.2883515656,1
292,115,1.517698765,-0.1048920751,1
292,131,1.73357749,-0.499787122,1
292,147,1.714140415,-0.8954808712,1
292,163,1.732112646,-1.503481865,1
292,179,1.676394582,-1.960419178,1
292,195,1.904503226,-1.709111929,1
292,211,1.859438419,-1.893820286,1
292,227,1.828189611,-2.764656067,1
292,243,1.973677993,-3.098718166,1
292,259,2.186556816,-3.084905624,1
292,275,2.074167252,-2.722027063,1
292,291,1.989902973,-2.457015038,1
292,307,1.522874713,-2.561193228,1
292,323,1.536701798,-2.129930019,1
292,339,2.232192516,-1.902036071,1
292,355,2.801950693,-2.013267279,1
292,371,2.378522158,-1.212362409,1
292,387,2.703693867,-0.8703308105,1
292,403,2.680789232,-0.5419071913,1
308,19,0.1575222909,1.585424066,1
308,35,0.866466701,2.406166553,1
308,51,0.898455739,2.134759426,1
308,67,NaN,NaN,2
308,83,1.485070705,0.8480902314,1
308,99,1.314445853,-0.05739167333,1
308,115,1.154626489,-0.1659258306,1
308,131,1.29764843,-0.2160372138,1
308,147,1.744655728,-0.3525025249,1
308,163,1.97191143,-0.8548713923,1
308,179,1.904368401,-1.534017563,1
308,195,1.796644688,-1.931258202,1
308,211,1.519471526,-2.24028635,1
308,227,1.381000042,-2.684326649,1
308,243,1.825169563,-3.36709094,1
308,259,1.87926209,-3.152026176,1
308,275,1.823437691,-2.646516085,1
308,291,1.681347251,-2.189242125,1
308,307,1.888527274,-2.116576672,1
308,323,1.95712173,-1.822083712,1
308,339,2.174733639,-1.589898109,1
308,355,3.708726406,-2.03234005,1
308,371,3.437227964,-1.762984633,1
308,387,2.6545434,-1.26431644,1
308,403,2.613316059,-0.7047373056,1
324,19,0.5588077903,0.653888464,1
324,35,1.077063322,1.893526435,1
324,51,1.182345986,2.016331673,1
324,67,1.055878401,1.520217419,1
324,83,NaN,NaN,2
324,99,1.447215557,-0.3090418577,1
324,115,1.192861676,-0.3911515772,1
324,131,1.122900605,-0.342127949,1
324,147,1.497866273,-0.02193337679,1
324,163,1.835037351,-0.5643736124,1
324,179,2.015183926,-1.338146448,1
324,195,1.928771853,-1.723315954,1
324,211,1.856503367,-2.392167568,1
324,227,1.748329759,-3.095791817,1
324,243,1.775949597,-3.243105412,1
324,259,2.022850752,-2.995700836,1
324,275,1.809144378,-2.364295721,1
324,291,1.544214964,-2.152141571,1
324,307,1.900131345,-2.05315423,1
324,323,2.416305304,-1.793959618,1
324,339,2.396916866,-1.322821379,1
324,355,2.562704086,-1.272362947,1
324,371,2.579186678,-1.434427261,1
324,387,2.35757947,-1.441882849,1
324,403,2.562952518,-0.9524576664,1
340,19,0.5443361402,0.2987817824,1
340,35,0.8093512654,1.50439918,1
340,51,0.7878280282,1.694874525,1
340,67,1.044773102,1.706962824,1
340,83,1.579620004,1.383558393,1
340,99,1.576705098,-0.3241544962,1
340,115,1.721387506,-0.4397314787,1
340,131,1.730993032,-0.3726148903,1
340,147,1.431501865,0.06176763773,1
340,163,1.435189724,-0.7215185165,1
340,179,1.630868077,-1.281473398,1
340,195,1.848978162,-1.288589239,1
340,211,1.948436022,-1.892062306,1
340,227,1.959203959,-2.676392078,1
340,243,1.908815742,-2.889042139,1
340,259,1.841863394,-2.86296773,1
340,275,1.728232384,-2.767491341,1
340,291,1.531091332,-2.480603695,1
340,307,1.727853417,-2.233082771,1
340,323,2.038542986,-1.830682993,1
340,339,2.319664478,-0.8613620996,1
