 ,Area,Mean,X,Y,Major,Minor,Angle
102,638.899,13.403,565.871,217.727,34.954,23.273,114.065
103,1045.203,19.930,172.625,220.374,40.309,33.015,61.623
104,1118.808,25.103,225.259,219.288,47.294,30.121,26.891
105,602.096,23.083,394.674,220.711,28.992,26.442,50.186
106,1064.340,21.021,475.655,229.825,50.180,27.006,75.567
107,1064.340,23.079,305.140,226.045,43.827,30.920,166.874
108,1291.046,20.805,354.675,230.924,46.841,35.093,155.131
109,943.627,20.328,421.672,232.091,39.994,30.041,116.287
110,1048.147,16.904,529.604,232.606,47.161,28.297,111.904
111,1360.236,19.256,497.603,243.406,64.171,26.989,73.157
112,344.475,21.960,118.603,226.095,23.126,18.966,30.508
