PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 40, filenames: A:[40]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[41]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,1025,2.288019419,-1.975790977,1
175,1057,0.9578917623,-1.863008976,1
175,1089,0.4910578132,-1.308266401,1
175,1121,0.8138337135,-1.140664577,1
175,1153,0.8650612831,-1.149869323,1
175,1185,0.8670383692,-0.7257703543,1
175,1217,0.5139936805,-0.6760561466,1
175,1249,0.08945551515,-1.048372746,1
175,1281,-0.1443219632,-0.4290465117,1
175,1313,-0.3446549177,0.04432630539,1
175,1345,-0.4758527875,-0.3047782183,1
175,1377,-0.3434177637,-0.5062481165,1
175,1409,0.2319117486,-0.4626194835,1
175,1441,0.02134442329,-0.8679612875,1
175,1473,-0.1152923405,-0.6098769903,1
175,1505,0.1063966155,-0.05707893521,1
175,1537,-0.9578595757,0.2312434912,1
175,1569,-1.728735328,0.5687194467,1
175,1601,-2.453785896,-0.1367038339,1
175,1633,-1.617694378,-0.6242858171,1
175,1665,-0.9339061975,-0.5309948921,1
175,1697,0.7129258513,-0.6888459921,1
175,1729,-0.258079648,-0.03206133842,1
175,1761,-0.5027737021,0.7856757641,1
175,1793,0.1080893725,0.2684389353,1
175,1825,0.7222915888,-0.3404352069,1
175,1857,0.5753970146,-0.3236070871,1
175,1889,-0.06287630647,0.05040267855,1
175,1921,-0.1455565095,0.2228185534,1
175,1953,-0.1210134178,0.1191860661,1
175,1985,-0.6663842797,0.01487758011,1
175,2017,0.03394196928,-0.5403319597,1
207,33,0.06946894526,-0.05309092999,1
207,65,-0.02130201086,0.0438256599,1
207,97,-0.02523639053,0.1167557985,1
207,129,0.08321260661,-0.2903372049,1
207,161,0.4406643212,-0.1429389864,1
207,193,0.3055337667,-0.1277190745,1
207,225,-0.1421803385,-0.07460033894,1
207,257,-0.1100692973,0.210865885,1
207,289,0.184747234,0.1649881303,1
207,321,0.1815835834,-0.3528845012,1
207,353,0.2818686962,-1.252162218,1
207,385,0.229744494,-0.8565055132,1
207,417,0.3289812803,-0.6168461442,1
207,449,0.7197514176,-0.6141313314,1
207,481,2.326315641,-1.955242515,1
207,513,3.326673985,-2.557776213,1
207,545,2.623465538,-1.74390626,1
207,577,1.689004421,-1.474112153,1
207,609,1.285611272,-1.294415474,1
207,641,3.643822193,-3.65925169,1
207,673,4.212341785,-4.596045971,1
207,705,2.129983425,-4.107691765,1
207,737,2.011304379,-2.921528339,1
207,769,1.471323371,-1.788108587,1
207,801,0.6180632114,-2.203650475,1
207,833,-0.004436463118,-0.9772642255,1
207,865,-0.09265005589,-0.1372635067,1
207,897,0.8148731589,-0.05345606804,1
207,929,2.185514212,-0.6743746996,1
207,961,1.208688021,-1.092951179,1
207,993,1.679515362,-1.879106998,1
207,1025,1.729511261,-2.164633036,1
207,1057,0.4621005058,-1.741605997,1
207,1089,0.3672430515,-1.219592452,1
207,1121,0.4348462224,-0.4855931401,1
207,1153,0.1987120807,-0.7703696489,1
207,1185,0.4059587121,-1.083424568,1
207,1217,0.4330802858,-0.5790717006,1
207,1249,0.5176196098,-0.7941853404,1
207,1281,-0.2481641471,-0.6489629745,1
207,1313,-0.7511739731,-0.2456835508,1
207,1345,-0.5587928295,-0.1641929448,1
207,1377,-0.1166197062,-0.04078286886,1
207,1409,-0.4084666371,-0.4126293659,1
207,1441,-0.8219121695,-0.9687819481,1
207,1473,-0.3479792774,-0.3884871006,1
207,1505,0.4458018541,-0.2060814053,1
207,1537,0.2112365365,-0.8525291681,1
207,1569,-0.4228821993,-0.03559948504,1
207,1601,-0.7496041059,0.04314373434,1
207,1633,-0.1179448366,-0.1664957404,1
207,1665,0.5212225914,-0.2690661848,1
207,1697,0.07199341059,-1.088819385,1
207,1729,0.188495636,-1.435601234,1
207,1761,0.3088052869,-0.6992352605,1
207,1793,0.6011925936,0.0823135972,1
207,1825,0.8958339095,-0.207594946,1
207,1857,0.4704368114,0.06523041427,1
207,1889,0.1319321394,0.1104177088,1
207,1921,0.1180712581,0.2321960777,1
207,1953,0.1066224426,0.1671725214,1
207,1985,-0.4477105439,-0.08179910481,1
207,2017,-0.054399997,-0.329823792,1
239,33,-0.1152605414,-0.03339454532,1
239,65,-0.3378816843,0.03700223565,1
239,97,-0.4601311088,-0.1897334605,1
239,129,-0.2828449309,-0.1209736168,1
239,161,0.2186451256,-0.02578834072,1
239,193,0.1042665392,-0.3438600898,1
239,225,-0.1699493527,-0.2789429724,1
239,257,-0.1446795315,0.08310896158,1
239,289,-0.06891925633,0.0288194716,1
239,321,-0.04127923399,0.0008996129036,1
239,353,0.07146656513,-0.5447410345,1
239,385,0.2501544952,-0.555844903,1
239,417,-0.06918430328,-0.3638009429,1
239,449,0.2976746559,-0.2594105005,1
239,481,1.507761955,-0.7536593676,1
239,513,2.683870792,-1.074084044,1
239,545,2.542154312,-1.207606673,1
239,577,2.334209919,-1.725493789,1
239,609,2.066351652,-2.528553247,1
239,641,2.871483088,-3.894049644,1
239,673,3.863688707,-4.022799969,1
239,705,2.318002701,-3.812319994,1
239,737,2.346683502,-2.412744999,1
239,769,2.261945009,-1.586939335,1
239,801,0.7723537087,-0.8567838669,1
