 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
160,9.983,7.766,4.418,40.891,61.212,371.597,120.968,44.954,26.935,115.732,47.194,43,288,107.969,26.496
161,13.989,9.922,5.238,54.182,421.359,391.000,165.705,64.010,19.385,98.844,75.703,344,288,96.442,26.090
162,13.528,9.939,5.083,60.330,286.605,383.430,150.328,59.815,27.450,106.570,64.248,226,289,100.886,29.506
163,14.485,9.288,5.192,68.735,262.670,379.867,144.156,58.292,23.891,99.970,59.489,211,290,101.768,27.524
164,7.182,4.085,3.680,22.520,28.913,378.091,105.802,41.642,17.599,107.597,45.040,14,293,117.255,18.539
165,15.954,11.149,4.614,119.991,337.076,390.473,178.030,74.063,22.473,98.768,77.119,276,294,102.724,26.330
166,14.789,8.800,5.105,116.411,376.457,389.132,145.066,60.957,20.725,101.548,64.317,307,294,91.081,20.935
167,7.105,5.266,3.588,24.537,579.384,386.201,139.064,53.873,24.180,64.239,60.386,470,345,67.557,25.455
168,16.375,6.704,5.419,65.259,201.752,387.593,118.786,41.588,29.656,129.256,45.089,158,301,113.806,29.961
169,14.870,11.294,4.764,63.417,358.180,401.054,158.013,67.908,22.826,96.483,67.128,291,357,83.774,23.336
170,8.135,5.227,3.934,26.761,52.708,394.152,125.170,48.164,17.435,125.717,57.232,33,303,122.005,20.213
171,14.298,9.284,4.421,75.561,244.267,406.142,178.449,73.948,32.723,124.395,74.882,188,307,116.980,32.642
172,6.830,4.553,3.245,26.345,590.916,406.221,155.514,65.885,20.483,56.708,70.099,473,363,66.541,23.603
173,9.446,5.531,3.785,42.664,82.999,395.885,97.082,28.964,26.597,15.553,33.117,66,314,118.443,28.505
174,13.691,7.957,4.424,205.378,113.692,411.589,153.855,64.292,24.431,117.715,67.423,82,315,120.256,27.453
175,13.571,9.550,4.569,92.516,137.793,403.445,116.876,40.319,31.380,114.505,40.930,106,317,101.976,31.846
176,14.394,8.345,5.413,84.408,466.834,409.928,118.328,40.462,28.165,80.655,47.194,377,358,72.031,30.339
177,9.220,6.597,4.033,43.807,553.708,415.419,130.187,49.802,24.049,72.869,56.403,445,365,71.175,26.757
178,13.291,7.421,4.214,65.040,171.334,418.868,158.435,63.848,22.663,119.399,70.131,130,322,120.114,26.409
179,13.616,7.034,4.647,76.528,322.690,421.174,160.469,65.309,25.256,113.878,67.532,252,324,107.784,27.130
180,10.183,7.013,4.376,45.294,520.223,414.814,117.724,51.446,15.448,66.387,52.678,418,364,61.074,17.118
181,7.007,3.624,3.219,19.179,38.523,410.832,88.747,31.824,17.905,108.281,37.041,22,329,121.608,19.524
182,10.028,8.017,4.329,44.499,498.402,423.301,141.313,56.690,23.276,68.926,60.968,399,372,58.841,25.011
183,13.465,8.828,4.623,62.818,195.168,418.705,125.809,47.940,26.469,119.757,51.733,146,329,129.289,29.064
184,8.388,5.862,3.528,44.735,528.386,431.333,152.995,59.799,19.935,61.578,68.678,419,377,57.995,25.466
185,15.652,10.415,5.416,78.546,441.595,423.974,119.534,43.919,27.399,74.658,47.999,357,367,69.274,29.825
186,12.734,9.783,4.827,63.831,225.637,434.939,180.382,67.656,24.269,108.100,81.355,180,331,107.354,30.005
187,12.638,8.695,4.966,70.802,409.891,434.728,160.391,60.444,28.188,87.819,67.128,330,387,83.774,32.052
188,12.717,8.106,4.527,54.059,291.096,447.078,201.505,91.506,18.865,117.865,89.899,228,335,111.371,22.747
189,8.581,5.859,3.608,40.788,59.716,427.076,106.129,37.818,24.038,113.981,44.115,41,336,121.504,24.982
190,9.314,5.746,4.086,60.756,92.361,431.983,152.547,56.471,34.387,131.857,61.867,61,336,131.820,37.564
191,12.670,6.608,5.576,46.233,305.484,434.886,140.526,60.775,22.976,117.533,59.092,245,336,109.179,23.332
192,6.227,4.487,3.685,20.119,590.107,437.720,144.052,58.926,21.216,57.013,65.034,469,379,53.344,22.810
193,13.740,10.019,5.500,56.921,388.102,435.564,128.571,51.658,21.516,95.627,53.606,318,382,84.806,24.933
194,10.580,8.345,4.272,50.620,473.007,441.388,125.441,43.705,23.331,75.297,53.399,384,383,68.682,28.010
195,12.430,6.248,4.394,67.678,150.414,441.174,128.777,47.576,26.554,102.467,51.319,126,344,96.789,29.119
196,7.944,4.786,3.756,23.291,551.736,453.905,161.666,64.921,23.646,54.195,72.687,435,399,56.575,26.827
197,15.759,12.234,5.697,91.510,369.944,455.698,146.313,59.648,25.045,101.535,63.197,305,352,93.302,25.013
198,12.850,10.611,5.083,36.888,249.884,452.885,115.813,41.818,24.338,91.685,48.075,199,355,100.176,26.412
199,13.815,10.348,5.434,44.142,282.768,464.079,154.066,69.302,14.172,121.192,67.303,222,357,117.951,17.417
200,14.810,11.437,5.751,62.836,351.701,468.075,187.971,71.808,23.727,115.203,81.797,282,358,110.854,32.214
201,12.839,8.093,4.721,60.421,177.805,462.014,134.622,50.674,28.148,112.448,55.667,137,360,110.410,31.546
202,13.481,7.444,5.243,64.551,448.307,461.239,131.069,45.714,27.963,72.932,52.734,358,400,66.975,31.639
203,11.301,7.266,4.211,58.157,134.225,460.218,124.912,52.981,21.651,128.232,55.335,97,362,127.875,22.306
204,13.155,8.562,4.826,49.307,221.782,472.154,190.485,80.236,21.398,123.093,86.826,163,364,123.024,23.964
205,8.875,5.682,3.586,43.330,69.274,464.916,139.257,55.164,24.158,125.320,60.239,44,365,124.330,28.312
206,9.381,5.930,3.642,50.501,488.766,468.774,140.184,56.154,24.800,55.486,62.365,387,406,52.907,27.130
207,14.097,11.985,6.328,70.690,422.188,469.194,132.328,51.098,22.889,70.367,59.092,338,412,70.821,25.223
208,8.694,5.386,4.360,32.017,519.164,467.926,117.015,44.791,24.146,47.379,49.879,415,400,48.945,26.588
209,8.597,5.211,4.006,40.305,98.852,470.737,132.381,53.196,23.783,132.065,57.642,65,370,130.732,25.754
210,9.690,6.870,4.074,29.187,123.395,473.884,103.789,45.141,14.450,130.279,44.909,88,376,128.418,15.915
211,13.812,10.188,5.602,44.098,270.522,476.797,113.860,39.765,27.527,123.028,44.892,218,376,108.925,28.312
212,11.863,9.016,4.639,65.209,209.797,485.650,142.072,61.324,19.898,124.841,63.673,160,377,120.964,21.749
213,12.220,8.280,5.080,61.583,344.529,511.807,256.538,103.691,43.962,117.748,102.623,267,378,114.444,49.134
214,14.037,12.335,5.464,51.155,385.417,495.124,161.442,71.119,19.213,76.265,74.240,314,441,78.690,20.297
215,11.188,7.354,4.785,67.421,459.647,487.565,123.965,54.191,14.423,61.290,57.884,366,421,56.976,16.154
216,12.188,8.550,5.287,46.026,398.560,504.056,160.954,71.983,13.775,73.595,76.004,319,444,73.301,16.154
217,6.262,4.269,3.578,20.418,541.020,495.274,139.297,56.133,20.369,57.529,64.065,431,428,52.696,22.635
218,10.399,5.518,4.049,36.748,177.297,499.107,176.111,79.488,18.275,125.868,81.869,126,387,129.588,21.921
219,11.784,8.956,4.706,74.891,262.290,506.101,159.914,60.856,30.061,130.481,68.828,202,394,130.711,33.002
220,10.512,7.607,5.532,37.724,437.557,498.656,114.410,47.629,13.774,54.198,53.441,347,428,50.528,16.230
221,9.672,7.097,4.187,46.756,159.540,506.442,147.709,61.275,22.024,134.657,65.294,116,399,131.987,23.538
222,10.810,8.267,4.784,38.428,413.918,509.947,142.940,64.911,13.803,56.700,67.989,323,444,55.176,15.651
223,7.636,6.774,3.918,20.348,115.826,507.483,156.047,70.567,15.087,137.339,71.255,74,400,137.070,19.297
224,10.383,6.372,4.127,38.960,207.270,512.997,138.238,58.077,21.559,125.340,61.209,154,403,129.369,24.243
225,8.938,8.276,3.765,31.593,135.077,506.337,105.486,46.981,15.440,128.632,45.544,100,402,131.760,15.407
226,11.810,6.796,4.621,49.157,316.786,524.080,154.189,64.191,22.951,106.095,67.292,250,405,115.641,25.177
227,12.477,9.216,5.283,44.768,293.903,512.319,121.041,45.846,21.873,104.966,51.619,235,406,113.552,23.542
228,7.594,4.858,3.564,28.093,108.125,521.499,143.058,64.493,19.966,137.958,63.104,69,413,142.028,19.733
229,10.928,9.982,4.533,53.483,246.665,536.121,154.484,62.773,26.784,128.098,66.067,186,423,134.256,29.170
230,8.628,5.923,3.713,45.616,170.324,540.262,149.711,59.821,22.685,144.689,65.765,118,435,142.496,23.918
231,11.543,9.565,5.277,36.196,286.833,545.768,152.648,55.638,29.006,161.526,65.169,214,434,155.821,32.231
232,9.914,5.821,3.891,30.599,206.021,554.305,132.575,50.731,25.863,122.349,54.220,156,437,130.462,27.673
233,8.267,4.678,3.708,36.823,168.788,562.810,166.755,71.409,21.418,141.602,74.052,111,443,145.008,24.723
234,9.739,6.719,4.484,31.086,233.819,554.914,129.222,48.601,20.942,141.644,57.642,173,442,149.657,23.686
235,7.380,4.645,3.594,35.253,141.577,558.051,116.161,49.437,13.990,138.764,53.880,100,450,144.162,14.585
