 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
162,17.484,8.224,4.324,73.187,505.093,316.350,115.440,43.057,25.205,77.806,44.958,414,278,86.906,27.710
163,9.775,6.437,3.816,57.510,32.173,313.423,111.561,38.977,28.180,78.236,43.746,19,276,70.560,29.119
164,18.170,8.834,4.553,150.693,167.219,312.280,99.431,35.248,25.046,80.518,37.671,134,272,75.069,26.433
165,18.712,8.218,4.660,170.243,260.889,326.158,169.824,58.247,45.405,66.275,61.509,210,293,75.141,47.319
166,7.992,4.756,3.954,31.334,605.482,315.696,91.783,35.703,18.374,84.878,35.931,495,274,78.311,20.857
167,14.759,6.666,4.510,62.604,460.410,321.838,118.493,48.893,19.666,61.882,51.491,367,284,55.561,21.064
168,9.365,6.014,3.455,80.536,60.108,321.762,90.811,32.366,21.369,97.906,35.931,47,279,78.311,21.482
169,17.413,6.576,3.940,83.307,297.296,323.277,111.833,39.906,28.041,103.797,40.696,234,253,116.565,29.000
170,18.320,8.385,4.713,103.683,199.034,322.997,104.473,37.963,23.107,158.217,39.614,149,257,139.970,25.963
171,23.149,12.587,5.976,141.362,380.024,328.456,90.366,32.825,21.070,115.380,35.684,306,258,107.819,22.546
172,22.337,14.593,7.867,118.941,421.835,324.379,70.076,23.331,19.442,30.481,25.966,339,274,37.405,20.076
173,13.888,7.601,4.121,88.969,125.920,333.430,94.224,32.616,24.251,67.557,34.744,101,289,77.905,26.474
174,15.718,6.569,4.289,94.106,357.535,333.144,117.777,46.791,20.910,145.488,49.805,280,264,145.923,23.332
175,15.992,7.940,4.495,81.175,475.169,335.467,104.709,40.775,21.467,54.385,40.387,384,292,57.265,21.608
176,11.258,7.882,4.087,34.932,568.073,339.571,116.751,44.622,23.943,53.684,46.329,456,295,45.000,27.147
177,17.316,8.991,5.389,85.555,148.417,338.561,101.958,36.683,24.730,77.760,37.924,121,264,97.352,23.999
178,20.932,14.137,7.202,71.758,438.357,333.250,74.467,27.645,17.153,78.638,27.373,361,286,77.196,18.875
179,8.920,6.248,3.595,31.312,39.391,344.990,121.452,38.046,32.909,59.553,44.115,20,297,58.496,33.973
180,29.785,10.881,7.976,107.143,399.320,334.218,64.373,22.212,16.961,57.830,24.083,322,283,40.914,17.348
181,11.556,5.100,3.827,42.173,520.528,338.754,103.856,38.746,23.268,45.506,41.217,417,292,47.386,24.022
