 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
124,15.152,7.683,4.211,97.757,419.417,304.389,144.446,48.579,38.275,89.356,51.548,334,268,63.435,37.486
125,15.567,8.364,4.997,64.445,481.207,297.044,120.718,35.716,34.584,58.587,42.048,384,259,43.831,33.899
126,14.232,7.453,4.499,53.287,97.941,305.320,122.530,48.070,21.368,78.848,51.319,76,275,83.211,22.539
127,14.027,6.061,4.566,63.452,158.524,309.110,144.057,52.902,27.813,111.066,60.251,123,233,115.017,31.955
128,14.787,7.800,4.908,75.416,235.574,307.473,135.344,45.471,34.172,111.111,47.999,191,233,110.726,34.246
129,6.225,4.725,3.475,15.557,612.056,310.770,125.878,51.419,15.966,90.996,58.251,507,233,91.193,16.986
130,11.304,6.254,4.204,59.450,76.661,309.550,141.006,55.083,24.398,89.901,59.254,61,282,79.380,26.693
131,14.352,9.031,4.301,77.686,293.304,313.189,161.289,63.604,31.296,104.459,65.226,231,235,108.435,33.285
132,15.811,9.020,5.272,88.712,194.452,314.755,167.701,53.632,46.482,136.172,60.239,141,243,145.670,46.692
133,11.424,6.959,4.060,49.052,52.157,312.933,107.316,39.957,23.501,72.085,42.379,36,274,66.371,26.128
134,13.759,6.495,4.143,61.506,510.269,317.563,128.625,49.088,27.149,103.859,54.504,413,241,106.821,28.513
135,8.736,4.878,3.927,48.199,571.985,323.629,151.809,59.391,25.248,110.790,64.591,466,242,95.389,27.096
136,17.217,9.306,5.239,114.836,385.969,317.577,121.249,36.877,34.257,14.156,41.837,300,258,163.142,35.270
137,9.627,4.185,3.814,41.850,16.284,323.622,98.284,41.009,17.917,90.033,41.413,13,249,95.042,18.200
138,8.985,5.112,4.002,41.915,555.604,346.200,158.209,64.535,23.090,95.788,69.201,455,254,92.010,25.924
139,6.334,4.128,3.651,25.839,601.153,336.209,126.879,51.798,18.310,106.810,57.488,494,254,97.275,20.110
140,12.815,8.359,4.598,66.702,112.188,333.381,117.392,38.904,31.220,99.877,43.034,90,257,111.501,32.759
141,14.341,8.436,5.059,106.755,350.087,337.913,162.064,49.573,45.712,59.254,55.335,286,257,105.255,48.085
142,12.764,8.702,4.813,99.631,481.162,338.413,157.997,52.560,39.869,85.551,56.442,383,260,115.463,41.048
143,13.296,9.199,5.003,79.075,146.992,344.265,163.150,55.938,36.591,114.907,65.339,114,261,111.801,38.954
144,17.964,8.327,4.626,80.422,449.035,335.604,124.488,41.603,30.862,89.219,44.761,362,292,57.171,31.546
145,9.684,5.410,4.182,46.088,534.004,345.511,141.227,57.158,24.725,93.195,57.488,436,262,97.275,26.693
146,9.346,4.632,3.894,45.882,39.671,355.071,164.300,67.223,25.764,108.891,69.868,22,263,110.323,29.827
147,14.509,7.557,4.747,73.251,271.930,343.390,149.213,50.229,38.174,126.006,53.220,212,264,114.228,39.217
148,11.449,7.339,4.525,41.473,59.784,342.194,100.369,34.456,26.166,91.179,38.099,49,298,80.838,27.241
149,19.092,8.712,6.025,78.429,237.223,346.901,134.886,44.704,31.237,97.003,48.910,189,308,66.615,30.737
150,14.476,5.858,4.259,58.825,418.464,346.870,138.524,44.785,35.825,108.853,49.389,336,306,62.176,34.076
151,11.448,6.730,4.359,52.919,88.080,351.730,109.068,35.767,28.666,119.650,39.502,71,274,100.620,30.886
152,16.385,8.558,4.422,61.661,317.517,349.054,95.925,32.648,23.481,112.963,35.684,258,274,107.819,26.596
153,15.180,7.538,5.398,89.674,207.814,361.883,161.260,57.804,37.906,92.523,60.337,167,323,74.846,37.452
154,14.080,6.406,4.068,112.887,384.243,358.306,151.870,48.742,38.724,58.106,56.455,305,317,61.783,42.963
155,16.251,11.059,4.421,107.406,177.623,363.656,130.833,49.618,27.803,97.269,50.930,145,278,102.381,29.119
156,7.543,5.531,3.611,33.405,17.077,361.277,114.070,47.698,19.962,112.442,49.135,6,279,110.225,20.719
157,11.016,6.402,4.074,55.886,511.013,364.985,131.706,46.559,32.528,117.707,48.835,416,280,116.565,33.642
158,8.570,6.323,3.591,26.523,589.146,363.408,112.980,37.205,30.177,91.541,42.118,480,316,78.366,30.309
159,15.374,8.963,4.568,102.408,300.942,373.580,139.067,42.610,39.590,0.026,47.116,230,305,168.111,40.999
160,11.453,7.964,3.493,56.721,128.589,376.901,170.560,62.383,38.669,139.997,67.826,86,290,132.825,41.687
161,13.048,8.511,4.288,46.681,449.304,376.023,125.084,47.526,22.796,101.292,50.026,362,293,112.834,26.693
