 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
85,803.776,58.795,218.460,206.229,114.446,37.807,27.069,109.224
86,688.950,40.962,526.519,209.822,116.284,42.937,20.430,100.379
87,485.798,53.003,136.957,207.645,91.135,32.285,19.159,77.951
88,778.750,50.775,425.751,212.066,114.568,41.692,23.782,90.061
89,550.572,51.824,176.809,208.851,95.988,35.490,19.752,77.566
90,485.798,56.527,94.855,213.171,94.323,33.032,18.726,45.407
91,615.345,75.974,335.393,211.603,98.293,31.396,24.955,109.207
92,557.932,68.084,196.506,215.016,92.851,30.534,23.265,87.689
93,728.698,63.160,249.425,221.044,113.147,42.237,21.967,87.145
94,674.229,68.972,404.871,225.702,109.299,38.858,22.092,88.457
95,769.917,53.407,449.971,224.252,112.142,37.086,26.433,109.851
96,490.215,66.763,316.329,221.961,88.708,28.781,21.686,118.157
97,618.289,68.860,355.124,227.336,101.430,32.902,23.926,88.487
98,521.129,72.280,114.363,223.872,92.851,32.626,20.337,59.291
99,790.527,70.993,273.852,228.975,118.711,40.714,24.722,77.550
100,379.806,66.167,377.644,223.672,75.154,25.897,18.673,71.564
101,538.795,77.907,511.380,227.638,92.140,32.464,21.132,105.451
102,805.248,68.901,294.677,237.923,121.259,46.314,22.138,83.216
103,791.999,59.608,490.346,234.286,115.279,42.383,23.793,101.396
104,412.193,31.882,562.598,227.643,88.414,30.934,16.966,87.225
105,549.099,44.147,470.668,237.582,103.268,38.671,18.079,85.048
106,631.538,41.040,545.685,235.479,106.578,39.250,20.487,97.048
107,460.772,43.319,74.273,233.918,84.444,30.310,19.356,78.667
108,986.318,69.307,229.540,243.074,130.844,47.532,26.420,97.166
109,303.256,70.835,94.921,234.233,71.133,20.861,18.509,73.077
110,769.917,39.275,126.587,246.310,122.143,45.703,21.449,86.240
111,450.468,57.065,143.698,240.057,96.282,37.986,15.099,78.346
112,585.902,70.550,182.758,241.177,98.415,33.907,22.001,117.506
113,830.274,75.096,159.862,250.845,121.432,44.733,23.632,81.199
114,554.988,73.759,205.031,241.627,94.689,31.178,22.664,98.022
115,615.345,86.854,386.952,246.014,96.871,32.149,24.371,93.978
116,428.386,98.124,335.134,244.815,83.144,27.463,19.861,70.752
117,584.430,75.171,529.643,251.896,103.979,35.804,20.783,96.644
118,696.311,49.224,429.469,248.080,102.019,33.020,26.849,90.003
119,307.672,67.727,316.038,243.332,69.834,20.199,19.394,86.961
120,450.468,97.033,359.837,252.638,85.155,28.668,20.007,58.427
121,390.111,43.181,59.422,253.831,78.585,25.624,19.384,79.819
122,543.211,41.152,83.023,256.973,93.734,32.494,21.285,67.842
123,481.382,66.416,105.048,255.798,87.287,28.695,21.359,82.315
124,1006.928,71.208,260.730,261.580,126.874,40.953,31.306,115.007
125,593.263,94.752,414.974,265.376,111.431,44.861,16.838,112.286
126,843.523,44.154,446.242,266.236,125.158,44.464,24.154,65.305
127,918.601,62.316,504.213,263.964,126.701,42.842,27.300,54.927
128,819.969,39.097,555.280,269.183,123.858,45.397,22.998,80.128
129,578.542,80.870,477.739,269.609,99.125,35.257,20.893,94.429
130,817.025,67.960,314.641,272.191,111.847,38.385,27.101,101.536
131,724.281,74.900,339.576,273.808,112.852,39.892,23.117,78.310
132,325.338,45.167,573.387,269.236,77.408,30.747,13.472,91.411
133,672.757,52.604,181.095,270.298,102.141,29.441,29.095,171.977
134,974.541,51.825,371.184,281.145,135.992,52.754,23.521,86.143
135,1239.522,38.296,211.169,278.114,137.707,43.649,36.157,98.534
136,924.489,80.739,393.856,282.981,142.855,52.912,22.246,69.840
137,1529.529,55.185,289.349,289.897,165.994,59.603,32.674,101.342
