PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,1249,NaN,NaN,2
271,1281,42.6020813,-4.066055298,1
271,1313,44.83738327,-6.764474869,1
271,1345,NaN,NaN,0
271,1377,NaN,NaN,0
271,1409,NaN,NaN,0
271,1441,NaN,NaN,0
271,1473,NaN,NaN,0
271,1505,NaN,NaN,0
271,1537,NaN,NaN,0
271,1569,NaN,NaN,0
271,1601,NaN,NaN,0
271,1633,NaN,NaN,0
271,1665,NaN,NaN,0
271,1697,NaN,NaN,0
271,1729,NaN,NaN,0
271,1761,NaN,NaN,0
271,1793,NaN,NaN,0
271,1825,NaN,NaN,0
271,1857,NaN,NaN,0
271,1889,NaN,NaN,0
271,1921,NaN,NaN,0
271,1953,NaN,NaN,0
271,1985,NaN,NaN,0
271,2017,NaN,NaN,0
303,33,NaN,NaN,0
303,65,NaN,NaN,0
303,97,NaN,NaN,0
303,129,NaN,NaN,0
303,161,16.6652565,11.70733166,1
303,193,17.7447834,11.763731,1
303,225,19.17166328,11.19355774,1
303,257,21.24370956,12.28149796,1
303,289,22.5301342,14.83416653,1
303,321,20.686409,16.14522552,1
303,353,20.31114769,14.92848301,1
303,385,21.41723824,14.71133804,1
303,417,22.54709816,15.15791225,1
303,449,23.61198807,17.07318497,1
303,481,25.62913513,15.45205116,1
303,513,28.62953568,15.97461414,1
303,545,30.92372894,16.37530899,1
303,577,30.36660194,16.74318504,1
303,609,NaN,NaN,2
303,641,NaN,NaN,2
303,673,33.51216507,16.41219139,1
303,705,34.72183609,15.82243252,1
303,737,35.43257523,16.93668365,1
303,769,34.846035,14.12939262,1
303,801,36.30821991,13.88460255,1
303,833,39.11893082,12.31084824,1
303,865,39.58412933,11.21897793,1
303,897,38.99591064,9.995469093,1
303,929,40.29157639,8.482327461,1
303,961,NaN,NaN,2
303,993,41.23392868,5.590377808,1
303,1025,41.54885483,5.282847404,1
303,1057,41.52639771,5.211850166,1
303,1089,40.95013046,3.779632092,1
303,1121,40.85873795,0.3547924161,1
303,1153,40.65325546,0.234436512,1
303,1185,40.31559753,-2.891858101,1
303,1217,NaN,NaN,2
303,1249,NaN,NaN,2
303,1281,NaN,NaN,2
303,1313,39.6803093,-12.05497551,1
303,1345,NaN,NaN,2
303,1377,NaN,NaN,2
303,1409,NaN,NaN,0
303,1441,NaN,NaN,0
303,1473,NaN,NaN,0
303,1505,NaN,NaN,0
303,1537,NaN,NaN,0
303,1569,NaN,NaN,0
303,1601,NaN,NaN,0
303,1633,NaN,NaN,0
303,1665,NaN,NaN,0
303,1697,NaN,NaN,0
303,1729,NaN,NaN,0
303,1761,NaN,NaN,0
303,1793,NaN,NaN,0
303,1825,NaN,NaN,0
303,1857,NaN,NaN,0
303,1889,NaN,NaN,0
303,1921,NaN,NaN,0
303,1953,NaN,NaN,0
303,1985,NaN,NaN,0
303,2017,NaN,NaN,0
335,33,NaN,NaN,0
335,65,NaN,NaN,0
335,97,NaN,NaN,0
335,129,NaN,NaN,0
335,161,16.71616936,10.68210411,1
335,193,17.71426773,11.79327106,1
335,225,NaN,NaN,2
335,257,22.89850807,12.77797508,1
335,289,21.2495079,14.96623611,1
335,321,20.68949127,17.16801834,1
335,353,20.66855812,15.21829987,1
335,385,22.46090508,14.99493313,1
335,417,24.36916351,15.51641273,1
335,449,NaN,NaN,2
335,481,24.57503128,16.19408607,1
335,513,25.84059715,16.3900795,1
335,545,27.09996033,17.15065575,1
335,577,NaN,NaN,2
335,609,NaN,NaN,2
335,641,31.16357803,16.09541702,1
335,673,34.11827087,13.94155121,1
335,705,NaN,NaN,2
335,737,34.92273331,17.76397324,1
335,769,35.82501602,16.16073799,1
335,801,36.29096603,13.33859158,1
335,833,37.73941803,11.62899208,1
335,865,38.74941635,10.46444035,1
335,897,40.30036163,9.387483597,1
335,929,41.2601738,7.883917809,1
335,961,42.26016998,2.804314613,1
335,993,43.01918793,4.81608963,1
335,1025,42.35972595,3.366763353,1
335,1057,41.69208527,2.521718979,1
335,1089,41.42361069,1.056768656,1
335,1121,NaN,NaN,2
335,1153,40.43582153,-2.338709116,1
335,1185,40.22761917,-3.869937181,1
335,1217,NaN,NaN,2
335,1249,NaN,NaN,2
335,1281,40.73154831,-13.3111763,1
335,1313,42.46129608,-15.1568985,1
335,1345,NaN,NaN,2
335,1377,39.40914536,-13.01495361,1
335,1409,NaN,NaN,2
335,1441,NaN,NaN,0
335,1473,NaN,NaN,0
335,1505,NaN,NaN,0
335,1537,NaN,NaN,0
335,1569,NaN,NaN,0
335,1601,NaN,NaN,0
335,1633,NaN,NaN,0
335,1665,NaN,NaN,0
335,1697,NaN,NaN,0
335,1729,NaN,NaN,0
335,1761,NaN,NaN,0
335,1793,NaN,NaN,0
335,1825,NaN,NaN,0
335,1857,NaN,NaN,0
335,1889,NaN,NaN,0
335,1921,NaN,NaN,0
335,1953,NaN,NaN,0
335,1985,NaN,NaN,0
335,2017,NaN,NaN,0
367,33,NaN,NaN,0
367,65,NaN,NaN,0
367,97,NaN,NaN,0
367,129,NaN,NaN,0
367,161,17.68460274,11.37703609,1
367,193,18.49280548,12.60568237,1
367,225,NaN,NaN,2
367,257,22.41051674,13.48840904,1
367,289,20.17469215,14.41140652,1
367,321,19.43241692,16.48913002,1
367,353,20.10323715,16.49502563,1
367,385,20.74515152,14.97872925,1
367,417,21.65926743,15.97689056,1
367,449,22.34740639,16.15862083,1
367,481,23.43799591,17.43331909,1
367,513,24.63222694,16.79027557,1
367,545,NaN,NaN,2
367,577,NaN,NaN,2
367,609,NaN,NaN,2
367,641,31.95038414,15.96868706,1
367,673,33.70843887,14.28116989,1
367,705,NaN,NaN,2
367,737,NaN,NaN,2
367,769,NaN,NaN,2
367,801,37.55899429,13.18080425,1
367,833,40.81357574,11.44990253,1
367,865,42.70437622,10.22162342,1
367,897,42.3970871,9.143896103,1
367,929,43.17285156,4.631791115,1
367,961,43.37994385,2.20511198,1
367,993,43.59996796,2.968852043,1
367,1025,42.24221039,1.952839375,1
367,1057,41.34860611,2.130653143,1
367,1089,41.09656525,0.3353326321,1
367,1121,NaN,NaN,2
367,1153,41.83901596,0.4380700588,1
367,1185,39.81451035,-3.781022072,1
367,1217,NaN,NaN,2
367,1249,NaN,NaN,2
367,1281,NaN,NaN,2
367,1313,40.40516281,-18.11006546,1
367,1345,37.84241486,-20.29778481,1
367,1377,39.30082703,-16.58970261,1
367,1409,38.7820282,-16.97985077,1
367,1441,NaN,NaN,2
367,1473,35.91426849,-20.35793686,1
367,1505,NaN,NaN,0
367,1537,NaN,NaN,0
367,1569,NaN,NaN,0
367,1601,NaN,NaN,0
367,1633,NaN,NaN,0
367,1665,NaN,NaN,0
367,1697,NaN,NaN,0
367,1729,NaN,NaN,0
367,1761,NaN,NaN,0
367,1793,NaN,NaN,0
367,1825,NaN,NaN,0
367,1857,NaN,NaN,0
367,1889,NaN,NaN,0
367,1921,NaN,NaN,0
367,1953,NaN,NaN,0
367,1985,NaN,NaN,0
367,2017,NaN,NaN,0
399,33,NaN,NaN,0
399,65,NaN,NaN,0
399,97,NaN,NaN,0
399,129,NaN,NaN,0
399,161,NaN,NaN,0
399,193,18.57251358,12.92834091,1
399,225,18.21855354,12.95239735,1
399,257,18.3260746,13.23455429,1
399,289,18.35228729,14.41537666,1
399,321,19.02612114,15.07141972,1
399,353,19.49767876,15.05951023,1
399,385,18.24552727,14.88776398,1
399,417,17.91359901,15.14980125,1
399,449,18.83389091,14.92948437,1
399,481,21.29720879,16.48084831,1
399,513,23.07143211,17.18588448,1
399,545,24.73608971,17.14004135,1
399,577,29.44321251,17.69198608,1
399,609,NaN,NaN,2
399,641,32.08596039,16.64225769,1
399,673,NaN,NaN,2
399,705,NaN,NaN,2
399,737,33.99475861,17.73219299,1
